Trophee Eric Bompard,,,,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,,,,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA  39.51  20.26,,,19.25,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  1.60  1.00,0 1 2 1 2 2 2 2,,2,- - -,2.60,
2 1S2  2.50  0.70,0 Info2 1 1 2 1 1 2,,2,- - Info -,3.20,Info
3 1S3  2.50  0.50,1 1 1 1 2 1 1 1,,1,- - -,3.00,
4 2S1  2.00  1.50,2 1 2 1 2 1 2 2,,2,- - -,3.50,
5 2S2  3.20  0.70,1 1 1 1 1 1 1 1,,2,- - -,3.90,
6 2S3  3.20  0.86,1 0 2 1 2 1 1 0,,1,- - -,4.06,
15.00,,,,,20.26,
Program Components Factor,,,,,,
Skating Skills  0.75,8.00 7.50 7.50 7.25 8.50 7.50 7.75 7.50,,7.50,- - -,7.65,
Timing  0.75,7.75 7.00 7.25 7.00 8.00 7.25 7.75 7.25,,7.50,- - -,7.50,
Performance / Execution  0.50,8.00 7.00 7.50 7.25 8.75 7.50 8.25 7.75,,7.25,- - -,7.80,
Interpretation  0.50,8.25 7.25 7.75 7.25 8.75 7.75 8.25 7.75,,7.75,- - -,7.95,
Judges Total Program Component Score (factored),,,,,19.25,
Deductions:,,,,,0.00,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  34.89  17.66,,,17.23,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  1.60  0.50,-1 1 1 1 1 2 1 1,,1,- - -,2.10,
2 1S2  2.50  0.50,0 2 2 1 1 1 1 1,,1,- - -,3.00,
3 1S3  2.50  0.40,0 0 1 1 1 1 1 0,,2,- - -,2.90,
4 2S1  2.00  0.56,0 1 1 1 1 1 1 0,,1,- - -,2.56,
5 2S2  3.20  0.42,0 1 2 1 0 1 1 0,,1,- - -,3.62,
6 2S3  3.20  0.28,-1 0 1 1 0 1 1 -1,,2,- - -,3.48,
15.00,,,,,17.66,
Program Components Factor,,,,,,
Skating Skills  0.75,7.25 7.00 7.25 7.00 6.75 7.25 7.25 6.50,,6.75,- - -,7.05,
Timing  0.75,6.75 6.50 6.75 6.75 6.25 7.00 7.00 5.00,,6.75,- - -,6.70,
