Trophee Eric Bompard,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Patrick CHAN CAN,,144.05  72.85,,72.20,,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A  7.50  1.20 1 1 1,2,2 2 1 1,1,2 - -,,8.70,
2 3F+3T  9.50  1.00 1 1 1,1,2 1 1 Info1,1,2 - -,,10.50,Info
3 3Lz  6.00  0.80 1 1 1,1,1 1 1 0,0,1 - -,,6.80,
4 CiSt2  2.30  0.60 1 1 1,2,1 2 2 1,1,2 - -,,2.90,
5 FSSp4  3.00  0.50 1 1 1,1,2 1 1 1,1,0 - -,,3.50,
6 3Lz+2T+2Lo  9.68 x  1.20 1 1 1,0,2 2 1 0,1,1 - -,,10.88,
7 3Lo  5.50 x  0.80 2 0 1,1,1 1 1 0,1,1 - -,,6.30,
8 CCoSp4  3.50  0.60 1 2 1,1,1 1 2 1,1,0 - -,,4.10,
9 2S+1T  1.87 x  0.00 0 0 0,0,0 0 0 0,0,0 - -,,1.87,
10 2A  3.85 x  0.60 1 0 1,1,1 1 1 0,0,1 - -,,4.45,
11 3F  6.05 x  0.40 1 0 0,0,1 1 0 0,0,0 - -,,6.45,
12 SlSt2  2.30  0.50 0 1 1,1,1 1 2 1,1,2 - -,,2.80,
13 CSSp4  3.00  0.60 1 0 2,0,1 1 2 1,2,1 - -,,3.60,
14 CSp  0.00  0.00 - - -,-,- - - -,-,- - -,,0.00,
64.05,,,,,,72.85,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.00 7.00 7.50,7.50,7.75 7.50 8.00 7.00,7.50,7.50 - -,,7.35,
Transition / Linking Footwork  2.00 6.75 7.25 7.00,7.25,7.50 7.25 7.75 6.25,7.00,7.50 - -,,7.15,
Performance / Execution  2.00 7.00 7.00 7.25,8.00,7.25 7.50 8.00 6.50,7.50,7.00 - -,,7.25,
Choreography / Composition  2.00 7.00 7.00 7.50,7.50,7.50 7.50 8.00 6.25,7.25,7.75 - -,,7.25,
Interpretation  2.00 7.00 6.75 7.25,7.50,7.25 7.50 8.25 6.50,7.00,7.50 - -,,7.10,
Judges Total Program Component Score (factored),,,,,,72.20,
Deductions: Falls: -1.00,,,,,,-1.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Sergei VORONOV RUS,,140.21  71.71,,68.50,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T  4.00  1.80 2 1 2,1,2 1 2 2,2,2 - -,,5.80,
2 3A  7.50  1.80 1 2 2,1,2 2 2 2,1,1 - -,,9.30,
3 3S  4.50  1.20 1 1 1,1,2 1 2 1,1,1 - -,,5.70,
4 3A+2T  8.80  0.80 1 0 1,0,1 1 1 1,0,0 - -,,9.60,
5 FCUSp4  3.00  0.20 0 0 -1,0,0 1 1 0,1,-1 - -,,3.20,
6 CiSt2  2.30  0.60 1 1 1,1,1 1 1 2,2,1 - -,,2.90,
7 3Lo  5.50 x  0.40 1 0 1,0,1 0 1 0,0,-1 - -,,5.90,
8 CoSp4  3.00  0.30 0 0 1,0,1 1 1 1,0,0 - -,,3.30,
9 2A+2T  5.28 x  0.80 1 0 2,1,1 0 1 1,1,0 - -,,6.08,
10 2A  3.85 x  1.00 1 0 1,0,1 1 1 2,1,0 - -,,4.85,
11 3T+2T+2Lo  7.48 x  0.20 0 0 -1,0,1 0 0 1,0,-1 - -,,7.68,
12 FSSp2  2.00  0.00 0 0 -1,-1,0 -1 0 1,0,0 - -,,2.00,
13 SlSt1  1.80  0.50 1 1 1,1,1 0 1 1,1,0 - -,,2.30,
14 CCoSp2  2.50  0.60 1 0 2,1,1 1 2 2,1,1 - -,,3.10,
61.51,,,,,,71.71,
Program Components Factor,,,,,,,
