Trophee Eric Bompard,,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,,
"",Total,Total,,,Total,Total,
"",NOC Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code Score,Score,,,Score (factored),,
"",=,+,,,+,-,
1 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  97.97,52.80,,,46.17,1.00,
"# Executed Base GOE",The Judges Panel,,,,,Scores,
Elements Value,(in random order),,,,,of Panel,
1 STw4  4.70  0.60,1 0 1 2 1,2 1 1,,1,- - -,5.30,
2 SeLi4  6.40 Info 1.20,3 2 3 2 2,3 2 1,,3,In-fo - -,7.60,Info
3 CoSp4  4.70  0.90,2 1 2 1 2,2 2 2,,2,- - -,5.60,
4 SlLi4+RoLi4  6.40  1.00,3 2 2 2 1,2 2 2,,3,- - -,7.40,
5 CiSt4  8.00  0.80,1 0 1 1 0,1 1 0,,1,- - -,8.80,
6 MiStNt3  6.20  1.60,2 0 1 2 1,2 2 0,,2,- - -,7.80,
7 SlLi4  4.00  1.00,3 2 2 1 1,3 2 2,,3,- - -,5.00,
8 RoLi4  4.00  1.30,3 2 3 3 1,3 3 1,,2,- - -,5.30,
44.40,,,,,,52.80,
Program Components Factor,,,,,,,
Skating Skills  1.25,7.75 7.75 7.50 8.00 6.50,7.75 7.75 7.50,,7.75,- - -,7.70,
Linking Footwork / Movement  1.75,7.75 7.50 7.50 7.50 5.75,7.50 7.25 7.50,,8.00,- - -,7.45,
Performance  1.00,8.00 7.75 7.50 7.75 7.00,8.00 7.75 7.75,,8.00,- - -,7.75,
Choreography  1.00,8.00 8.00 8.00 7.75 6.75,7.75 7.75 7.50,,7.75,- - -,7.80,
Interpretation / Timing  1.00,8.25 7.75 8.00 8.00 7.25,8.00 8.00 7.50,,8.00,- - -,7.95,
Judges Total Program Component Score (factored),,,,,,46.17,
Deductions: Costume violation:,-1.00,,,,,-1.00,
"*  Invalid element",,,,,,,
"",Total,Total,,,Total,Total,
"",NOC Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code Score,Score,,,Score (factored),,
"",=,+,,,+,-,
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA  94.53,46.90,,,47.63,0.00,
"# Executed Base GOE",The Judges Panel,,,,,Scores,
Elements Value,(in random order),,,,,of Panel,
1 RoLi4  4.00  0.90,3 1 2 3 2,2 2 0,,1,- - -,4.90,
2 Sp3  4.00  0.40,0 1 1 1 -1,0 1 0,,1,- - -,4.40,
3 CiSt4  8.00  1.40,1 1 2 2 1,2 1 1,,0,- - -,9.40,
4 STw1  3.00 -0.30,-1 0 0 0 -1,-1 -1 -1,,-1,- - -,2.70,
5 CuLi4+RoLi4  6.40  0.80,2 2 3 2 1,2 1 1,,1,- - -,7.20,
6 MiStNt4  7.00  0.40,1 0 0 2 1,1 0 1,,0,- - -,7.40,
7 RRoLi3  5.60  0.50,1 2 2 1 0,0 1 2,,1,- - -,6.10,
8 SlLi4  4.00  0.80,2 1 2 2 1,2 1 1,,2,- - -,4.80,
42.00,,,,,,46.90,
Program Components Factor,,,,,,,
Skating Skills  1.25,8.00 8.00 8.25 8.25 7.50,8.25 8.00 8.25,,7.50,- - -,8.00,
Linking Footwork / Movement  1.75,7.75 7.75 8.00 8.00 7.00,8.00 8.25 8.00,,7.75,- - -,7.90,
Performance  1.00,8.00 7.75 8.50 8.00 7.50,7.50 7.75 8.00,,7.75,- - -,7.75,
Choreography  1.00,7.25 7.75 8.25 8.25 8.00,7.75 8.00 8.25,,8.00,- - -,8.00,
Interpretation / Timing  1.00,8.00 8.00 8.25 8.25 8.00,7.75 8.25 8.25,,7.50,- - -,8.05,
Judges Total Program Component Score (factored),,,,,,47.63,
Deductions:,,,,,,0.00,
"*  Invalid element",,,,,,,
"",Total,Total,,,Total,Total,
"",NOC Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code Score,Score,,,Score (factored),,
"",=,+,,,+,-,
3 Meryl DAVIS / Charlie WHITE,USA  89.22,49.40,,,40.82,1.00,
"# Executed Base GOE",The Judges Panel,,,,,Scores,
Elements Value,(in random order),,,,,of Panel,
1 SlLi4+RoLi4  6.40  0.50,1 1 1 1 1,1 1 0,,1,- - -,6.90,
