Trophee Eric Bompard,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Dan ZHANG / Hao ZHANG,CHN,71.60  42.64,,,28.96,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw2  5.50  1.76,3 2 2 1,2 2 2 3,,3,3 - -,7.26,
2 3LoTh  5.00 Info 1.40,2 2 2 2,2 2 0 0,,2,In2fo - -,6.40,Info
3 3S  4.50  0.60,0 1 0 1,1 2 1 1,,1,0 - -,5.10,
4 PCoSp4  4.50  0.60,1 1 1 2,2 2 1 1,,1,0 - -,5.10,
5 5ALi4  6.50  1.60,2 2 0 2,2 1 1 2,,2,1 - -,8.10,
6 FCCoSp3  3.00  0.30,1 1 0 1,1 1 2 0,,1,-1 - -,3.30,
7 SlSt3  3.10  0.10,0 0 0 0,1 0 0 1,,0,0 - -,3.20,
8 BiDs3  3.20  0.98,2 1 2 2,2 1 1 1,,1,1 - -,4.18,
35.30,,,,,,42.64,
Program Components Factor,,,,,,,
Skating Skills  0.80,8.00 7.25 7.25 7.75,7.50 7.25 7.50 7.25,,8.00,7.50 - -,7.50,
Transition / Linking Footwork  0.80,7.00 6.75 7.25 6.75,6.75 6.50 7.00 7.00,,7.50,7.00 - -,7.00,
Performance / Execution  0.80,7.75 7.00 7.00 7.50,7.25 6.75 7.00 7.25,,7.50,6.75 - -,7.15,
Choreography / Composition  0.80,7.50 7.25 7.00 7.25,7.50 6.75 7.25 7.50,,7.75,7.25 - -,7.35,
Interpretation  0.80,7.75 7.00 7.00 7.50,7.00 6.50 7.25 7.25,,7.75,7.00 - -,7.20,
Judges Total Program Component Score (factored),,,,,,28.96,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Qing PANG / Jian TONG,CHN,64.32  35.92,,,28.40,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T  4.00 -0.20,1 0 0 1,0 0 0 -1,,-1,0 - -,3.80,
2 3LzTw2  5.50  1.12,2 1 1 1,2 2 1 1,,1,2 - -,6.62,
3 3LoTh  5.00 -0.42,-1 0 0 0,-1 -1 -1 -1,,0,1 - -,4.58,
4 FCCoSp3  3.00  0.30,1 0 0 1,1 0 1 1,,1,0 - -,3.30,
5 CiSt1  1.80  0.40,1 1 0 -1,1 1 1 1,,0,1 - -,2.20,
6 5ALi4  6.50  1.20,2 2 1 1,1 1 2 1,,2,1 - -,7.70,
7 BiDs3  3.20  0.70,1 1 1 2,0 1 1 1,,1,1 - -,3.90,
8 PCoSp3  4.00 -0.18,-1 0 -1 0,-1 0 0 -1,,0,0 - -,3.82,
33.00,,,,,,35.92,
Program Components Factor,,,,,,,
Skating Skills  0.80,7.25 7.25 7.25 7.50,6.75 7.25 7.25 7.00,,7.75,7.50 - -,7.25,
Transition / Linking Footwork  0.80,6.75 6.75 7.00 6.50,6.00 7.00 6.75 7.00,,8.00,7.25 - -,7.00,
Performance / Execution  0.80,7.00 7.00 7.25 7.00,6.75 7.00 7.00 7.00,,7.75,7.50 - -,7.15,
Choreography / Composition  0.80,6.50 7.25 7.00 7.00,6.50 7.25 7.25 7.25,,7.75,7.25 - -,7.05,
Interpretation  0.80,6.75 7.00 7.00 7.25,6.75 7.25 6.75 6.75,,7.75,7.50 - -,7.05,
Judges Total Program Component Score (factored),,,,,,28.40,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge",<  Downgraded jump,,,,,,
"",,Total Total,,,Total,Total,
"",NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code,Score Score,,,Score (factored),,
"",,= +,,,+,-,
3 Maria MUKHORTOVA / Maxim TRANKOV,RUS,61.76  35.84,,,25.92,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
