Trophee Eric Bompard,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
1 Mao ASADA JPN,,122.90  63.94,60.96,,2.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3A<  3.50 -2.50 -3 -3 -3 -3,,-3 -3 -3 -3,-3 -3 - -,,1.00,
2 3F+3Lo  10.50 -0.20 2 0 -1 2,,-2 -1 1 -I1nfo,-1 -2 - -,,10.30,Info
3 CSp4  2.40  0.70 2 1 1 1,,2 2 1 1,1 1 - -,,3.10,
4 3Lz e  6.00 -1.20 -1 0 -1 -1,,-1 -2 -1 -1,-2 -1 - -,,4.80,
5 FSSp4  3.00  0.50 1 1 1 1,,1 1 1 1,1 1 - -,,3.50,
6 SpSq4  3.40  1.00 1 1 2 1,,1 1 1 0,1 0 - -,,4.40,
7 3Lo  5.50 x  1.20 2 1 1 2,,1 1 2 1,1 2 - -,,6.70,
8 3F+2Lo  7.70 x  0.60 1 1 0 1,,0 1 2 1,0 2 - -,,8.30,
9 2A+2Lo+2Lo<  6.05 x -0.96 -1 0 -2 -1,,-3 -1 -2 -1,-1 -2 - -,,5.09,
10 CCoSp3  3.00  0.80 1 1 2 2,,2 1 2 1,2 1 - -,,3.80,
11 SlSt3  3.10  1.00 2 2 1 2,,2 2 2 1,2 1 - -,,4.10,
12 CoSp4  3.00  1.00 2 1 2 2,,2 2 2 1,2 1 - -,,4.00,
13 2A  3.85 x  1.00 1 1 1 1,,1 2 2 1,1 1 - -,,4.85,
61.00,,,,,63.94,
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 7.75 7.50 8.00,,8.00 8.25 7.75 7.50,7.75 7.25 - -,,7.85,
Transition / Linking Footwork  1.60 7.25 7.50 6.75 7.75,,7.25 8.25 7.50 7.00,7.25 6.75 - -,,7.40,
Performance / Execution  1.60 7.50 7.75 7.25 8.00,,7.50 8.00 7.75 7.50,7.50 6.75 - -,,7.65,
Choreography / Composition  1.60 7.75 7.75 7.50 7.75,,7.50 8.00 7.75 7.25,7.50 7.25 - -,,7.65,
Interpretation  1.60 7.75 7.50 7.50 7.75,,7.25 8.50 8.00 7.50,7.25 7.00 - -,,7.55,
Judges Total Program Component Score (factored),,,,,60.96,
Deductions: Time violation: -1.00,,Falls: -1.00,,,-2.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",,Total Total,Total,,Total,
NOC,,Segment Element,Program  Component,,Deductions,
Rank Name,,,,,,
Code,,Score Score,Score (factored),,,
"",,= +,+,,-,
2 Ashley WAGNER USA,,108.15  57.35,50.80,,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz+2Lo e  7.50 -1.40 -1 -1 -1 -2,,-1 -3 -1 -1,-2 -1 - -,,6.10,
2 2A  3.50  0.60 1 0 0 1,,0 1 1 0,1 1 - -,,4.10,
3 LSp3  2.40  0.60 2 1 1 1,,2 1 1 1,1 2 - -,,3.00,
4 3S  4.50 -0.20 0 0 0 0,,-1 0 0 0,-1 0 - -,,4.30,
5 FSSp3  2.30  0.30 1 0 1 1,,0 0 0 0,1 0 - -,,2.60,
6 SpSq4  3.40  1.00 1 0 2 0,,2 1 1 0,1 1 - -,,4.40,
7 3Lo+2Lo  7.15 x  0.00 0 0 0 0,,0 1 0 0,0 0 - -,,7.15,
8 FCSSp3  2.30  0.00 0 0 0 0,,0 0 0 0,0 0 - -,,2.30,
9 3F+2Lo  7.70 x -1.00 0 -1 -1 -1,,-1 -1 -1 0,-2 0 - -,,6.70,
10 SlSt1  1.80  0.50 1 1 1 1,,1 1 0 0,1 0 - -,,2.30,
11 3Lo  5.50 x  0.20 0 0 0 1,,1 0 -1 0,0 1 - -,,5.70,
12 3Lz e  6.60 x -1.40 -2 -1 -1 -1,,-1 -3 -2 -1,-2 -1 - -,,5.20,
13 CCoSp3  3.00  0.50 1 0 1 1,,1 1 1 1,1 1 - -,,3.50,
57.65,,,,,57.35,
Program Components Factor,,,,,,
