ISU GP Skate Canada International 2013,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Gracie GOLD USA  7,69.45  38.53,,,30.92,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+3T  10.10  1.10 2 1 2,1 1 2 2,,,1 2,11.20,
2 StSq4  3.90  1.30 2 1 2,1 2 2 2,,,2 2,5.20,
3 FCSp3  2.80  0.71 1 2 2,1 1 2 2,,,1 1,3.51,
4 3Lo  5.61 x  0.40 1 1 0,1 -1 1 2,,,1 -1,6.01,
"",Info,,,,,Info
5 2A  3.63 x  0.50 1 0 0,1 1 2 2,,,1 1,4.13,
6 LSp4  2.70  1.14 2 2 2,2 3 3 3,,,2 2,3.84,
7 CCoSp4  3.50  1.14 2 1 2,2 3 3 3,,,2 2,4.64,
32.24,,,,,38.53,
Program Components Factor,,,,,,
Skating Skills  0.80 8.00 7.25 7.25,7.25 7.75 8.25 7.75,,,8.00 7.00,7.61,
Transition / Linking Footwork  0.80 7.75 7.00 7.25,7.00 7.50 7.75 8.00,,,8.00 7.50,7.54,
Performance / Execution  0.80 8.25 7.50 7.50,7.50 8.25 8.50 7.25,,,8.25 7.25,7.79,
Choreography / Composition  0.80 8.25 7.25 7.50,7.25 8.50 8.00 8.25,,,8.00 7.50,7.82,
Interpretation  0.80 8.25 7.50 7.25,7.00 8.50 8.50 7.75,,,8.50 7.50,7.89,
Judges Total Program Component Score (factored),,,,,30.92,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Julia LIPNITSKAIA RUS  8,66.89  37.95,,,28.94,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+3T  10.10  1.20 0 2 2,1 1 2 2,,,2 2,11.30,
2 2A  3.30  0.36 0 1 1,1 0 1 1,,,0 1,3.66,
3 FCSp4  3.20  0.79 1 1 2,2 1 1 2,,,2 2,3.99,
4 StSq4  3.90  0.70 0 1 1,1 1 1 1,,,1 2,4.60,
5 3F  5.83 x  0.30 0 0 0,1 0 1 1,,,0 2,6.13,
6 LSp4  2.70  1.14 2 3 2,2 2 2 3,,,2 3,3.84,
7 CCoSp4  3.50  0.93 0 2 2,1 2 2 3,,,2 2,4.43,
32.53,,,,,37.95,
Program Components Factor,,,,,,
Skating Skills  0.80 6.75 7.25 7.25,6.75 7.00 7.25 7.75,,,7.50 8.00,7.25,
Transition / Linking Footwork  0.80 6.75 6.75 6.75,6.50 7.00 7.25 7.00,,,7.25 8.00,6.96,
Performance / Execution  0.80 7.00 7.50 7.00,7.00 7.25 7.00 7.50,,,8.00 8.50,7.32,
Choreography / Composition  0.80 7.25 7.25 7.25,6.50 7.25 7.50 7.75,,,7.75 8.50,7.43,
Interpretation  0.80 7.25 7.00 7.25,6.50 7.00 7.00 7.25,,,7.75 8.25,7.21,
Judges Total Program Component Score (factored),,,,,28.94,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU GP Skate Canada International 2013,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
3 Akiko SUZUKI JPN  9,65.76  33.19,,,32.57,0.00,
