ISU GP Samsung Anycall Cup of China 2008,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
1 Dan ZHANG / Hao ZHANG CHN,,115.10  56.30  58.80,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3T<+SEQ <  1.04 -0.36 -1 -2 -1 -1,,-1 1 -2 -2 -1 - - -,,0.68,,
2 3STh  4.50  1.26 2 2 2 1,,2 0 Info 2 3 2 - - -,,5.76,,Info
3 3LzTw2  5.50  1.76 3 2 3 1,,3 2 3 2 2 - - -,,7.26,,
4 5TLi4  6.00  0.40 1 1 1 0,,0 1 1 1 1 - - -,,6.40,,
5 FiDs4  3.50  1.12 2 2 2 1,,2 1 1 2 1 - - -,,4.62,,
6 FCCoSp4  3.50  0.50 1 1 1 1,,1 0 1 2 1 - - -,,4.00,,
7 3LoTh  5.50 x  1.40 2 2 3 1,,2 2 2 3 2 - - -,,6.90,,
8 2S  1.43 x -0.30 -2 -2 0 -1,,0 0 -2 -2 -2 - - -,,1.13,,
9 5ALi4  7.15 x  0.80 1 1 1 0,,1 0 1 0 1 - - -,,7.95,,
10 3Li4  4.40 x  0.30 1 1 1 0,,1 0 0 0 1 - - -,,4.70,,
11 SlSt2  2.30  0.10 0 0 1 0,,1 0 0 1 1 - - -,,2.40,,
12 PCoSp4  4.50  0.00 0 0 0 -1,,1 0 0 0 0 - - -,,4.50,,
49.32,,,,56.30,,
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 7.25 7.50 6.50,,8.00 7.25 7.75 7.25 7.50 - - -,,7.50,,
Transition / Linking Footwork  1.60 7.00 7.00 7.00 6.25,,7.50 7.00 7.25 6.50 5.75 - - -,,7.05,,
Performance / Execution  1.60 8.00 7.00 7.75 6.25,,7.75 7.25 7.50 7.50 7.50 - - -,,7.45,,
Choreography / Composition  1.60 7.50 7.00 7.50 6.25,,7.75 7.50 7.50 7.75 7.00 - - -,,7.40,,
Interpretation  1.60 7.00 7.25 7.50 6.25,,7.50 7.50 7.75 7.75 6.75 - - -,,7.35,,
Judges Total Program Component Score (factored),,,,58.80,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
2 Tatiana VOLOSOZHAR / Stanislav MOROZOV UKR,,114.71  59.91  54.80,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3T+3T+SEQ  6.40  0.80 2 1 1 1,,0 0 1 0 1 - - -,,7.20,,
2 2S  1.30 -0.42 -2 -2 -2 -1,,0 0 -2 -2 -3 - - -,,0.88,,
3 3LzTw2  5.50  1.26 2 2 2 1,,2 1 2 2 2 - - -,,6.76,,
4 3Li4  4.00  0.80 2 1 2 1,,2 0 2 1 2 - - -,,4.80,,
5 PCoSp4  4.50  0.40 0 1 1 1,,2 1 0 2 1 - - -,,4.90,,
6 5ALi4  6.50  1.20 1 1 2 1,,2 1 1 1 2 - - -,,7.70,,
7 3LoTh  5.50 x  0.14 -1 0 1 0,,1 -1 1 2 1 - - -,,5.64,,
8 3STh  4.95 x  1.40 2 2 3 2,,2 1 2 2 2 - - -,,6.35,,
9 FCCoSp3  3.00  0.40 0 1 0 1,,1 1 1 1 2 - - -,,3.40,,
10 SlSt3  3.30  0.10 -1 0 1 0,,0 0 1 1 1 - - -,,3.40,,
11 5TLi4  6.60 x  0.40 1 1 1 0,,1 0 1 1 1 - - -,,7.00,,
12 BoDs1  3.00 -1.12 -2 -1 -2 0,,-2 -1 -2 0 -1 - - -,,1.88,,
54.55,,,,59.91,,
Program Components Factor,,,,,,
Skating Skills  1.60 6.25 6.50 7.25 7.00,,7.50 6.00 7.00 6.50 7.50 - - -,,6.80,,
