ISU GP Samsung Anycall Cup of China 2008,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
1 Yu-Na KIM KOR,,128.11  66.43  61.68,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3F+3T !  9.50  0.40 2 1 0 1,,2 0 1 0 -1 - - -,,9.90,,
2 2A  3.50  1.60 2 1 1 1,,2 3 Info 1 2 2 - - -,,5.10,,Info
3 3Lz  6.00 -1.60 -1 -1 -2 -1,,-2 -2 -2 -1 -2 - - -,,4.40,,
4 FSSp4  3.00  0.00 0 1 0 0,,0 0 0 1 0 - - -,,3.00,,
5 2A+3T  7.50  1.60 2 2 0 2,,2 1 2 2 1 - - -,,9.10,,
6 3Lz+2T  8.03 x  0.80 2 0 0 1,,1 1 1 1 0 - - -,,8.83,,
7 SpSq4  3.40  2.00 2 1 2 2,,2 2 0 2 2 - - -,,5.40,,
8 3S  4.95 x  0.60 1 0 0 0,,2 2 0 1 1 - - -,,5.55,,
9 FCoSp4  3.00  0.30 1 0 0 0,,1 0 1 1 1 - - -,,3.30,,
10 SlSt3  3.30  0.60 2 1 1 1,,2 1 1 1 2 - - -,,3.90,,
11 2A  3.85 x  0.00 0 1 0 0,,0 1 0 0 0 - - -,,3.85,,
12 CCoSp4  3.50  0.60 1 1 1 1,,2 2 1 1 2 - - -,,4.10,,
59.53,,,,66.43,,
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 7.50 7.75 7.50,,8.25 8.25 8.00 7.75 7.50 - - -,,7.75,,
Transition / Linking Footwork  1.60 7.50 7.50 7.50 7.00,,5.75 7.25 7.25 7.50 7.00 - - -,,7.30,,
Performance / Execution  1.60 8.25 7.75 7.75 8.00,,9.00 7.75 7.75 8.25 7.75 - - -,,7.90,,
Choreography / Composition  1.60 8.00 7.75 7.75 7.75,,7.75 7.75 7.50 7.75 8.00 - - -,,7.80,,
Interpretation  1.60 7.75 7.75 7.75 8.00,,8.00 7.50 7.50 8.00 8.00 - - -,,7.80,,
Judges Total Program Component Score (factored),,,,61.68,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
2 Miki ANDO JPN,,111.58  55.18  56.40,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3T+3Lo< <  5.50 -1.00 -1 0 -1 -1,,-1 -1 -1 -1 -1 - - -,,4.50,,
2 3S  4.50  1.00 1 0 1 1,,2 2 1 1 1 - - -,,5.50,,
3 3F< <  1.70 -0.42 -2 0 -1 -2,,-2 -2 -1 -1 -1 - - -,,1.28,,
4 CCSp4  3.20 -0.18 -1 0 0 -1,,0 -1 0 -1 0 - - -,,3.02,,
5 SpSq3  3.10  0.50 2 1 1 1,,1 1 0 0 2 - - -,,3.60,,
6 3Lz  6.60 x -2.00 -2 -1 -2 -2,,-2 -2 -2 -1 -2 - - -,,4.60,,
7 3Lz+2Lo  8.25 x  0.00 0 0 0 0,,0 0 0 0 0 - - -,,8.25,,
8 3Lo  5.50 x  0.60 1 1 0 1,,2 1 0 1 0 - - -,,6.10,,
9 2A+2Lo+2Lo  7.15 x -0.12 0 0 -1 0,,0 -1 1 1 -1 - - -,,7.03,,
10 CCoSp3  3.00  0.30 1 0 1 1,,1 0 0 1 0 - - -,,3.30,,
11 SlSt3  3.30  0.70 2 1 1 2,,1 2 1 1 1 - - -,,4.00,,
12 FCCoSp4  3.50  0.50 1 1 1 1,,2 2 1 0 1 - - -,,4.00,,
55.30,,,,55.18,,
Program Components Factor,,,,,,
Skating Skills  1.60 7.25 7.00 7.25 7.00,,7.50 7.25 7.50 7.00 7.00 - - -,,7.15,,
Transition / Linking Footwork  1.60 5.75 7.00 7.00 6.00,,4.50 6.50 7.00 7.00 6.75 - - -,,6.65,,
Performance / Execution  1.60 7.00 7.00 7.00 6.75,,8.00 6.75 7.50 7.25 7.25 - - -,,7.05,,
Choreography / Composition  1.60 7.25 7.25 7.00 7.25,,6.50 7.00 7.25 7.50 7.50 - - -,,7.25,,
Interpretation  1.60 6.75 7.25 7.25 7.00,,7.00 6.75 7.25 7.50 7.50 - - -,,7.15,,
Judges Total Program Component Score (factored),,,,56.40,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
3 Laura LEPISTO FIN,,100.82  48.82,52.00,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 2A  3.50  1.00 1 0 1 1,,1 2 1 1 1,- - -,,4.50,,
2 3T+2T  5.30  1.00 1 1 1 1,,2 1 Info 1 1 1,- - -,,6.30,,Info
3 1Lz  0.60 -0.04 0 0 0 -1,,-1 -1 0 -1 0,- - -,,0.56,,
4 FSSp4  3.00  0.30 1 0 0 0,,1 1 1 1 0,- - -,,3.30,,
5 3Lo  5.00 -0.20 0 0 0 -1,,0 -1 0 0 0,- - -,,4.80,,
6 SpSq3  3.10  0.40 2 0 0 2,,1 0 1 -1 1,- - -,,3.50,,
7 1Lo  0.55 x -0.08 -1 0 -1 -1,,-2 -2 0 0 -1,- - -,,0.47,,
8 3S+2T  6.38 x  0.40 1 0 0 0,,1 1 0 1 0,- - -,,6.78,,
9 LSp3  2.40  0.60 2 0 1 1,,1 1 2 1 1,- - -,,3.00,,
10 3S+2T+2T  7.81 x  0.20 0 1 0 0,,0 0 1 1 0,- - -,,8.01,,
11 CiSt3  3.30  0.10 1 0 0 0,,1 1 0 0 0,- - -,,3.40,,
12 CCoSp4  3.50  0.70 2 0 1 1,,1 2 0 1 2,- - -,,4.20,,
44.44,,,,,48.82,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.50 5.75 6.75 6.25,,7.25 7.00 6.50 6.75 6.50,- - -,,6.60,,
Transition / Linking Footwork  1.60 6.75 5.75 6.25 5.75,,5.50 6.25 6.00 6.25 6.00,- - -,,6.15,,
Performance / Execution  1.60 7.00 6.00 6.50 5.75,,6.50 6.75 6.25 7.00 6.25,- - -,,6.55,,
Choreography / Composition  1.60 6.75 6.00 6.50 6.25,,6.50 6.75 6.50 6.50 6.50,- - -,,6.55,,
Interpretation  1.60 7.25 6.00 6.75 6.00,,7.00 6.75 6.25 7.00 6.50,- - -,,6.65,,
Judges Total Program Component Score (factored),,,,,52.00,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
4 Ashley WAGNER USA,,100.19  50.11,50.08,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+2Lo e  7.50 -1.20 -1 0 -1 -1,,-2 -2 -1 -1 -2,- - -,,6.30,,
2 3S  4.50  0.40 0 0 0 1,,1 1 1 -1 0,- - -,,4.90,,
3 2A  3.50  0.00 0 1 0 0,,1 1 0 0 0,- - -,,3.50,,
4 FSSp4  3.00  0.50 1 1 1 1,,2 1 1 2 1,- - -,,3.50,,
5 3T  4.00  0.20 0 1 0 1,,1 0 0 1 0,- - -,,4.20,,
6 LSp4  2.70  0.50 1 1 1 2,,1 1 1 1 1,- - -,,3.20,,
7 SpSq3  3.10  0.60 2 1 1 1,,1 2 1 1 1,- - -,,3.70,,
8 3Lo+2Lo  7.15 x  0.20 1 1 0 1,,0 0 0 0 0,- - -,,7.35,,
9 3F  6.05 x -0.80 -1 -1 0 -1,,-2 -1 0 -1 -1,- - -,,5.25,,
10 3Lz< e  2.09 x -0.68 -3 -1 -1 -2,,-3 -3 -2 -2 -2,- - -,,1.41,,
11 SlSt3  3.30  0.20 1 0 0 1,,0 1 0 0 0,- - -,,3.50,,
12 CCoSp3  3.00  0.30 1 1 1 0,,0 1 1 -1 0,- - -,,3.30,,
49.89,,,,,50.11,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.00 5.75 6.25 6.50,,6.75 7.00 6.25 5.75 6.25,- - -,,6.25,,
Transition / Linking Footwork  1.60 5.00 5.75 6.00 6.00,,4.75 6.50 6.50 6.00 5.75,- - -,,6.05,,
Performance / Execution  1.60 5.50 5.75 6.00 6.75,,7.00 6.75 6.50 5.75 6.25,- - -,,6.25,,
Choreography / Composition  1.60 5.75 6.00 6.25 6.75,,6.00 7.00 6.25 6.50 6.25,- - -,,6.40,,
Interpretation  1.60 6.00 6.00 6.25 7.00,,6.25 6.75 6.00 6.75 6.00,- - -,,6.35,,
Judges Total Program Component Score (factored),,,,,50.08,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Samsung Anycall Cup of China 2008,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
