ISU World Figure Skating Championships 2013,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Yuna KIM KOR  14,69.97  36.79,,,33.18,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+3T  10.10  1.40 3 2 2,2 2 2 2,,,2 2,11.50,
2 3F e  5.30 -0.20 -1 0 -1,-1 0 -2 1,,,0 1,5.10,
3 FCSp3  2.80  0.43 2 1 1,1 1 0 0,,,0 2,3.23,
4 2A  3.63 x  0.86 3 1 2,2 2 2 1,,,2 1,4.49,
"",Info,,,,,Info
5 LSp3  2.40  0.71 2 0 1,1 2 1 2,,,1 3,3.11,
6 StSq4  3.90  1.10 2 1 2,1 1 2 2,,,2 1,5.00,
7 CCoSp4  3.50  0.86 2 2 1,1 2 2 2,,,1 3,4.36,
31.63,,,,,36.79,
Program Components Factor,,,,,,
Skating Skills  0.80 8.00 8.50 8.50,8.25 8.50 8.50 8.00,,,8.50 8.75,8.39,
Transition / Linking Footwork  0.80 8.25 8.00 8.25,7.75 7.75 8.25 8.00,,,8.00 8.50,8.07,
Performance / Execution  0.80 8.50 8.25 8.25,8.25 8.25 8.50 8.25,,,8.25 8.75,8.32,
Choreography / Composition  0.80 8.00 8.25 9.00,8.00 8.50 8.50 8.25,,,8.25 8.75,8.36,
Interpretation  0.80 8.00 8.00 8.75,8.25 8.25 8.25 8.25,,,8.50 8.75,8.32,
Judges Total Program Component Score (factored),,,,,33.18,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Carolina KOSTNER ITA  34,66.86  34.01,,,33.85,-1.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lo  5.10  1.30 3 1 2,2 1 2 2,,,2 2,6.40,
2 3T+3T  8.20 -1.70 -2 -2 -3,-2 -3 -2 -3,,,-2 -3,6.50,
3 FCSp4  3.20  0.64 2 0 1,1 2 1 2,,,1 1,3.84,
4 2A  3.63 x  1.00 3 1 2,2 2 2 2,,,2 2,4.63,
5 StSq4  3.90  1.70 3 3 2,2 2 2 3,,,3 2,5.60,
6 CCoSp4  3.50  0.57 1 0 1,1 2 1 2,,,1 1,4.07,
7 LSp3  2.40  0.57 1 2 1,1 2 1 1,,,1 1,2.97,
29.93,,,,,34.01,
Program Components Factor,,,,,,
Skating Skills  0.80 8.00 8.25 8.75,8.50 8.50 8.50 9.00,,,8.50 8.25,8.46,
Transition / Linking Footwork  0.80 7.75 7.75 8.00,8.25 8.50 8.50 8.50,,,8.50 8.00,8.21,
Performance / Execution  0.80 8.00 8.25 8.25,8.50 8.50 8.75 8.50,,,8.75 8.25,8.43,
Choreography / Composition  0.80 8.00 8.00 8.50,8.75 8.75 9.00 9.00,,,8.75 8.25,8.57,
Interpretation  0.80 8.25 8.25 8.25,9.00 8.75 9.00 9.00,,,8.75 8.50,8.64,
Judges Total Program Component Score (factored),,,,,33.85,
Deductions: Falls: -1.00,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU World Figure Skating Championships 2013,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
