ISU GP Trophee Bompard 2012,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Florent AMODIO FRA,3,154.12  76.60,,77.52,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4S  10.50  0.71 0 1,1,0 -1 1 1,,1 2,11.21,
2 3Lz+2T  7.30  1.20 2 1,2,2 1 2 2,,2 1,8.50,
3 3A  8.50  0.00 0 0,0,0 0 0 1,,0 0,8.50,
4 FCSp2  2.30  0.43 1 0,1,1 0 1 1,,1 2,2.73,
"",,Info,,,,Info
5 StSq3  3.30  1.00 1 2,2,2 2 2 2,,3 2,4.30,
6 3A+SEQ  7.48 x  0.43 1 0,1,0 0 2 0,,1 -1,7.91,
7 3F e  5.83 x -1.00 -1 -2,-1,-2 -2 -1 -2,,-1 -1,4.83,
8 3Lz  6.60 x  0.60 -1 2,0,0 0 2 1,,2 1,7.20,
9 2A  3.63 x  0.07 1 0,0,1 0 0 0,,0 0,3.70,
10 3S+3T  9.13 x  0.20 1 1,0,-1 -1 1 0,,0 1,9.33,
11 CSSp1  1.90  0.36 0 0,1,1 0 1 1,,1 2,2.26,
12 ChSq1  2.00  1.20 1 1,2,1 2 2 2,,2 2,3.20,
13 CCoSp2  2.50  0.43 0 1,1,1 0 0 2,,1 2,2.93,
70.97,,,,,76.60,
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.75,8.25,7.25 7.75 7.50 7.75,,8.50 8.00,7.79,
Transition / Linking Footwork  2.00 7.00 6.75,7.75,6.75 7.50 6.00 7.50,,7.00 7.25,7.11,
Performance / Execution  2.00 7.25 8.00,8.50,7.50 8.00 8.25 8.50,,8.75 8.25,8.14,
Choreography / Composition  2.00 7.25 7.75,8.00,7.00 7.75 7.25 7.75,,8.75 8.00,7.68,
Interpretation  2.00 7.25 8.00,8.25,7.50 8.00 8.00 8.50,,8.75 8.00,8.04,
Judges Total Program Component Score (factored),,,,,77.52,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Takahito MURA JPN,8,154.03  78.11,,76.92,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30  1.71 2 1,2,2 1 2 1,,2 2,12.01,
2 3Lz+3T  10.10  1.30 2 2,2,2 2 1 1,,2 2,11.40,
3 3A  8.50  0.29 0 2,0,0 0 1 0,,0 1,8.79,
4 CCSp3  2.80  0.79 2 0,2,1 1 2 2,,1 2,3.59,
5 3Lo  5.10  1.00 2 1,1,2 1 1 2,,1 2,6.10,
6 3A+2T  10.78 x  1.29 1 2,2,1 1 1 1,,1 2,12.07,
7 StSq3  3.30  0.64 2 1,1,0 1 2 1,,1 2,3.94,
8 3S  4.62 x  0.70 1 1,2,0 1 0 1,,1 2,5.32,
9 CCoSp1  2.00  0.00 0 0,0,0 0 0 0,,-1 0,2.00,
10 3Lz  6.60 x  0.80 2 2,2,0 0 1 1,,1 1,7.40,
11 1F e  0.55 x -0.10 -1 -1,-1,-1 -1 -1 -1,,-1 -1,0.45,
12 FSSp2  2.30  0.14 1 0,1,0 0 0 1,,0 0,2.44,
13 ChSq1  2.00  0.60 2 1,1,1 0 1 0,,1 1,2.60,
68.95,,,,,78.11,
Program Components Factor,,,,,,
