10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Na-Young KIM,KOR,0,71.85,31.93,39.92,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3F+1T,e,5.9,False,-1.0,-2,-1,-1,-1,-1,-1,-2,-1,-1,0,,4.9
2,1A+1A+SEQ,,1.28,False,0.1,0,0,0,1,1,0,0,0,0,0,,1.38
3,3Lz,,6.0,False,0.4,0,1,0,0,1,1,0,1,1,0,,6.4
4,3T<,<,1.3,False,-0.68,-2,-2,-2,-2,-2,-1,-3,-3,-2,-2,,0.62
5,LSp4,,2.7,False,0.4,1,1,0,1,1,1,1,1,1,0,,3.1
6,2S,,1.3,False,0.0,0,0,0,1,0,0,0,0,0,0,,1.3
7,SpSq4,,3.4,False,0.4,1,1,0,1,1,1,0,0,0,0,,3.8
8,1F,,0.55,True,-0.2,-2,-2,-2,-3,-2,-3,-2,-2,-2,-2,,0.35
9,2Lz+2A<+SEQ,<,2.38,True,-0.54,-2,-1,-2,-1,-2,-1,-2,-2,-2,-2,,1.84
10,FSSp4,,3.0,False,-0.06,0,0,0,1,-1,0,-1,0,0,0,,2.94
11,CiSt1,,1.8,False,0.0,0,0,0,0,0,0,0,0,0,0,,1.8
12,CCoSp4,,3.5,False,0.0,0,0,0,1,0,1,0,0,1,0,,3.5
,,,33.11,,,,,,,,,,,,,,31.93
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.5,5.75,5.25,5.5,5.25,5.75,5.25,5.25,6.0,5.75,,5.4
,Transition / Linking Footwork  ,,,,1.6,4.75,5.0,5.0,4.0,4.75,4.75,4.0,4.5,5.25,5.25,,4.65
,Performance / Execution  ,,,,1.6,5.25,5.0,5.0,5.25,5.5,5.25,4.5,4.5,5.75,5.25,,5.0
,Choreography / Composition  ,,,,1.6,5.0,5.25,5.25,5.0,5.0,5.5,4.5,5.0,5.5,5.5,,5.1
,Interpretation  ,,,,1.6,5.0,4.75,5.0,5.0,4.75,5.0,4.0,4.5,5.5,5.75,,4.8
,,,,,,,,,,,,,,,,,39.92
