Samsung Anycall Cup of China,,,
ICE DANCING COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
1 Tatiana NAVKA / Roman KOSTOMAROV,RUS 36.83 17.18 19.65,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 2.0 0.30 1,1 1 1 2 0 0 1 1 0 - -,,2.30
2 1S2 1.3 0.12 2,0 1 0 2 0 0 1 2 1 - -,,1.42
3 1S3 1.3 0.24 2,0 1 0 2 1 1 1 1 1 - -,,1.54
4 1S4 2.0 0.40 1,1 1 1 1 0 0 1 1 1 - -,,2.40
5 2S1 2.6 0.24 0,0 1 1 2 1 0 1 1 0 - -,,2.84
6 2S2 1.6 0.20 1,1 1 0 1 0 0 1 0 0 - -,,1.80
7 2S3 1.6 0.20 1,0 1 0 1 1 0 1 0 0 - -,,1.80
8 2S4 2.6 0.48 2,0 1 1 1 1 0 1 0 1 - -,,3.08
15.0,,,17.18
Program Components Factor,,,
Skating Skills 0.75 8.25,7.25 7.50 7.75 8.00 7.75 7.75 7.75 7.75 7.75 - -,,7.75
Timing 0.75 8.25,7.00 7.25 8.00 7.75 8.50 7.75 7.75 7.50 7.50 - -,,7.85
Performance / Execution 0.50 8.50,7.00 7.50 7.75 8.25 8.25 8.00 8.25 8.25 7.25 - -,,7.90
Interpretation 0.50 8.00,7.25 7.50 8.25 8.00 8.25 8.00 8.00 8.25 7.75 - -,,8.00
Judges Total Program Component Score (factored),,,19.65
Deductions:,,,0.00
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
2 Galit CHAIT / Sergei SAKHNOVSKI,ISR 34.23 16.26 17.97,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 2.0 0.20 2,1 0 0 1 1 0 0 0 -1 - -,,2.20
2 1S2 1.3 0.24 1,1 1 1 1 0 1 1 1 -1 - -,,1.54
3 1S3 1.3 0.06 0,0 0 0 1 0 1 1 1 0 - -,,1.36
4 1S4 2.0 0.00 0,0 0 0 0 0 0 1 0 0 - -,,2.00
5 2S1 2.6 0.36 2,1 0 0 0 1 0 1 0 -1 - -,,2.96
6 2S2 1.6 0.20 1,0 1 1 1 0 0 1 1 -1 - -,,1.80
7 2S3 1.6 0.20 1,0 0 1 0 0 0 1 0 0 - -,,1.80
8 2S4 2.6 0.00 0,0 0 0 0 0 0 1 0 0 - -,,2.60
15.0,,,16.26
Program Components Factor,,,
Skating Skills 0.75 7.25,7.25 6.25 7.25 7.50 7.00 7.00 7.25 7.00 7.00 - -,,7.15
Timing 0.75 7.00,7.00 6.25 7.50 7.25 7.50 7.25 7.25 7.00 6.50 - -,,7.20
Performance / Execution 0.50 7.25,7.00 6.25 7.00 7.50 7.25 7.25 7.75 7.00 6.50 - -,,7.15
Interpretation 0.50 7.25,7.00 6.50 7.25 7.75 7.25 7.75 7.50 7.25 6.50 - -,,7.25
Judges Total Program Component Score (factored),,,17.97
Deductions:,,,0.00
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
3 Federica FAIELLA / Massimo SCALI,ITA 32.03 15.52 16.51,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 2.0 0.30 1,1 0 1 0 1 0 0 1 0 - -,,2.30
2 1S2 1.3 0.06 0,0 0 1 1 0 0 0 1 1 - -,,1.36
3 1S3 1.3 0.12 2,0 1 0 1 1 0 0 1 1 - -,,1.42
4 1S4 2.0 0.20 1,1 0 0 0 0 0 1 0 0 - -,,2.20
5 2S1 2.6 0.24 0,1 1 1 0 1 0 0 1 0 - -,,2.84
6 2S2 1.6 0.20 1,0 1 0 0 1 0 0 0 1 - -,,1.80
7 2S3 1.6 -0.60 -1,-1 -1 -2 -1 -2 -1 0 -1 -1 - -,,1.00
8 2S4 2.6 0.00 0,0 0 0 -1 0 -1 1 0 0 - -,,2.60
15.0,,,15.52
Program Components Factor,,,
Skating Skills 0.75 6.75,6.00 6.75 7.00 6.75 6.75 6.00 6.50 7.00 6.75 - -,,6.55
Timing 0.75 6.50,5.75 6.50 7.25 6.50 7.25 6.50 6.25 7.25 6.50 - -,,6.60
Performance / Execution 0.50 6.25,5.50 6.75 6.75 6.25 7.00 6.50 6.75 7.25 6.25 - -,,6.50
Interpretation 0.50 6.75,5.75 6.50 7.25 6.50 7.25 6.75 6.50 7.25 6.75 - -,,6.80
Judges Total Program Component Score (factored),,,16.51
Deductions:,,,0.00
Samsung Anycall Cup of China,,,
ICE DANCING COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
4 Megan WING / Aaron LOWE,CAN 31.58 16.18 15.40,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 2.0 0.40 1,1 0 1 1 1 0 0 1 1 - -,,2.40
2 1S2 1.3 0.06 1,0 0 0 0 0 0 0 0 1 - -,,1.36
3 1S3 1.3 0.06 0,1 0 0 0 0 0 1 0 0 - -,,1.36
4 1S4 2.0 0.30 1,0 0 0 0 0 1 1 0 1 - -,,2.30
5 2S1 2.6 0.36 -1,1 1 1 0 1 0 0 1 1 - -,,2.96
6 2S2 1.6 0.00 0,0 0 0 0 0 0 0 0 1 - -,,1.60
