Samsung Anycall Cup of China,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
1 Tatiana NAVKA / Roman KOSTOMAROV RUS 58.50 26.70,31.80,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw3 7.1 0.40 2 1 1 0 1 0 0 0,2 1 - -,7.50
2 CoSp1 3.0 0.50 1 1 2 0 1 1 2 2,1 0 - -,3.50
3 CuLi4 4.0 0.70 2 2 2 2 1 1 1 1,2 1 - -,4.70
4 DiSt3 5.5 1.00 1 0 1 1 1 1 1 1,1 1 - -,6.50
5 RoLi3 3.5 1.00 2 2 2 2 2 1 2 2,2 2 - -,4.50
23.1,,26.70
Program Components Factor,,
Skating Skills 0.80 8.50 8.50 8.25 8.25 8.25 8.25 8.50 8.25,8.00 8.00 - -,8.25
Linking Footwork / Movement 0.80 8.25 8.75 8.50 8.25 8.00 7.75 8.25 8.25,8.25 7.75 - -,8.15
Performance 0.60 8.75 8.75 8.50 8.25 8.00 8.25 8.50 8.25,8.25 8.25 - -,8.30
Choreography 0.60 9.00 8.75 8.50 8.75 8.25 8.25 9.00 8.50,8.25 8.25 - -,8.50
Interpretation / Timing 1.00 8.75 9.00 8.75 9.00 8.25 8.50 8.50 8.50,8.25 8.50 - -,8.60
Judges Total Program Component Score (factored),,31.80
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
2 Galit CHAIT / Sergei SAKHNOVSKI ISR 55.81 26.50,29.31,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+BSTw4 7.6 0.60 0 1 1 0 0 1 0 0,1 1 - -,8.20
2 CoSp2 3.5 0.30 0 1 1 1 1 0 1 1,0 0 - -,3.80
3 SlLi3 3.5 0.40 1 1 2 0 1 1 2 2,0 0 - -,3.90
4 DiSt3 5.5 0.40 0 0 1 0 1 0 1 1,1 0 - -,5.90
5 RoLi4 4.0 0.70 1 2 2 2 1 1 1 1,1 2 - -,4.70
24.1,,26.50
Program Components Factor,,
Skating Skills 0.80 7.50 7.50 7.75 7.75 7.50 7.00 7.75 7.50,7.50 7.50 - -,7.55
Linking Footwork / Movement 0.80 7.75 7.75 7.75 7.75 7.25 7.50 7.50 7.50,7.50 7.75 - -,7.60
Performance 0.60 7.75 7.75 8.00 7.75 7.25 7.75 7.75 7.50,7.25 7.50 - -,7.65
Choreography 0.60 7.75 7.50 8.00 8.00 7.50 7.75 8.00 7.75,7.50 7.75 - -,7.75
Interpretation / Timing 1.00 7.75 8.00 8.25 8.00 7.50 8.00 8.00 7.75,7.25 8.00 - -,7.95
Judges Total Program Component Score (factored),,29.31
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
3 Megan WING / Aaron LOWE CAN 50.61 26.40,24.21,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 DiSt3 5.5 -0.40 0 0 0 0 1 -1 -1 -1,0 1 - -,5.10
2 CuLi4 4.0 0.50 1 1 0 1 1 0 1 1,1 1 - -,4.50
3 CoSp4 4.7 0.40 1 1 -1 0 0 1 1 1,0 1 - -,5.10
4 NtMiSt3+FSTw4 7.6 0.00 0 0 1 0 1 0 0 1,0 0 - -,7.60
5 RoLi4 4.0 0.10 0 0 1 0 1 0 0 1,-1 1 - -,4.10
25.8,,26.40
Program Components Factor,,
Skating Skills 0.80 6.50 6.75 6.25 6.25 6.50 6.00 6.00 6.50,6.75 6.50 - -,6.40
Linking Footwork / Movement 0.80 6.50 6.50 6.50 6.25 6.50 6.50 5.75 6.25,6.75 6.25 - -,6.35
Performance 0.60 6.25 6.50 6.00 6.25 6.50 6.25 6.00 6.25,6.50 6.25 - -,6.30
Choreography 0.60 6.75 6.50 6.25 6.50 6.50 6.25 6.00 6.25,6.50 6.00 - -,6.30
Interpretation / Timing 1.00 6.50 6.75 6.50 6.75 6.75 6.00 5.75 6.50,6.75 6.25 - -,6.45
Judges Total Program Component Score (factored),,24.21
Deductions:,,0.00
Samsung Anycall Cup of China,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
4 Federica FAIELLA / Massimo SCALI ITA 49.32 24.80,25.52,1.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw4 7.6 -0.60 0 0 -1 -2 1 -1 -1 -1,0 0 - -,7.00
2 CuLi4 4.0 0.50 1 1 1 1 1 0 1 1,1 1 - -,4.50
3 Sp3 3.5 0.40 1 1 0 1 1 1 1 1,0 0 - -,3.90
4 DiSt3 5.5 -0.20 0 0 0 -1 0 -1 -1 0,1 1 - -,5.30
5 RoLi4 4.0 0.10 0 1 1 0 0 0 0 0,1 0 - -,4.10
24.6,,24.80
Program Components Factor,,
Skating Skills 0.80 6.75 6.50 6.75 6.25 6.75 6.75 6.00 6.75,7.00 6.50 - -,6.55
Linking Footwork / Movement 0.80 7.00 6.50 7.00 6.50 6.50 6.75 5.50 6.75,7.25 6.75 - -,6.65
Performance 0.60 6.50 6.75 7.00 6.75 6.50 6.50 6.25 6.25,7.00 6.50 - -,6.55
Choreography 0.60 7.00 6.75 6.75 7.00 6.50 7.00 6.25 6.50,7.00 6.75 - -,6.80
