Samsung Anycall Cup of China,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
1 Tatiana NAVKA / Roman KOSTOMAROV RUS 101.74 50.50,,51.24,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 CoSp3 4.0 0.60 1 1 1 1 2 2 1 1,,2 1 - -,4.60
2 BSTw4 4.7 0.40 0 2 1 1 1 1 0 2,,1 0 - -,5.10
3 SlLi3 3.5 0.80 1 2 1 2 2 1 1 1,,2 2 - -,4.30
4 CSeSt3 6.2 1.40 0 1 1 2 2 1 1 1,,2 2 - -,7.60
5 CuLi4 4.0 0.70 2 1 1 2 2 2 1 2,,1 0 - -,4.70
6 FSTw4 4.7 0.40 1 1 0 1 1 1 0 1,,1 1 - -,5.10
7 CCiSt3 6.2 0.60 1 0 0 1 1 1 0 1,,1 1 - -,6.80
8 SeLi4 5.6 0.50 1 1 0 2 2 1 0 2,,2 1 - -,6.10
9 SlLi4+RoLi4 5.6 0.60 1 1 1 1 2 2 1 2,,1 0 - -,6.20
44.5,,,50.50
Program Components Factor,,,
Skating Skills 1.25 8.50 8.25 8.25 8.75 8.25 8.75 8.75 8.75,,8.50 8.50 - -,8.50
Linking Footwork / Movement 1.75 8.50 8.00 8.00 9.00 8.25 8.50 8.75 8.75,,8.50 8.25 - -,8.35
Performance 1.00 8.75 8.25 8.50 9.00 8.50 9.00 8.50 8.50,,8.75 8.50 - -,8.60
Choreography 1.00 8.75 8.25 8.75 8.75 9.00 8.75 8.50 8.75,,9.00 8.50 - -,8.65
Interpretation / Timing 1.00 9.00 8.50 8.50 9.00 9.00 8.75 8.75 8.75,,9.00 8.75 - -,8.75
Judges Total Program Component Score (factored),,,51.24
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
2 Galit CHAIT / Sergei SAKHNOVSKI ISR 96.09 49.40,,46.69,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 SlLi4+RoLi4 5.6 0.80 1 2 1 2 2 1 1 2,,2 2 - -,6.40
2 FSTw4 4.7 0.20 0 1 0 1 0 0 0 1,,1 1 - -,4.90
3 CoSp3 4.0 0.50 1 1 1 1 1 1 1 0,,0 0 - -,4.50
4 CSeSt3 6.2 0.80 1 1 0 1 0 1 1 1,,1 2 - -,7.00
5 SlLi4 4.0 0.60 2 1 0 2 1 2 1 0,,2 1 - -,4.60
6 BSTw4 4.7 0.30 1 1 1 1 0 0 0 1,,0 1 - -,5.00
7 SeLi4 5.6 0.50 2 1 0 2 2 0 1 1,,1 1 - -,6.10
8 CCiSt3 6.2 0.40 0 0 0 1 1 0 0 0,,0 1 - -,6.60
9 RoLi4 4.0 0.30 0 1 0 1 2 0 0 1,,0 1 - -,4.30
45.0,,,49.40
Program Components Factor,,,
Skating Skills 1.25 7.75 7.75 7.25 8.25 7.75 7.50 7.75 7.25,,7.75 7.75 - -,7.70
Linking Footwork / Movement 1.75 7.25 7.50 7.50 8.50 7.75 7.25 7.75 7.50,,7.50 8.25 - -,7.75
Performance 1.00 7.50 7.75 7.75 8.50 7.75 7.75 7.50 7.50,,7.75 8.00 - -,7.80
Choreography 1.00 7.50 7.75 7.75 8.25 7.75 7.50 7.75 7.25,,8.00 8.00 - -,7.80
Interpretation / Timing 1.00 7.75 7.75 8.00 8.50 7.75 7.75 8.00 7.50,,8.00 8.00 - -,7.90
Judges Total Program Component Score (factored),,,46.69
Deductions:,,,0.00
Samsung Anycall Cup of China,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
3 Kristin FRASER / Igor LUKANIN AZE 84.81 46.50,,38.31,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 CoSp4 4.7 0.50 1 1 1 1 1 1 1 1,,0 0 - -,5.20
2 BSTw4 4.7 -0.40 0 -1 -1 1 0 -1 -1 0,,-1 -1 - -,4.30
3 SlLi4 4.0 0.30 1 1 -1 1 0 0 1 0,,1 1 - -,4.30
4 CCiSt3 6.2 0.20 1 0 0 1 0 0 0 1,,0 1 - -,6.40
5 CuLi4 4.0 0.30 1 0 0 2 1 0 1 0,,1 1 - -,4.30
6 FSTw4 4.7 -0.30 0 1 -1 -1 0 -1 0 0,,1 -1 - -,4.40
7 SeLi4 5.6 0.50 2 1 0 2 1 1 1 1,,1 1 - -,6.10
8 CSeSt3 6.2 -0.80 0 0 -2 -1 -1 -1 -1 0,,-1 0 - -,5.40
9 SlLi4+CuLi4 5.6 0.50 1 1 0 1 1 1 1 1,,1 1 - -,6.10
45.7,,,46.50
Program Components Factor,,,
Skating Skills 1.25 6.75 6.00 6.00 6.50 6.50 6.25 6.75 6.25,,6.50 6.25 - -,6.30
Linking Footwork / Movement 1.75 6.50 5.75 6.50 6.25 6.50 5.75 6.50 6.25,,6.25 6.50 - -,6.30
Performance 1.00 6.75 5.75 6.50 6.50 6.50 6.25 6.50 6.00,,6.50 6.25 - -,6.40
Choreography 1.00 6.50 5.50 6.50 6.50 6.75 6.50 6.50 6.25,,6.25 6.50 - -,6.50
Interpretation / Timing 1.00 6.75 5.50 6.75 6.25 6.75 6.25 6.75 6.25,,6.50 6.50 - -,6.50
Judges Total Program Component Score (factored),,,38.31
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
