ISU GP Rostelecom Cup 2014,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Javier FERNANDEZ ESP  12,93.92  49.77,,44.15,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4S  10.50  2.00 1 2 2,2 2 2 2,,2 2,12.50,
2 3Lz+3T  10.10  1.40 2 2 2,2 2 2 2,,1 2,11.50,
3 FUSp4  2.90  0.43 1 1 1,0 1 1 1,,0 1,3.33,
4 3A  9.35 x -0.29 0 0 1,0 0 0 -1,,-1 -1,9.06,
Info,,,Info,,Info
5 CSSp4  3.00  0.79 1 1 2,1 2 2 2,,1 2,3.79,
6 StSq4  3.90  1.90 3 3 3,2 2 3 2,,3 3,5.80,
7 CCoSp3p3  3.00  0.79 2 2 1,2 1 3 1,,2 1,3.79,
42.75,,,,49.77,
Program Components Factor,,,,,
Skating Skills  1.00 8.50 9.00 8.75,8.50 8.75 9.25 8.75,,8.50 8.50,8.68,
Transition / Linking Footwork  1.00 8.00 9.50 8.50,8.25 8.25 9.00 8.75,,8.75 8.75,8.61,
Performance / Execution  1.00 8.75 9.00 9.25,8.75 8.50 9.00 9.25,,8.00 9.00,8.89,
Choreography / Composition  1.00 8.50 9.50 8.75,8.50 8.50 9.25 9.00,,9.00 9.00,8.86,
Interpretation  1.00 9.00 9.75 9.25,8.75 8.75 9.25 9.25,,9.00 9.25,9.11,
Judges Total Program Component Score (factored),,,,44.15,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Sergei VORONOV RUS  8,90.33  50.08,,40.25,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4T+3T  14.40  2.29 3 2 3,1 2 2 2,,3 2,16.69,
2 FCSp4  3.20  0.64 2 1 1,1 2 1 1,,1 2,3.84,
3 StSq3  3.30  0.71 1 2 2,2 0 1 2,,1 1,4.01,
4 3A  9.35 x  2.00 2 2 2,1 2 2 3,,2 2,11.35,
5 3Lo  5.61 x  0.80 1 1 1,1 0 1 2,,1 2,6.41,
6 CCoSp3p4  3.50  0.71 1 2 2,1 1 1 1,,2 2,4.21,
7 CSSp4  3.00  0.57 1 2 2,0 0 1 1,,1 2,3.57,
42.36,,,,50.08,
Program Components Factor,,,,,
Skating Skills  1.00 8.50 9.00 8.50,7.75 7.75 7.75 8.25,,7.75 7.75,8.04,
Transition / Linking Footwork  1.00 8.25 8.75 8.00,7.50 7.25 7.00 8.00,,7.75 7.25,7.71,
Performance / Execution  1.00 8.50 8.75 8.25,8.25 8.00 7.25 9.50,,8.25 7.75,8.25,
Choreography / Composition  1.00 8.25 8.75 8.25,7.75 7.50 7.75 9.00,,8.00 7.50,8.04,
Interpretation  1.00 8.75 9.00 8.50,7.75 7.25 7.75 8.75,,8.00 8.00,8.21,
Judges Total Program Component Score (factored),,,,40.25,
Deductions:,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Takahiko KOZUKA JPN  7,81.38  42.41,,38.97,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4T  10.30 -1.57 -1 -3 -2,-1 -2 -1 -3,,-1 -1,8.73,
