ISU Four Continents Figure Skating Championships,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
1 Adam RIPPON USA  12  156.22  82.52,,,73.70,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3F+3T  9.50  1.00 1 1 1 1 1 1,1,,0 1,10.50,
2 3A+2T  9.50  1.00 1 1 0 1 1 1,1,,1 1,10.50,
3 CiSt3  3.30  0.60 0 2 1 1 1 1,2,,1 1,3.90,
4 CCoSp4  3.50  0.40 1 1 1 1 1 0,2,,0 1,3.90,
"",Info,,,,Info
5 3Lo  5.00  1.40 1 1 0 1 2 1,2,,1 2,6.40,
6 3A  9.02 x  0.60 1 1 0 1 0 1,2,,0 1,9.62,
7 3Lz  6.60 x  1.60 1 2 1 2 2 1,2,,1 2,8.20,
8 3Lz+2T+2Lo  9.68 x  1.60 2 2 1 2 2 1,1,,2 2,11.28,
9 2A  3.85 x  1.00 0 1 1 1 1 1,2,,1 1,4.85,
10 CSSp4  3.00  0.70 1 2 1 1 1 1,2,,1 2,3.70,
11 SlSt3  3.30  0.80 1 2 1 2 2 1,2,,1 2,4.10,
12 3S< <  1.43 x  0.14 1 0 1 1 -1 1,-1,,0 2,1.57,
13 FCCoSp4  3.50  0.50 2 1 1 1 0 0,2,,2 1,4.00,
71.18,,,,82.52,
Program Components Factor,,,,,
Skating Skills  2.00 7.25 7.50 7.50 7.25 7.25 7.75,7.50,,7.25 7.50,7.45,
Transition / Linking Footwork  2.00 6.75 6.75 7.25 7.00 7.00 7.50,7.00,,7.00 6.25,7.00,
Performance / Execution  2.00 6.75 8.25 7.25 7.25 7.50 7.75,8.50,,7.50 7.00,7.65,
Choreography / Composition  2.00 7.00 7.50 7.25 7.00 7.25 7.50,8.25,,7.25 7.00,7.35,
Interpretation  2.00 7.25 7.50 7.25 7.25 7.50 7.25,8.50,,7.50 6.75,7.40,
Judges Total Program Component Score (factored),,,,73.70,
Deductions:,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
2 Tatsuki MACHIDA JPN  15  147.88  80.48,,,67.40,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3A+3T  12.20  1.20 1 1 1 2 1 1,1,,2 1,13.40,
2 2A  3.50  1.40 2 2 1 1 2 1,1,,1 1,4.90,
3 3Lz  6.00  0.80 1 1 1 0 1 1,1,,0 1,6.80,
4 CCoSp4  3.50  0.30 1 1 1 1 0 0,1,,0 0,3.80,
5 SlSt2  2.30  0.50 1 1 1 0 1 0,1,,1 1,2.80,
6 CSSp3  2.60  0.30 1 0 1 0 1 0,0,,0 1,2.90,
7 3F  6.05 x  1.00 1 1 1 1 1 1,1,,0 1,7.05,
8 3A  9.02 x  1.60 1 2 1 2 2 1,1,,1 2,10.62,
9 3Lo  5.50 x  0.00 0 0 0 0 -1 0,0,,0 1,5.50,
10 3F+2T !  7.48 x  0.00 0 0 -1 0 0 0,-1,,0 0,7.48,
11 3S+2T+2Lo  8.03 x  1.00 1 1 1 1 1 0,0,,0 1,9.03,
12 CiSt2  2.30  0.50 1 1 1 1 1 1,1,,0 2,2.80,
13 FSSp4  3.00  0.40 0 1 -1 1 1 0,0,,1 1,3.40,
71.48,,,,80.48,
Program Components Factor,,,,,
Skating Skills  2.00 6.50 7.75 7.00 7.00 6.75 6.50,7.00,,7.00 6.75,6.90,
