ISU Four Continents Figure Skating Championships,,,,
ICE DANCE COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Kaitlyn WEAVER / Andrew POJE CAN  12  32.67  17.40,,15.27,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  2.90  0.56 1 0 1 1 1 1 0,,1 1,3.46,
2 1S2  1.60  0.40 1 1 1 1 1 0 0,,1 1,2.00,
3 1S3  2.40  0.40 1 0 1 1 2 1 -1,,1 1,2.80,
4 2S1  3.20 -0.14 0 -1 0 0 0 1 -1,,0 1,3.06,
Info,,Info,,Info
5 2S2  2.30  0.40 1 1 1 1 1 0 0,,1 1,2.70,
6 2S3  3.10  0.28 1 0 0 1 1 1 -1,,0 0,3.38,
15.50,,,17.40,
Program Components Factor,,,,
Skating Skills  0.75 6.25 5.75 6.50 7.00 6.50 6.25 5.50,,6.25 6.50,6.20,
Timing  0.75 6.00 5.25 6.25 7.00 6.00 6.00 4.00,,6.00 6.25,5.85,
Performance / Execution  0.50 6.25 6.25 6.25 7.00 7.00 6.50 5.50,,6.25 6.25,6.30,
Interpretation  0.50 6.25 6.00 6.50 7.25 6.50 6.25 5.75,,5.75 6.50,6.15,
Judges Total Program Component Score (factored),,,15.27,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Xintong HUANG / Xun ZHENG CHN  10  30.12  16.06,,14.06,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  2.90  0.00 1 -1 2 1 0 1 0,,-1 0,2.90,
2 1S2  1.60  0.20 0 1 2 0 0 0 0,,0 1,1.80,
3 1S3  2.40  0.20 1 1 1 1 0 1 0,,0 0,2.60,
4 2S1  3.20 -0.14 0 -1 1 0 0 0 0,,-1 0,3.06,
5 2S2  2.30  0.30 0 1 1 0 0 0 1,,0 1,2.60,
6 2S3  3.10  0.00 0 0 0 0 0 1 0,,-1 0,3.10,
15.50,,,16.06,
Program Components Factor,,,,
Skating Skills  0.75 5.50 6.00 6.25 5.75 5.50 6.00 5.50,,6.00 5.75,5.80,
Timing  0.75 5.25 5.50 6.00 6.00 5.75 6.00 5.25,,5.00 4.75,5.50,
Performance / Execution  0.50 5.50 5.75 6.25 5.75 5.00 6.00 5.25,,5.50 6.00,5.65,
Interpretation  0.50 5.50 5.50 6.50 5.50 5.25 6.25 5.25,,5.50 5.75,5.50,
Judges Total Program Component Score (factored),,,14.06,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
3 Allie HANN-MCCURDY / Michael CORENO CAN  3  29.89  16.72,,13.17,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  2.90  0.42 1 0 1 0 1 1 0,,1 1,3.32,
2 1S2  1.60  0.40 1 -1 1 0 1 1 1,,0 2,2.00,
3 1S3  2.40  0.10 1 -1 0 0 0 0 1,,0 0,2.50,
4 2S1  3.20  0.14 1 0 0 0 0 0 0,,0 1,3.34,
5 2S2  2.30  0.30 0 0 1 0 1 1 1,,0 1,2.60,
6 2S3  3.10 -0.14 0 -1 0 0 0 1 -1,,0 0,2.96,
15.50,,,16.72,
Program Components Factor,,,,
Skating Skills  0.75 5.50 4.75 4.25 5.25 6.50 5.75 4.75,,5.25 6.00,5.25,
Timing  0.75 6.00 4.50 4.50 5.00 5.75 5.75 4.00,,5.00 5.75,5.10,
