ISU Four Continents Figure Skating Championships,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
1 Mao ASADA JPN  18  126.74  68.58,,,,58.16,0.00,
"# Executed Base GOE The Judges Panel",,,,,Scores,
Elements Value (in random order),,,,,of Panel,
1 3A  8.20  0.60 1 1 1 1 -1 0,0,,,1 2,8.80,
2 3A+2T< <  8.60 -1.12 1 -1 -1 -1 -1 0,-1,,,-1 -1,7.48,
3 3F  5.50  0.20 0 1 1 0 -1 0,0,,,1 1,5.70,
4 FSSp4  3.00  0.50 1 2 1 1 1 1,1,,,1 1,3.50,
"",,,Info,,,Info
5 SpSq4  3.40  1.40 1 1 2 2 1 1,2,,,1 2,4.80,
6 3Lo  5.50 x  1.00 1 1 2 1 1 0,1,,,1 1,6.50,
7 3F+2Lo+2Lo  9.35 x  0.40 -1 0 1 1 0 0,1,,,1 1,9.75,
8 3T  4.40 x  1.00 1 1 1 1 1 1,1,,,0 2,5.40,
9 2A  3.85 x  1.40 0 2 2 1 2 1,1,,,0 2,5.25,
10 FCoSp4  3.00  0.60 1 0 1 2 1 1,2,,,1 1,3.60,
11 SlSt2  2.30  1.20 2 3 2 3 2 2,3,,,3 2,3.50,
12 CCoSp4  3.50  0.80 2 2 2 2 1 1,1,,,2 1,4.30,
60.60,,,,,68.58,
Program Components Factor,,,,,,
Skating Skills  1.60 7.00 8.00 6.75 8.00 7.50 7.25,8.25,,7.75,7.00,7.55,
Transition / Linking Footwork  1.60 6.50 6.50 6.50 6.25 6.75 6.75,6.75,,7.50,6.50,6.60,
Performance / Execution  1.60 7.00 8.25 6.75 7.75 7.50 7.25,8.25,,7.75,6.75,7.55,
Choreography / Composition  1.60 7.25 8.00 6.50 7.50 7.00 7.00,7.75,,7.75,7.00,7.30,
Interpretation  1.60 7.25 7.50 6.75 7.75 7.50 7.00,7.50,,7.75,7.00,7.35,
Judges Total Program Component Score (factored),,,,,58.16,
Deductions:,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
2 Akiko SUZUKI JPN  16  114.84  62.20,,,,52.64,0.00,
"# Executed Base GOE The Judges Panel",,,,,Scores,
Elements Value (in random order),,,,,of Panel,
1 3F+2T+2Lo  8.30  0.40 1 0 1 1 1 0,0,,,-1 1,8.70,
2 3T+2A+SEQ  6.00  1.20 1 1 2 1 2 1,0,,,2 1,7.20,
3 3Lo  5.00  0.80 1 0 2 1 2 1,0,,,1 1,5.80,
4 CCoSp4  3.50  0.40 1 1 1 1 1 0,0,,,1 1,3.90,
5 SpSq4  3.40  1.00 1 1 1 1 1 1,1,,,1 1,4.40,
6 3F  6.05 x  0.60 1 1 1 0 1 1,0,,,-1 0,6.65,
7 3Lz  6.60 x -1.00 -1 -1 -1 -1 -1 1,-1,,,-1 -1,5.60,
8 2Lo< <  0.55 x -0.24 -1 -3 -3 -2 -3 -2,-3,,,-2 -2,0.31,
9 3S+2A+SEQ  7.04 x  0.60 0 0 1 0 1 1,0,,,1 1,7.64,
10 FCSp4  3.20  0.40 1 1 1 1 2 0,1,,,1 0,3.60,
11 SlSt3  3.30  1.00 2 2 1 3 3 2,2,,,2 2,4.30,
12 FCCoSp4  3.50  0.60 1 2 0 2 2 1,0,,,1 1,4.10,
56.44,,,,,62.20,
Program Components Factor,,,,,,
Skating Skills  1.60 6.75 6.50 6.50 7.00 7.00 6.25,6.00,,7.00,7.25,6.70,
