ISU Four Continents Figure Skating Championships,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
1 Dan ZHANG / Hao ZHANG CHN  6  65.86  37.70,,,28.16,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3LzTw2  5.50  1.38 2 1 3 2 2 3 2,,,1 2,6.88,
2 3LoTh  5.00  1.40 2 2 2 2 2 2 1,,,1 2,6.40,
3 3S  4.50 -0.60 -2 0 0 -1 -1 0 -1,,,-1 -1,3.90,
4 PCoSp4  4.50  0.30 1 1 0 1 0 1 0,,,0 0,4.80,
Info,,,Info,,Info
5 4Li4  4.00  1.00 2 1 2 2 2 2 1,,,2 2,5.00,
6 FCCoSp3  3.00  0.60 0 2 2 2 1 1 1,,,0 0,3.60,
7 SlSt3  3.30  0.40 0 1 1 1 1 1 0,,,0 1,3.70,
8 BoDs1  3.00  0.42 0 1 0 1 1 1 0,,,0 1,3.42,
32.80,,,,37.70,
Program Components Factor,,,,,
Skating Skills  0.80 6.50 7.00 7.00 8.00 7.25 7.50 6.25,,,7.50 7.25,7.25,
Transition / Linking Footwork  0.80 5.50 6.75 6.50 7.50 7.00 7.25 6.00,,,7.00 7.00,6.90,
Performance / Execution  0.80 5.00 7.00 6.50 8.00 7.50 7.25 6.25,,,7.00 7.25,7.05,
Choreography / Composition  0.80 6.25 6.50 6.75 8.00 7.25 7.50 6.50,,,7.25 7.25,7.05,
Interpretation  0.80 6.00 6.75 6.50 7.75 7.25 7.25 6.25,,,7.00 7.00,6.95,
Judges Total Program Component Score (factored),,,,28.16,
Deductions:,,,,0.00,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
2 Keauna MCLAUGHLIN / Rockne BRUBAKER USA  11  64.56  38.16,,,26.40,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 3LzTw2  5.50  0.98 2 1 1 1 1 1 1,,,2 2,6.48,
2 3S  4.50 -0.60 -1 0 -2 -2 0 -1 0,,,0 0,3.90,
3 SlSt3  3.30  0.40 1 1 2 1 0 0 0,,,0 1,3.70,
4 CCoSp4  3.50  0.30 0 0 0 2 1 0 1,,,1 1,3.80,
5 3LoTh  5.00  0.98 0 2 1 1 1 0 2,,,2 2,5.98,
6 4Li4  4.00  0.60 2 1 2 1 1 1 1,,,1 1,4.60,
7 BoDs3  4.00  0.70 1 1 1 1 1 1 2,,,1 1,4.70,
8 PCoSp4  4.50  0.50 1 1 2 1 1 0 1,,,1 1,5.00,
34.30,,,,38.16,
Program Components Factor,,,,,
Skating Skills  0.80 7.00 7.00 6.50 7.00 5.75 6.50 6.50,,,6.75 6.50,6.75,
Transition / Linking Footwork  0.80 6.50 6.50 5.75 6.50 5.50 6.00 6.00,,,6.50 6.25,6.30,
Performance / Execution  0.80 6.75 6.75 6.50 6.50 5.75 6.50 6.50,,,7.00 6.75,6.65,
Choreography / Composition  0.80 6.50 6.75 6.75 6.50 5.50 6.50 6.50,,,7.00 6.50,6.60,
Interpretation  0.80 6.75 6.75 6.75 6.50 5.50 6.50 6.25,,,6.75 6.75,6.70,
Judges Total Program Component Score (factored),,,,26.40,
Deductions:,,,,0.00,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
3 Meagan DUHAMEL / Craig BUNTIN CAN  7  56.90  32.86,,,25.04,-1.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
