ISU Four Continents Figure Skating Championships,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
1 Kaitlyn WEAVER / Andrew POJE CAN  9  85.07  43.60,,,41.47,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 RoLi4  5.00  1.10 3 2 3 2 3 2 2,,,2 2,6.10,
2 CiSt2  6.40  0.80 2 1 0 1 1 1 0,,,1 1,7.20,
3 STw4  5.50  0.00 0 0 -1 0 1 0 0,,,0 0,5.50,
4 CoSp4  4.70  0.70 2 1 2 1 1 1 1,,,1 2,5.40,
Info,,,Info,,Info
5 CuLi4+RoLi4  8.00  1.00 2 2 2 2 2 2 1,,,2 2,9.00,
6 DiSt2  5.40  1.00 1 1 1 1 1 1 1,,,1 1,6.40,
7 CuLi2  3.50  0.50 1 2 0 1 2 1 0,,,1 2,4.00,
8 Li+TRANS  0.00  0.00 - - - - - - -,,,- -,0.00,
9 Li+TRANS  0.00  0.00 - - - - - - -,,,- -,0.00,
38.50,,,,43.60,
Program Components Factor,,,,,
Skating Skills  1.25 7.00 6.75 6.75 6.75 7.00 7.25 7.00,,,6.75 7.00,6.85,
Linking Footwork / Movement  1.75 7.25 6.50 7.00 6.75 6.50 7.00 6.25,,,6.75 6.75,6.75,
Performance  1.00 8.00 7.00 7.00 7.00 7.25 7.25 6.75,,,7.50 6.75,7.05,
Choreography  1.00 7.75 6.75 7.00 7.00 6.75 7.25 6.50,,,7.50 6.75,7.00,
Interpretation / Timing  1.00 7.50 6.75 7.25 7.00 7.25 7.00 6.75,,,7.25 7.00,7.05,
Judges Total Program Component Score (factored),,,,41.47,
Deductions:,,,,0.00,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
2 Allie HANN-MCCURDY / Michael CORENO CAN  12  81.46  43.40,,,38.06,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 SeLi4  8.00  0.70 2 2 1 1 2 1 1,,,2 2,8.70,
2 DiSt2  5.40  1.20 2 1 1 2 1 1 1,,,1 1,6.60,
3 STw4  5.50  0.60 2 2 1 1 1 1 2,,,1 1,6.10,
4 CoSp3  4.00  0.50 1 1 0 1 1 2 1,,,1 1,4.50,
5 CuLi2  3.50  0.50 1 1 1 1 1 1 1,,,1 2,4.00,
6 CiSt3  7.20  1.00 1 0 1 1 1 1 0,,,1 1,8.20,
7 RoLi4  5.00  0.30 1 1 -1 2 0 1 0,,,1 1,5.30,
8 Li+TRANS  0.00  0.00 - - - - - - -,,,- -,0.00,
38.60,,,,43.40,
Program Components Factor,,,,,
Skating Skills  1.25 5.50 6.50 6.50 6.00 6.25 6.00 6.25,,,7.00 6.50,6.20,
Linking Footwork / Movement  1.75 6.75 6.50 6.75 5.75 6.00 5.50 6.00,,,6.75 6.25,6.15,
Performance  1.00 6.00 7.00 7.00 6.25 6.50 6.00 6.50,,,6.75 6.25,6.30,
Choreography  1.00 7.00 7.00 6.50 6.00 7.00 6.50 6.75,,,6.75 6.25,6.60,
Interpretation / Timing  1.00 7.00 7.00 7.00 6.25 6.75 6.75 6.25,,,6.75 6.50,6.65,
Judges Total Program Component Score (factored),,,,38.06,
Deductions:,,,,0.00,
Starting Total Total,,,Total,Total,
Rank Name Nation Number Segment Element,,,Program  Component,Deductions,
Score Score,,,Score (factored),,
3 Kharis RALPH / Asher HILL CAN  8  79.01  44.40,,,34.61,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
