ISU GP Samsung Anycall Cup of China 2010,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Takahiko KOZUKA JPN,12,156.11  81.41,,74.70,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30 -1.00 -1 -1,-1,-1 -1 -2 -1,,-1 -1,9.30,
2 3A  8.50  0.29 0 1,0,0 0 1 0,,0 1,8.79,
3 3Lz+2T  7.40  0.10 0 1,0,0 0 1 0,,0 0,7.50,
4 CCoSp2  2.50  0.07 0 0,0,1 0 0 0,,0 1,2.57,
"",,Info,,,,Info
5 SeSt3  3.30  0.64 1 1,1,2 1 2 0,,1 2,3.94,
6 3A+2T+2Lo  12.87 x  0.14 0 1,0,-1 0 0 0,,0 1,13.01,
7 3F  5.83 x  0.50 1 1,0,1 1 1 1,,0 0,6.33,
8 3Lz+2T  8.14 x  0.20 0 1,0,0 0 1 0,,0 1,8.34,
9 3Lo  5.61 x  0.40 1 1,0,1 0 1 0,,1 0,6.01,
10 3S  4.62 x  0.00 0 0,-1,0 0 0 0,,0 0,4.62,
11 FSSp4  3.00  0.64 2 1,1,1 1 2 1,,1 2,3.64,
12 ChSt1  2.00  1.29 1 2,1,1 1 2 0,,1 2,3.29,
13 FCCoSp4  3.50  0.57 1 2,1,2 1 1 0,,1 1,4.07,
77.57,,,,,81.41,
Program Components Factor,,,,,,
Skating Skills  2.00 8.00 7.75,7.50,7.75 8.00 7.75 7.50,,7.75 8.00,7.79,
Transition / Linking Footwork  2.00 7.25 7.00,7.25,6.75 7.25 7.50 7.00,,7.25 7.50,7.21,
Performance / Execution  2.00 7.50 7.50,7.25,7.00 7.75 7.50 7.50,,7.25 7.75,7.46,
Choreography / Composition  2.00 7.00 7.50,7.50,6.50 7.50 7.75 7.25,,7.50 8.25,7.43,
Interpretation  2.00 7.25 7.75,7.25,6.50 7.50 7.75 7.25,,7.50 8.00,7.46,
Judges Total Program Component Score (factored),,,,,74.70,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Brandon MROZ USA,9,146.96  78.98,,67.98,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30  0.43 0 1,0,0 0 1 1,,0 1,10.73,
2 3A+3T  12.60  0.14 0 0,-1,1 1 0 0,,0 0,12.74,
3 3Lz  6.00  0.10 0 0,0,0 0 0 1,,1 0,6.10,
4 CiSt3  3.30  0.14 0 1,0,0 0 1 0,,1 0,3.44,
5 3Lo  5.10  0.10 0 0,0,0 1 0 1,,0 0,5.20,
6 FSSp3  2.60  0.00 0 0,0,0 0 0 0,,1 0,2.60,
7 3A  9.35 x  0.29 0 1,0,0 1 2 0,,0 0,9.64,
8 3Lz+2T  8.14 x  0.20 0 0,0,0 1 1 1,,0 0,8.34,
9 3S  4.62 x  0.00 0 0,0,0 0 0 1,,0 0,4.62,
10 3F+2T+2Lo  9.35 x  0.10 0 0,0,1 1 0 0,,0 0,9.45,
11 CSp1  1.40 -0.13 0 0,-3,0 0 -1 0,,0 -2,1.27,
12 ChSt1  2.00  0.71 0 1,0,0 1 1 2,,1 1,2.71,
13 FCCoSp1  2.00  0.14 0 1,0,0 0 0 1,,0 1,2.14,
76.76,,,,,78.98,
Program Components Factor,,,,,,
