ISU World Figure Skating Championships 2017,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,Total,,Total,Total,
Rank Name Nation Number Segment,Element,,Program  Component,Deductions,
Score,Score,,Score (factored),,
1 Yuzuru HANYU JPN  19  223.20,126.12,,97.08,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5In fo",J6 J7,,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4Lo  12.00  2.43 2 2 3 3 2,3 2,,2 3,14.43,
2 4S  10.50  2.71 3 2 3 3 2,3 2,,3 3,13.21,
3 FCCoSp4  3.50  0.86 1 2 2 2 1,2 2,,2 1,4.36,
4 StSq4  3.90  1.50 1 2 3 2 2,2 3,,2 2,5.40,
5 3F  5.30  1.50 2 1 2 2 3,3 2,,2 2,6.80,
6 4S+3T  16.28 x  2.43 2 2 3 3 1,3 2,,3 2,18.71,
7 4T  11.33 x  2.43 2 2 2 3 1,3 2,,3 3,13.76,
8 3A+2T  10.78 x  2.00 2 2 2 2 2,2 2,,2 2,12.78,
9 3A+1Lo+3S  14.74 x  2.14 3 2 3 3 1,2 2,,1 2,16.88,
10 FCSSp4  3.00  0.79 1 2 2 2 0,2 2,,1 1,3.79,
11 ChSq1  2.00  1.40 1 2 2 2 3,2 3,,2 1,3.40,
12 3Lz  6.60 x  1.50 1 2 2 2 3,3 2,,2 2,8.10,
13 CCoSp4  3.50  1.00 2 2 3 2 2,2 2,,2 1,4.50,
103.43,,,,126.12,
Program Components Factor,,,,,
Skating Skills  2.00  9.25  9.75  9.75  10.00  9.50,9.75  9.75,,9.75  9.50,9.68,
Transitions  2.00  9.00  9.50  9.50  9.50  9.25,9.75  9.50,,9.50  9.50,9.46,
Performance  2.00  10.00  10.00  9.75  10.00  9.25  10.00,9.75,,10.00  9.50,9.86,
Composition  2.00  10.00  10.00  9.75  9.75  9.50,9.75  9.75,,9.75  9.50,9.75,
Interpretation of the Music  2.00  9.00  9.75  10.00  10.00  9.25  10.00,10.00,,9.75  9.75,9.79,
Judges Total Program Component Score (factored),,,,97.08,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,Total,,Total,Total,
Rank Name Nation Number Segment,Element,,Program  Component,Deductions,
Score,Score,,Score (factored),,
2 Shoma UNO JPN  23  214.45,120.03,,94.42,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4Lo  12.00  1.43 1 1 2 2 0,1 1,,2 2,13.43,
2 4F  12.30  1.14 0 1 1 2 0,2 1,,2 1,13.44,
3 3Lz !  6.00 -2.10 -3 -3 -3 -3 -3,-2 -3,,-3 -3,3.90,
4 FCSp3  2.80  0.79 1 1 2 2 1,2 2,,2 1,3.59,
5 StSq4  3.90  1.50 2 2 2 3 3,2 2,,2 2,5.40,
6 FCCoSp4  3.50  0.79 2 1 2 2 1,2 2,,1 1,4.29,
7 3A+3T  14.08 x  3.00 3 1 3 3 3,3 3,,3 3,17.08,
8 4T  11.33 x -0.23 -1 -1 1 0 -1,1 1,,0 -1,11.10,
9 4T+2T  12.76 x  2.14 2 2 3 2 2,2 2,,3 2,14.90,
10 3A+1Lo+3F  15.73 x  2.57 2 1 3 3 3,3 2,,3 2,18.30,
11 3S  4.84 x  1.40 2 1 2 2 2,2 2,,2 2,6.24,
12 ChSq1  2.00  1.50 2 1 3 3 3,2 2,,2 1,3.50,
13 CCoSp4  3.50  1.36 2 1 3 3 3,3 3,,3 2,4.86,
104.74,,,,120.03,
Program Components Factor,,,,,
