ISU World Figure Skating Championships 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Evgenia MEDVEDEVA RUS  32  79.01  42.10,,36.91,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,InfoJ8 J9 Ref,,Info
Elements Value,,,Panel,
1 FCSp4  3.20  0.93 1 2 2 2 2 1 2,,2 2,4.13,
2 StSq4  3.90  1.80 2 3 2 3 3 3 2,,2 3,5.70,
3 3F+3T  10.56 x  1.80 2 2 2 2 3 3 3,,3 3,12.36,
4 3Lo  5.61 x  1.40 2 3 2 2 2 2 2,,2 2,7.01,
5 2A  3.63 x  1.00 1 2 2 2 2 2 2,,2 2,4.63,
6 CCoSp4  3.50  1.00 2 2 2 2 2 2 2,,2 2,4.50,
7 LSp4  2.70  1.07 2 3 2 2 2 2 2,,2 3,3.77,
33.10,,,42.10,
Program Components Factor,,,,
Skating Skills  0.80  9.25  9.00  8.75  9.25  9.00  9.50  8.75,,9.00  9.50,9.11,
Transitions  0.80  9.00  9.25  8.75  8.75  9.00  9.25  9.00,,9.00  9.25,9.04,
Performance  0.80  9.50  9.50  9.25  9.50  9.25  10.00  9.00,,9.25  9.50,9.39,
Composition  0.80  9.00  9.25  8.75  9.00  9.25  9.50  9.25,,9.25  9.50,9.21,
Interpretation of the Music  0.80  9.50  9.50  9.00  9.25  9.25  9.75  9.25,,9.25  9.75,9.39,
Judges Total Program Component Score (factored),,,36.91,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Kaetlyn OSMOND CAN  26  75.98  41.23,,34.75,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5 J6 J7",,J8 J9 Ref,,
Elements Value,,,Panel,
1 3F+3T  9.60  1.80 2 3 2 3 2 3 3,,2 3,11.40,
2 3Lz  6.00  1.40 1 2 2 2 3 2 2,,2 2,7.40,
3 FCSp4  3.20  1.00 1 2 2 2 2 2 2,,2 2,4.20,
4 2A  3.63 x  1.00 2 3 2 2 2 2 2,,2 1,4.63,
5 LSp4  2.70  1.00 2 3 2 2 2 1 2,,2 2,3.70,
6 StSq4  3.90  1.50 2 3 2 2 3 1 2,,2 2,5.40,
7 CCoSp4  3.50  1.00 2 3 2 2 2 2 2,,2 2,4.50,
32.53,,,41.23,
Program Components Factor,,,,
Skating Skills  0.80  8.25  9.50  7.75  8.25  8.50  9.25  8.50,,8.50  9.00,8.61,
Transitions  0.80  8.00  9.25  7.25  8.50  8.50  8.75  8.25,,8.25  8.75,8.43,
Performance  0.80  8.50  9.25  8.00  9.00  8.75  9.50  8.75,,8.75  9.00,8.86,
Composition  0.80  8.00  9.25  7.50  8.75  8.75  9.00  8.75,,8.75  9.00,8.71,
Interpretation of the Music  0.80  8.25  9.25  8.25  8.75  9.00  9.00  8.75,,8.75  9.25,8.82,
Judges Total Program Component Score (factored),,,34.75,
Deductions,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU World Figure Skating Championships 2017,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
3 Gabrielle DALEMAN CAN  33  72.19,39.19,33.00,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,InfoJ8 J9 Ref,,Info
Elements Value,,,Panel,
