9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Adelina SOTNIKOVA,RUS,4,53.74,29.66,25.08,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz,e,6.0,False,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.9
2,3F+2T,,6.6,False,0.3,0,0,1,0,1,1,0,-1,1,,6.9
3,FCSp4,,3.2,False,0.86,2,1,1,2,1,2,2,2,2,,4.06
4,2A,,3.3,False,0.5,1,1,1,1,1,0,1,1,1,,3.8
5,LSp4,,2.7,False,0.71,3,1,2,1,0,1,2,1,2,,3.41
6,SlSt3,,3.3,False,0.29,0,1,0,1,0,1,1,1,0,,3.59
7,CCoSp4,,3.5,False,0.5,2,1,0,0,1,2,1,1,1,,4.0
,,,28.6,,,,,,,,,,,,,29.66
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.75,6.5,5.75,7.0,6.5,6.25,6.75,6.0,5.5,,6.36
,Transition / Linking Footwork  ,,,,0.8,6.5,6.25,5.25,6.5,5.75,6.5,6.5,5.75,5.75,,6.14
,Performance / Execution  ,,,,0.8,7.0,6.25,6.0,6.5,6.0,6.5,6.75,5.75,5.0,,6.25
,Choreography / Composition  ,,,,0.8,7.0,6.5,6.25,6.75,6.0,6.25,7.0,6.0,5.75,,6.39
,Interpretation  ,,,,0.8,6.75,6.5,6.0,6.25,6.0,6.5,6.75,5.5,5.5,,6.21
,,,,,,,,,,,,,,,,25.08
Deduction,Falls,-1.0
