ISU GP Cup of China 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Nan SONG CHN  4,,154.03  86.45,,67.58,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T+3T  14.40  2.00 2 2 2,,2 2 2 2,,2 2,16.40,
2 4T  10.30  1.29 2 1 1,,1 2 2 1,,1 1,11.59,
3 3A  8.50  1.57 2 1 2,,1 2 2 1,,2 1,10.07,
4 CSSp4  3.00  0.21 0 0 0,,1 1 0 1,,-1 1,3.21,
"",,Info,,,,Info
5 SlSt2  2.60  0.57 0 1 1,,2 2 1 1,,1 1,3.17,
6 3A+1T  9.79 x -0.29 0 -1 -1,,-1 0 0 0,,0 0,9.50,
7 3F e  5.83 x -0.60 -1 -1 -1,,0 -1 0 -1,,-1 -1,5.23,
8 FCSp4  3.20  0.00 0 0 -1,,0 0 0 0,,0 0,3.20,
9 3Lz  6.60 x  0.70 1 1 1,,1 2 2 0,,1 0,7.30,
10 3S  4.62 x  0.30 0 0 0,,2 1 0 0,,1 1,4.92,
11 ChSt1  2.00  0.80 0 1 1,,3 1 2 1,,1 1,2.80,
12 2A+2T  5.06 x  0.29 1 0 0,,1 1 0 0,,1 1,5.35,
13 CCoSp4  3.50  0.21 0 1 0,,0 1 0 1,,1 0,3.71,
79.40,,,,,86.45,
Program Components Factor,,,,,,
Skating Skills  2.00 6.00 6.75 6.50,,7.00 7.25 7.25 6.75,,6.50 6.75,6.79,
Transition / Linking Footwork  2.00 5.75 6.00 5.75,,6.25 7.00 7.75 6.50,,6.00 6.25,6.25,
Performance / Execution  2.00 6.25 6.75 7.00,,7.00 7.25 8.25 6.75,,7.75 7.25,7.11,
Choreography / Composition  2.00 6.00 6.50 6.75,,7.25 7.00 7.75 6.75,,5.75 6.75,6.71,
Interpretation  2.00 5.50 6.75 7.00,,7.25 7.25 8.25 6.75,,6.50 7.00,6.93,
Judges Total Program Component Score (factored),,,,,67.58,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1e  Jump take off with wrong edge",,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Nobunari ODA JPN  5,,149.46  74.30,,76.16,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 3A+2T+2Lo  11.60  1.43 2 1 1,,2 2 0 1,,2 1,13.03,
2 3Lz+3T e  10.10 -0.10 -1 -1 1,,0 -1 0 0,,0 1,10.00,
3 3Lo  5.10  0.90 2 2 2,,1 1 1 1,,1 1,6.00,
4 3F< <  3.70 -2.10 -3 -3 -3,,-3 -3 -3 -3,,-3 -3,1.60,
5 SlSt3  3.30  0.43 1 -1 1,,1 1 0 1,,1 1,3.73,
6 FCSp4  3.20  0.07 0 0 1,,0 1 0 0,,0 0,3.27,
7 3A  9.35 x  1.71 2 2 2,,2 2 1 1,,1 2,11.06,
8 3S  4.62 x  0.90 2 2 1,,2 1 1 1,,1 1,5.52,
9 3Lz+2T e  8.03 x -0.30 -1 -2 0,,-1 -1 0 0,,0 0,7.73,
10 2A  3.63 x  0.07 1 0 1,,0 -1 0 0,,1 -1,3.70,
11 CCoSp2  2.50  0.43 1 0 1,,1 1 0 1,,1 1,2.93,
12 CSSp3  2.60  0.43 0 1 0,,1 1 1 1,,1 1,3.03,
13 ChSt1  2.00  0.70 1 1 1,,1 2 1 1,,1 1,2.70,
69.73,,,,,74.30,
