ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Albena DENKOVA / Maxim STAVISKI,BUL  62.10  32.03,,,30.07,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 NtMiTw4  3.30  0.79,1 1 0 2 2 2 1 2,,1,1 2 2,4.09
2 NtMiSt4  4.30  0.93,2 2 2 2 2 2 1 1,,1,2 1 2,5.23
3 SlLi4  4.00  1.00,2 2 2 2 2 2 2 1,,1,2 2 1,5.00
4 Sp3  4.00  0.50,1 1 1 1 2 1 1 1,,1,1 1 1,4.50
5 DiSt4  7.00  1.71,2 2 1 2 2 2 2 2,,2,2 0 1,8.71
6 RoLi4  4.00  0.50,1 1 1 1 1 2 1 1,,1,1 1 0,4.50
26.60,,,,,32.03
Program Components Factor,,,,,
Skating Skills  0.80,8.25 8.25 7.75 7.75 8.25 8.00 8.00 7.75,,8.50,7.75 7.75 8.00,8.00
Linking Footwork / Movement  0.80,7.75 7.75 7.75 7.50 8.00 7.50 7.75 7.50,,8.00,8.00 7.50 7.75,7.68
Performance  0.60,8.00 8.00 7.75 7.50 8.50 7.75 7.75 7.75,,8.00,8.25 7.75 7.75,7.82
Choreography  0.60,8.00 8.00 8.00 7.75 8.50 8.00 8.00 7.75,,8.00,8.25 7.50 8.25,8.00
Interpretation / Timing  1.00,8.00 8.25 8.00 7.75 8.00 8.00 8.00 7.75,,8.25,8.00 8.00 8.50,8.04
Judges Total Program Component Score (factored),,,,,30.07
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Tanith BELBIN / Benjamin AGOSTO,USA  61.85  32.45,,,29.40,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 NtMiTw4  3.30  0.79,2 1 1 3 2 2 1 1,,1,1 1 2,4.09
2 NtMiSt4  4.30  0.50,1 1 1 2 1 1 1 2,,1,1 1 1,4.80
3 SlLi4  4.00  0.93,2 2 2 2 2 1 2 1,,2,1 1 2,4.93
4 Sp4  4.70  0.79,2 1 0 2 2 2 1 2,,2,2 1 2,5.49
5 DiSt4  7.00  1.14,2 1 1 2 1 1 1 2,,2,2 1 1,8.14
6 RoLi4  4.00  1.00,1 2 2 2 2 2 2 1,,1,2 2 2,5.00
27.30,,,,,32.45
Program Components Factor,,,,,
Skating Skills  0.80,8.00 7.75 7.50 7.75 8.00 7.50 7.75 7.75,,8.25,7.50 7.50 8.00,7.75
Linking Footwork / Movement  0.80,7.75 7.50 7.25 7.75 7.75 7.50 7.75 7.50,,7.75,7.75 7.25 8.00,7.61
Performance  0.60,8.00 7.75 7.50 8.00 8.25 7.50 7.75 7.75,,8.00,7.75 7.50 8.00,7.79
Choreography  0.60,8.00 7.75 7.50 7.75 8.25 7.50 8.00 7.50,,7.75,7.50 7.50 8.25,7.82
Interpretation / Timing  1.00,7.75 7.75 7.50 7.75 7.75 7.75 7.75 7.75,,8.00,7.75 7.75 8.50,7.75
Judges Total Program Component Score (factored),,,,,29.40
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
3 Marie-France DUBREUIL / Patrice LAUZON,CAN  60.54  31.02,,,29.52,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 NtMiTw4  3.30  0.00,0 0 0 1 0 0 -1 1,,0,1 0 0,3.30
2 NtMiSt4  4.30  0.50,1 1 1 2 1 1 1 2,,2,2 1 1,4.80
3 SlLi4  4.00  0.71,2 1 2 1 2 2 1 1,,1,2 1 1,4.71
4 Sp4  4.70  0.86,2 1 1 2 2 2 1 2,,2,1 2 2,5.56
5 DiSt4  7.00  0.86,1 1 0 1 1 2 1 1,,1,2 0 1,7.86
6 RoLi4  4.00  0.79,1 2 1 3 2 2 1 2,,2,2 2 1,4.79
27.30,,,,,31.02
Program Components Factor,,,,,
