PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,,132.43  65.29,,,67.14,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3T+2T  5.30  0.29,0 0 0,0,0 1 0 1,,0,1 1 1,5.59
2 2A  3.30  1.29,1 1 2,1,1 2 0 2,,1,1 2 1,4.59
3 3LzTw1  4.50  1.30,3 2 2,1,2 2 1 2,,2,2 1 2,5.80
4 5ALi4  6.50  1.29,2 1 1,2,1 2 1 2,,1,1 2 1,7.79
5 FoDs4  4.50  0.20,2 0 1,0,0 1 0 1,,0,0 0 0,4.70
6 FCCoSp3  3.00 -0.13,-1 -1 -1,-1,0 0 0 1,,-1,0 0 0,2.87
7 3Li4  4.00  0.34,2 1 1,1,1 1 1 1,,1,1 2 1,4.34
8 SlSt3  3.10  0.50,2 0 1,0,2 1 0 1,,1,0 2 1,3.60
9 3LoTh  5.50 x  1.40,2 2 2,2,2 3 2 3,,2,1 2 2,6.90
10 3STh  4.95 x  1.57,2 2 2,2,3 3 2 3,,3,2 2 2,6.52
11 SpSq3  3.10  0.36,2 0 0,0,2 0 1 1,,0,0 2 1,3.46
12 PCoSp1  3.00  0.50,2 0 1,0,1 1 1 1,,1,0 2 1,3.50
13 5TLi3  5.50  0.13,2 0 0,1,1 1 0 2,,0,0 1 0,5.63
56.25,,,,,,,65.29
Program Components Factor,,,,,,,
Skating Skills  1.60,8.50 8.25 8.25,8.50,8.50 8.50 8.25 8.50,,9.00,8.25 8.50 8.00,8.39
Transition / Linking Footwork  1.60,8.00 8.25 8.25,8.25,8.25 8.50 8.00 8.25,,8.50,8.00 8.00 8.00,8.18
Performance / Execution  1.60,8.25 8.00 8.75,8.75,9.00 8.50 8.25 8.50,,9.00,8.25 8.50 8.25,8.50
Choreography / Composition  1.60,8.25 8.25 9.00,8.50,8.50 8.50 8.25 8.25,,8.75,8.25 8.50 8.25,8.43
Interpretation  1.60,8.25 8.25 9.00,8.50,8.75 8.50 8.25 8.50,,9.00,8.25 8.25 8.25,8.46
Judges Total Program Component Score (factored),,,,,,,67.14
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Qing PANG / Jian TONG,CHN,,121.71  61.65,,,60.06,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A+2A+SEQ  5.28  0.00,0 0 -1,0,1 0 0 1,,0,0 0 0,5.28
2 3T  4.00  0.00,0 0 0,0,0 0 0 0,,0,0 0 0,4.00
3 3LzTw2  5.00  0.80,2 1 1,1,2 2 -1 1,,1,0 1 1,5.80
4 3STh  4.50  1.49,2 2 2,3,3 3 0 2,,2,2 2 1,5.99
5 BoDs4  4.50  0.00,0 0 0,0,0 1 0 1,,-1,0 0 0,4.50
6 FCCoSp2  2.50  0.29,1 0 1,1,1 0 0 1,,0,1 1 0,2.79
7 5ALi3  6.00  0.71,1 0 1,0,0 1 0 1,,1,1 1 1,6.71
8 3LoTh  5.50 x  1.30,2 2 2,2,2 3 1 2,,2,1 2 1,6.80
9 5TLi3  5.50  0.17,1 0 1,1,1 1 0 1,,0,0 1 1,5.67
10 SlSt3  3.10  0.14,0 0 0,0,2 1 -1 0,,0,0 1 1,3.24
11 SpSq4  3.40  0.43,1 0 1,1,1 0 0 1,,0,0 1 1,3.83
12 PCoSp1  3.00  0.00,1 0 0,0,0 0 0 1,,-1,0 0 0,3.00
13 3Li4  4.00  0.04,1 0 0,0,0 1 0 1,,0,0 0 0,4.04
56.28,,,,,,,61.65
Program Components Factor,,,,,,,
Skating Skills  1.60,7.75 7.50 7.50,7.50,7.75 7.50 7.50 7.75,,7.50,8.00 7.75 7.50,7.61
