ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Albena DENKOVA / Maxim STAVISKI,BUL  102.09,53.22,,,48.87,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 STw4  4.70  0.71,1 1 0 2 1,1 2 1,,1,2 2 2,5.41
2 CuLi4  4.00  0.93,2 2 1 2 2,2 2 1,,1,2 2 2,4.93
3 CiSt4  8.00  1.86,2 1 1 1 1,2 2 2,,2,2 2 1,9.86
4 SeLi4  6.40  1.00,3 2 1 2 1,2 2 2,,1,2 2 3,7.40
5 Sp3  4.00  0.79,1 2 2 1 1,2 2 1,,1,2 2 2,4.79
6 MiSt4  7.00  1.57,1 1 2 2 2,1 2 1,,1,2 2 2,8.57
7 SlLi4+RoLi4  6.40  0.86,2 2 1 2 1,1 2 2,,1,2 2 2,7.26
8 SlLi4  4.00  1.00,2 2 1 2 2,2 2 1,,2,2 2 2,5.00
44.50,,,,,,53.22
Program Components Factor,,,,,,
Skating Skills  1.25,8.25 8.25 8.50 8.25 7.75,8.50 8.50 8.00,,8.25,8.25 8.25 8.25,8.25
Linking Footwork / Movement  1.75,8.00 7.75 7.50 8.00 7.75,8.00 8.00 8.25,,7.50,8.00 8.00 7.75,7.93
Performance  1.00,8.50 8.25 7.75 8.50 8.00,8.25 8.25 8.25,,8.25,8.25 8.00 8.25,8.21
Choreography  1.00,8.25 8.00 7.75 8.50 8.00,8.50 8.00 8.25,,8.00,8.25 8.00 8.00,8.11
Interpretation / Timing  1.00,8.50 8.00 7.75 8.00 8.25,8.50 8.25 8.50,,7.75,8.25 8.25 8.50,8.36
Judges Total Program Component Score (factored),,,,,,48.87
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Marie-France DUBREUIL / Patrice LAUZON,CAN  100.96,52.54,,,48.42,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 SlLi4  4.00  1.00,2 3 2 2 3,2 2 2,,2,2 2 2,5.00
2 RRoLi4  6.40  1.00,2 2 2 2 2,3 2 2,,2,2 2 2,7.40
3 Sp4  4.70  0.93,1 2 2 2 2,2 2 1,,2,2 2 3,5.63
4 CiSt4  8.00  1.57,1 2 1 1 2,2 1 1,,1,2 2 2,9.57
5 STw4  4.70  0.43,0 1 1 1 1,1 1 1,,1,1 1 0,5.13
6 MiSt3  6.20  1.14,1 2 1 0 1,1 2 1,,1,2 1 1,7.34
7 RoLi4  4.00  1.00,2 2 2 2 2,2 2 2,,2,2 2 2,5.00
8 SlLi4+CuLi4  6.40  1.07,2 3 2 2 2,2 2 2,,2,2 3 3,7.47
44.40,,,,,,52.54
Program Components Factor,,,,,,
Skating Skills  1.25,7.75 8.50 8.25 7.75 8.25,8.25 8.25 8.00,,8.00,8.00 8.00 8.00,8.07
Linking Footwork / Movement  1.75,7.50 7.75 7.75 7.50 8.25,8.00 8.00 7.75,,8.25,7.75 7.50 7.75,7.86
Performance  1.00,7.75 8.50 8.25 8.00 8.25,8.50 8.00 8.00,,8.75,8.00 8.00 8.25,8.14
Choreography  1.00,7.75 8.50 8.00 7.75 8.25,8.50 8.00 8.00,,8.50,8.25 7.75 7.75,8.07
Interpretation / Timing  1.00,7.75 8.50 7.50 7.50 8.50,8.75 8.25 8.25,,8.75,8.50 8.00 8.25,8.36
Judges Total Program Component Score (factored),,,,,,48.42
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA  99.17,52.20,,,46.97,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 RoLi4  4.00  0.50,1 1 2 1 1,1 2 1,,1,1 1 1,4.50
2 CiSt4  8.00  1.86,1 1 2 1 2,2 2 1,,2,2 2 2,9.86
