PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Xue SHEN / Hongbo ZHAO,CHN,71.07  39.50,,,31.57,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00  1.14,2 2 1 -,1 1 1 1,,1,1 0 0,5.14
2 3LoTh  5.00  1.66,3 2 2 -,3 2 3 2,,2,2 3 3,6.66
3 SpSq4  3.40  0.71,1 1 2 -,1 1 0 0,,0,0 1 1,4.11
4 BoDs4  4.50  0.30,0 1 1 -,0 1 0 1,,0,0 0 -1,4.80
5 FCCoSp4  3.50  0.14,0 0 1 -,1 0 0 1,,0,0 -1 0,3.64
6 3LzTw2  5.00  1.10,2 1 2 -,2 1 2 2,,1,2 2 0,6.10
7 4Li4  4.00  0.26,1 1 -1 -,1 1 2 1,,1,1 1 0,4.26
8 PCoSp4  4.50  0.29,1 1 2 -,1 0 -1 1,,0,0 0 0,4.79
33.90,,,,,,39.50
Program Components Factor,,,,,,
Skating Skills  0.80,7.75 8.25 8.00 -,8.00 8.00 7.75 8.25,,8.25,8.00 8.00 7.75,8.00
Transition / Linking Footwork  0.80,7.75 8.00 7.25 -,7.00 7.75 7.75 7.75,,8.00,7.75 7.50 8.00,7.75
Performance / Execution  0.80,8.00 8.25 8.00 -,7.25 7.75 7.50 8.00,,8.00,8.25 7.75 7.75,7.86
Choreography / Composition  0.80,7.50 8.25 8.00 -,7.25 8.00 8.00 8.00,,8.25,8.00 8.00 8.00,7.96
Interpretation  0.80,7.75 8.25 7.75 -,7.50 7.75 8.00 8.00,,8.00,8.25 8.00 8.00,7.89
Judges Total Program Component Score (factored),,,,,,31.57
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Aliona SAVCHENKO / Robin SZOLKOWY,GER,67.65  37.70,,,29.95,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3FTh  5.50  0.80,1 2 1 -,3 1 1 0,,1,1 0 1,6.30
2 3T  4.00  1.43,1 1 2 -,2 1 2 2,,1,2 1 1,5.43
3 3LzTw1  4.50  0.00,0 0 0 -,1 0 0 0,,-1,0 -1 0,4.50
4 4Li4  4.00  0.26,1 1 1 -,1 1 1 1,,0,1 1 0,4.26
5 BoDs3  4.00  0.10,0 0 1 -,1 0 0 0,,-1,0 -1 0,4.10
6 PCoSp4  4.50  0.07,0 0 1 -,1 0 0 0,,0,0 0 0,4.57
7 FCCoSp4  3.50  0.50,1 1 2 -,2 0 1 0,,0,2 1 2,4.00
8 SpSq4  3.40  1.14,1 1 2 -,1 1 2 1,,1,1 1 1,4.54
33.40,,,,,,37.70
Program Components Factor,,,,,,
Skating Skills  0.80,7.50 7.75 7.75 -,7.50 7.50 7.75 7.50,,7.50,8.00 7.50 7.75,7.61
Transition / Linking Footwork  0.80,6.75 7.50 7.25 -,6.75 7.50 7.25 7.25,,7.25,7.75 7.25 7.75,7.25
Performance / Execution  0.80,7.25 7.50 7.75 -,7.50 7.50 7.50 7.25,,7.25,8.25 7.75 7.75,7.46
Choreography / Composition  0.80,7.25 7.50 7.50 -,7.25 7.75 7.50 7.50,,7.50,8.00 7.50 7.75,7.50
Interpretation  0.80,7.50 7.75 7.75 -,7.25 7.50 7.75 7.50,,7.50,8.25 7.50 7.75,7.61
Judges Total Program Component Score (factored),,,,,,29.95
Deductions:,,,,,,0.00
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Qing PANG / Jian TONG,CHN,66.75  37.30,,,29.45,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00  0.00,0 0 1 -,-1 0 0 0,,0,0 -1 0,4.00
2 3LzTw2  5.00  1.20,2 1 2 -,3 2 2 2,,1,2 2 1,6.20
