8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
8,Sarah HECKEN,GER,3,48.11,25.48,22.63,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,3T+2T,,5.4,False,-1.05,-2,-2,-1,-2,-1,-2,-1,-1,,4.35
2,3S,,4.2,False,0.35,-1,1,1,0,0,0,1,1,,4.55
3,FCSp4,,3.2,False,0.33,1,1,1,1,1,0,0,0,,3.53
4,2A,,3.63,True,-0.17,0,0,0,-1,0,-1,-1,0,,3.46
5,LSp3,,2.4,False,0.42,0,1,1,0,1,1,1,1,,2.82
6,CCoSp4,,3.5,False,0.42,1,1,1,1,0,1,0,1,,3.92
7,StSq2,,2.6,False,0.25,1,1,1,1,0,0,0,0,,2.85
,,,24.93,,,,,,,,,,,,25.48
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.5,6.25,5.75,5.5,5.25,6.25,5.75,6.0,,5.79
,Transition / Linking Footwork  ,,,,0.8,5.0,5.5,5.25,5.5,5.0,6.0,5.25,5.25,,5.29
,Performance / Execution  ,,,,0.8,5.75,6.0,6.0,5.5,5.5,6.25,5.75,5.75,,5.79
,Choreography / Composition  ,,,,0.8,5.5,6.0,5.75,5.75,5.0,6.0,5.5,6.0,,5.75
,Interpretation  ,,,,0.8,5.25,5.75,6.0,5.75,5.25,6.25,5.5,5.75,,5.67
,,,,,,,,,,,,,,,22.63
