9,,,,,,,,,,,,,,,,
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions,,,,,,,,,
17,Sandra KHOPON,THA,2,35.58,20.53,15.05,0
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,2A,,3.3,FALSE,0,0,0,0,0,0,0,0,0,0,,3.3
2,3S<,<,2.9,FALSE,-1.3,-1,-2,-2,-2,-3,-2,0,-2,-2,,1.6
3,2F+2Lo,,3.6,FALSE,-0.9,-3,-3,-3,-3,-3,-1,-3,-3,-3,,2.7
4,FSSp4,,3,FALSE,0.07,0,0,0,1,0,0,0,1,0,,3.07
5,SlSt3,,3.3,FALSE,-0.1,0,0,0,0,0,0,-1,0,-1,,3.2
6,CCoSp4,,3.5,FALSE,-0.04,0,-1,0,0,0,1,-2,0,0,,3.46
7,LSp4,,2.7,FALSE,0.5,1,1,1,1,1,1,0,1,1,,3.2
,,,22.3,,,,,,,,,,,,,20.53
,Program Components,,,,Factor,,,,,,,,,,,
,Skating Skills  ,,,,0.8,4.25,3.25,4,4.25,4.25,4,3.5,3.75,3.75,,3.93
,Transition / Linking Footwork  ,,,,0.8,3.75,3.75,3.25,4,3.75,3.75,4,3.5,3.25,,3.68
,Performance / Execution  ,,,,0.8,4,3.5,3.5,4.25,3.75,3.75,4,3.75,3.5,,3.75
,Choreography / Composition  ,,,,0.8,4,3,4,4.25,4.5,4,3.75,3.25,3.5,,3.82
,Interpretation  ,,,,0.8,4.25,3.25,3.75,4.25,3,3.75,3.5,3.25,3.75,,3.64
,,,,,,,,,,,,,,,,15.05
