7
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Maia SHIBUTANI / Alex SHIBUTANI,USA,7,65.2,32.88,32.32,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,Ref,Scores of Panel
1,STw4,,6.6,False,1.2,2,2,2,2,1,3,2,,7.8
2,NtDiSt3,,7.1,False,1.32,2,1,2,1,1,1,1,,8.42
3,1PD3+kpTYY,,5.0,False,0.6,2,1,1,1,1,1,1,,5.6
4,PSt3+kpYYN,,5.0,False,0.6,1,0,1,2,1,2,0,,5.6
5,RoLi4,,4.5,False,0.96,2,1,2,2,1,2,1,,5.46
,,,28.2,,,,,,,,,,,32.88
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.0,8.0,8.0,7.75,7.75,8.75,8.5,,8.05
,Linking Footwork / Movement  ,,,,0.8,7.75,7.75,8.0,8.0,7.25,8.25,8.0,,7.9
,Performance  ,,,,0.8,8.0,7.75,8.25,8.5,7.5,8.75,8.75,,8.25
,Choreography  ,,,,0.8,8.0,7.75,8.25,8.25,7.5,8.5,8.25,,8.1
,Interpretation / Timing  ,,,,0.8,7.5,8.0,8.0,8.25,7.75,8.75,8.5,,8.1
,,,,,,,,,,,,,,32.32
