ISU GP Trophee Eric Bompard,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
1 Joannie ROCHETTE CAN,,121.19  60.87,60.32,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+2T+2Lo  8.80  1.00 1 1 2 1,,1 1 1 0 1,- - -,,9.80,,
2 3F  5.50  1.20 2 2 2 1,,1 0 Info 1 1 2,- - -,,6.70,,Info
3 1Lo  0.50 -0.04 -1 -1 0 0,,-3 -1 0 0 0,- - -,,0.46,,
4 FSSp4  3.00  0.30 0 1 1 1,,0 0 1 1 1,- - -,,3.30,,
5 CUSp4  2.90  0.00 -1 0 0 0,,0 0 1 0 0,- - -,,2.90,,
6 3Lz  6.60 x  1.00 1 1 2 1,,1 0 1 1 1,- - -,,7.60,,
7 3T+3S+SEQ  7.48 x  1.20 2 2 1 2,,1 0 1 1 2,- - -,,8.68,,
8 SlSt3  3.30  0.70 2 1 2 2,,1 1 1 1 1,- - -,,4.00,,
9 SpSq4  3.40  1.40 1 0 3 2,,1 1 2 1 2,- - -,,4.80,,
10 2A+2A+SEQ  6.16 x -1.28 -2 -1 0 -1,,-1 -2 -2 -2 -2,- - -,,4.88,,
11 3S  4.95 x  0.20 1 1 1 0,,0 0 0 0 1,- - -,,5.15,,
12 CCoSp2  2.50  0.10 0 0 1 0,,0 -1 0 1 1,- - -,,2.60,,
55.09,,,,,60.87,,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.75 7.25 8.00 7.25,,7.50 7.50 7.50 7.50 8.00,- - -,,7.55,,
Transition / Linking Footwork  1.60 7.25 7.25 8.00 7.00,,7.25 7.00 7.50 7.25 7.50,- - -,,7.25,,
Performance / Execution  1.60 7.50 7.50 8.75 7.25,,7.50 7.50 7.75 7.50 7.75,- - -,,7.55,,
Choreography / Composition  1.60 8.00 7.50 8.25 7.25,,8.00 7.50 7.75 7.50 7.75,- - -,,7.75,,
Interpretation  1.60 7.75 7.50 8.75 7.25,,8.00 7.25 7.75 7.25 8.00,- - -,,7.60,,
Judges Total Program Component Score (factored),,,,,60.32,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
2 Mao ASADA JPN,,109.47  51.59,58.88,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3A  8.20 -1.68 -1 -2 -1 -2,,0 -1 -2 -1 1,- - -,,6.52,,
2 2Lo  1.50 -0.12 -1 0 0 0,,0 -1 -1 0 0,- - -,,1.38,,
3 3F+2Lo+2Lo  8.50  0.60 1 -1 0 0,,1 1 1 0 1,- - -,,9.10,,
4 FSSp4  3.00  0.50 1 1 0 1,,1 1 1 1 1,- - -,,3.50,,
5 SpSq4  3.40  1.20 2 1 1 1,,1 1 2 1 2,- - -,,4.60,,
6 1S  0.44 x -0.30 -3 -3 -3 -3,,-3 -3 -3 -3 -3,- - -,,0.14,,
7 3F+1Lo  6.60 x -0.40 0 -1 -1 0,,0 -1 -1 0 0,- - -,,6.20,,
8 3T  4.40 x  0.20 -2 -2 0 0,,0 0 1 1 1,- - -,,4.60,,
9 2A  3.85 x  0.00 0 0 0 0,,0 0 0 1 1,- - -,,3.85,,
10 FCoSp4  3.00  0.30 2 0 0 1,,1 0 1 0 1,- - -,,3.30,,
11 SlSt3  3.30  0.90 2 1 1 3,,2 1 2 2 2,- - -,,4.20,,
12 CCoSp4  3.50  0.70 2 0 1 2,,3 0 1 1 1,- - -,,4.20,,
49.69,,,,,51.59,,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.25 6.75 7.75 7.50,,7.50 7.75 7.75 7.50 7.75,- - -,,7.60,,
Transition / Linking Footwork  1.60 6.25 6.75 6.50 6.50,,7.50 7.50 7.25 7.25 7.50,- - -,,7.00,,
Performance / Execution  1.60 6.50 6.75 7.25 7.00,,7.50 7.75 7.50 7.25 7.50,- - -,,7.30,,
Choreography / Composition  1.60 7.00 7.00 6.75 7.25,,8.00 8.00 7.75 7.50 8.00,- - -,,7.50,,
Interpretation  1.60 6.75 6.75 7.25 6.75,,8.00 8.00 7.50 7.50 8.25,- - -,,7.40,,
Judges Total Program Component Score (factored),,,,,58.88,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Trophee Eric Bompard,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
3 Caroline ZHANG USA,,104.78  55.66  49.12,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3F<+3T< <  3.00 -0.76 -2 -3 -3 -3,,-2 -3 -2 -1 -2 - - -,,2.24,,
2 3Lz+2T e  7.30 -2.00 -2 -2 -2 -2,,-2 -2Info -2 -1 -2 - - -,,5.30,,Info
3 2A  3.50 -0.16 0 0 -1 -1,,0 0 0 0 -1 - - -,,3.34,,
4 CCoSp4  3.50  0.80 2 1 1 2,,0 2 2 1 2 - - -,,4.30,,
5 SpSq4  3.40  1.60 2 1 2 2,,2 1 1 1 2 - - -,,5.00,,
6 3F  6.05 x  0.00 0 0 0 -1,,0 0 0 0 0 - - -,,6.05,,
7 3Lo  5.50 x  0.20 1 0 0 0,,0 0 1 0 -1 - - -,,5.70,,
8 SlSt2  2.30  0.30 2 0 1 1,,0 0 1 0 1 - - -,,2.60,,
9 3S  4.95 x  0.00 0 0 0 0,,0 -1 0 0 0 - - -,,4.95,,
10 3Lo+2T+2Lo  8.58 x  0.00 1 0 0 0,,0 -1 0 0 -1 - - -,,8.58,,
11 FSSp4  3.00  0.40 1 1 0 1,,0 2 2 0 0 - - -,,3.40,,
12 LSp4  2.70  1.50 3 3 3 3,,3 3 3 1 3 - - -,,4.20,,
53.78,,,,55.66,,
Program Components Factor,,,,,,
Skating Skills  1.60 6.00 6.50 5.75 6.00,,5.75 6.50 6.50 6.50 5.75 - - -,,6.15,,
Transition / Linking Footwork  1.60 5.75 6.00 5.00 5.75,,5.50 6.25 6.00 6.25 5.25 - - -,,5.85,,
Performance / Execution  1.60 6.00 6.75 6.00 6.00,,6.00 6.25 6.50 6.25 5.75 - - -,,6.10,,
Choreography / Composition  1.60 6.50 6.25 5.75 6.25,,6.00 6.50 6.75 6.50 6.00 - - -,,6.35,,
Interpretation  1.60 6.00 6.00 6.25 6.25,,6.25 6.25 6.50 6.25 6.00 - - -,,6.25,,
Judges Total Program Component Score (factored),,,,49.12,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
4 Candice DIDIER FRA,,87.29  48.05  40.24,,1.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 3F  5.50  0.00 0 0 0 0,,0 0 0 0 0 - - -,,5.50,,
2 3Lz  6.00 -3.00 -3 -3 -3 -3,,-3 -3 -3 -3 -3 - - -,,3.00,,
3 3T  4.00  1.00 1 1 1 1,,1 1 1 0 0 - - -,,5.00,,
4 3S+2T  5.80 -1.00 -1 -1 -1 -1,,0 -1 -1 -1 -1 - - -,,4.80,,
5 CCoSp4  3.50  0.10 0 0 0 1,,1 0 0 0 0 - - -,,3.60,,
6 SpSq4  3.40  0.60 2 0 1 1,,0 1 0 0 1 - - -,,4.00,,
7 2A  3.85 x  1.00 1 1 1 1,,1 1 1 1 1 - - -,,4.85,,
8 3T+2T  5.83 x  0.00 0 0 0 0,,0 0 -1 0 0 - - -,,5.83,,
9 2A  3.85 x  0.00 1 0 0 0,,0 0 0 0 0 - - -,,3.85,,
10 FSSp4  3.00  0.10 1 0 0 0,,1 0 0 0 0 - - -,,3.10,,
11 SlSt2  2.30  0.00 0 -1 0 0,,0 -1 0 0 0 - - -,,2.30,,
12 CUSp3  2.40 -0.18 -1 -1 -2 0,,0 -1 -1 0 -1 - - -,,2.22,,
49.43,,,,48.05,,
Program Components Factor,,,,,,
Skating Skills  1.60 5.50 5.25 4.75 5.25,,5.75 5.00 5.00 5.50 5.50 - - -,,5.25,,
Transition / Linking Footwork  1.60 5.00 5.00 3.25 4.50,,5.25 4.50 4.50 5.25 4.75 - - -,,4.75,,
Performance / Execution  1.60 5.50 5.00 4.50 5.25,,5.50 5.00 5.00 5.50 5.25 - - -,,5.25,,
Choreography / Composition  1.60 5.25 5.25 4.00 5.00,,5.50 5.25 4.75 5.50 5.25 - - -,,5.15,,
Interpretation  1.60 5.00 4.75 4.00 4.25,,5.25 4.75 4.50 5.25 5.00 - - -,,4.75,,
Judges Total Program Component Score (factored),,,,40.24,,
Deductions: Falls: -1.00,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Trophee Eric Bompard,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
