ISU GP Trophee Eric Bompard,,,,,
ICE DANCE ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
1 Federica FAIELLA / Massimo SCALI ITA  55.79  27.90,,,27.89,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 Sp4  4.70  0.20 1 0 0 0 1 0 0 1,,1,- - -,4.90,
2 MiStNt3  6.I2n0fo  0.20 0 0 0 1 0 0 1 1,,Info0,- - -,6.40,Info
3 RoLi4  4.00  0.50 1 1 1 1 1 1 0 1,,1,- - -,4.50,
4 STw3  4.00  0.10 1 0 1 0 1 0 0 0,,0,- - -,4.10,
5 DiSt3  7.20  0.80 0 1 0 0 1 1 1 1,,1,- - -,8.00,
6 Li+TRANS  0.00  0.00 - - - - - - - -,,-,- - -,0.00,
26.10,,,,27.90,
Program Components Factor,,,,,
Skating Skills  0.80 7.25 7.25 7.50 6.75 7.25 7.50 7.25 7.50,,7.50,- - -,7.40,
Linking Footwork / Movement  0.80 7.00 7.25 7.25 6.50 7.00 7.25 7.25 7.25,,7.00,- - -,7.20,
Performance  0.60 7.00 7.25 7.25 6.25 7.50 7.25 7.50 7.50,,7.00,- - -,7.25,
Choreography  0.60 7.25 7.50 7.25 6.50 7.25 7.50 7.75 7.25,,7.25,- - -,7.35,
Interpretation / Timing  1.00 7.25 7.50 7.50 7.00 7.50 7.50 7.50 7.25,,7.50,- - -,7.45,
Judges Total Program Component Score (factored),,,,27.89,
Deductions:,,,,0.00,
"*  Invalid element",,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
2 Sinead KERR / John KERR GBR  55.52  27.60,,,27.92,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 MiStNt3  6.20  1.20 1 1 1 1 0 1 2 1,,2,- - -,7.40,
2 STw3  4.00 -0.50 -2 -1 -1 0 -1 0 -1 -1,,-1,- - -,3.50,
3 Sp4  4.70  0.50 0 1 1 1 1 1 1 1,,1,- - -,5.20,
4 DiSt3  7.20  0.40 0 0 0 0 0 1 1 1,,0,- - -,7.60,
5 CuLi3  3.50  0.40 0 1 1 1 1 2 0 1,,1,- - -,3.90,
6 Li+TRANS  0.00  0.00 - - - - - - - -,,-,- - -,0.00,
25.60,,,,27.60,
Program Components Factor,,,,,
Skating Skills  0.80 6.75 7.25 7.50 6.75 7.25 7.50 7.50 7.25,,7.25,- - -,7.35,
Linking Footwork / Movement  0.80 6.50 7.25 7.25 7.00 6.75 7.25 7.25 7.00,,7.25,- - -,7.20,
Performance  0.60 6.75 7.50 7.50 6.75 7.00 7.75 7.75 7.25,,7.00,- - -,7.40,
Choreography  0.60 6.75 7.50 7.25 7.00 7.00 7.75 7.50 7.25,,7.50,- - -,7.40,
Interpretation / Timing  1.00 7.00 7.50 7.50 7.25 7.25 7.50 7.50 7.25,,7.25,- - -,7.40,
Judges Total Program Component Score (factored),,,,27.92,
Deductions:,,,,0.00,
"*  Invalid element",,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
3 Isabelle DELOBEL / Olivier SCHOENFELDER FRA  55.23  25.50,,,29.73,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 MiStNt3  6.20  1.00 1 1 2 1 1 1 1 0,,1,- - -,7.20,
2 SlLi4  4.00  1.00 2 2 2 1 2 2 2 2,,2,- - -,5.00,
3 CiSt3  7.20  1.00 1 1 0 1 1 1 1 2,,1,- - -,8.20,
4 Sp1  3.00 -0.30 0 -1 -1 0 0 0 -1 1,,-1,- - -,2.70,
5 STw1  3.00 -0.60 -1 -1 -2 0 -1 0 -2 -1,,-1,- - -,2.40,
6 Li+TRANS  0.00  0.00 - - - - - - - -,,-,- - -,0.00,
23.40,,,,25.50,
Program Components Factor,,,,,
Skating Skills  0.80 7.75 7.75 8.00 8.00 7.50 8.00 8.00 8.25,,7.50,- - -,7.90,
