ISU GP Trophee Eric Bompard,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
1 Patrick CHAN CAN,,156.70  79.80,76.90,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3A  8.20  2.00 2 2 2 2,,2 2 2 2 2,- - -,,10.20,,
2 3F+3T  9.50  1.60 1 1 1 2,,2 In1fo 2 2 2,- - -,,11.10,,Info
3 3Lz  6.00  1.80 2 1 3 2,,1 2 2 2 2,- - -,,7.80,,
4 CSSp4  3.00  0.60 1 1 1 2,,1 1 1 0 2,- - -,,3.60,,
5 CiSt4  3.90  1.60 1 1 1 2,,2 1 2 1 2,- - -,,5.50,,
6 3A+SEQ  7.22 x -2.80 -2 -1 -2 -2,,-2 -2 -2 -1 -2,- - -,,4.42,,
7 3S  4.95 x -2.20 -2 -1 -3 -2,,-2 -2 -2 -2 -3,- - -,,2.75,,
8 CCoSp4  3.50  0.60 1 1 1 2,,1 1 1 0 2,- - -,,4.10,,
9 3Lo  5.50 x  1.20 0 1 2 2,,1 1 1 2 1,- - -,,6.70,,
10 3Lz+2T+2Lo  9.68 x  1.20 1 1 1 2,,1 1 1 1 2,- - -,,10.88,,
11 2A  3.85 x  1.40 0 1 2 2,,1 2 1 2 2,- - -,,5.25,,
12 SlSt3  3.30  0.70 1 1 2 3,,2 1 1 1 1,- - -,,4.00,,
13 FSSp4  3.00  0.50 1 1 1 2,,1 0 1 2 1,- - -,,3.50,,
71.60,,,,,79.80,,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.50 7.50 8.25 8.00,,8.25 8.00 7.75 8.25 7.50,- - -,,7.80,,
Transition / Linking Footwork  2.00 7.25 7.25 7.50 7.50,,8.00 7.75 7.50 8.00 7.25,- - -,,7.40,,
Performance / Execution  2.00 7.00 7.25 7.75 7.75,,7.75 7.25 7.75 7.50 7.75,- - -,,7.65,,
Choreography / Composition  2.00 7.25 7.50 8.25 7.75,,8.25 7.50 7.75 7.75 7.75,- - -,,7.80,,
Interpretation  2.00 7.25 7.50 8.25 8.00,,8.00 7.75 8.00 8.25 7.50,- - -,,7.80,,
Judges Total Program Component Score (factored),,,,,76.90,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
2 Takahiko KOZUKA JPN,,153.78  82.68,72.10,,1.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 4T< <  4.00 -3.00 -3 -3 -3 -3,,-3 -3 -3 -3 -3,- - -,,1.00,,
2 3A+3T  12.20  2.00 2 2 2 2,,1 2 2 2 2,- - -,,14.20,,
3 3F  5.50  1.40 1 1 3 1,,1 2 2 2 2,- - -,,6.90,,
4 FSSp4  3.00  0.60 1 0 1 2,,1 1 1 1 2,- - -,,3.60,,
5 SlSt3  3.30  0.50 1 1 1 1,,1 0 1 2 2,- - -,,3.80,,
6 FCCoSp4  3.50  0.70 1 1 2 2,,0 2 1 1 2,- - -,,4.20,,
7 3S+2T  6.38 x  1.00 1 1 1 1,,1 1 0 1 1,- - -,,7.38,,
8 CiSt3  3.30  0.50 1 1 0 1,,1 1 1 1 1,- - -,,3.80,,
9 3Lz+2T+2Lo  9.68 x  0.20 0 1 0 0,,-1 0 1 0 0,- - -,,9.88,,
10 3Lo  5.50 x  0.40 0 0 0 1,,0 1 2 1 1,- - -,,5.90,,
11 3A  9.02 x  1.40 1 2 1 2,,1 2 2 1 1,- - -,,10.42,,
12 3Lz  6.60 x  1.20 0 1 2 2,,1 1 1 1 1,- - -,,7.80,,
13 CCoSp3  3.00  0.80 1 1 1 2,,2 2 2 3 2,- - -,,3.80,,
74.98,,,,,82.68,,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.25 7.25 8.00 7.50,,7.25 7.50 7.50 8.00 7.50,- - -,,7.40,,
Transition / Linking Footwork  2.00 6.50 6.25 7.00 7.25,,7.00 7.00 7.25 6.75 7.00,- - -,,6.95,,
Performance / Execution  2.00 7.00 7.25 7.25 7.50,,7.50 8.00 7.50 7.50 7.00,- - -,,7.30,,
Choreography / Composition  2.00 6.75 6.50 7.50 7.25,,7.25 7.25 7.50 7.00 7.25,- - -,,7.20,,
Interpretation  2.00 7.25 6.50 7.50 7.25,,7.25 6.75 7.50 7.50 6.75,- - -,,7.20,,
Judges Total Program Component Score (factored),,,,,72.10,,
Deductions: Falls: -1.00,,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP Trophee Eric Bompard,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
3 Alban PREAUBERT FRA,,149.20  81.30  67.90,,0.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 4T  9.80 -1.08 -1 -1 -1 1,,-1 0 1 -1 -1 - - -,,8.72,,
2 3A+3T  12.20  1.00 1 1 1 1,,0 In0fo 1 2 1 - - -,,13.20,,Info
3 3F+2T  6.80  0.00 0 0 0 0,,0 0 0 0 0 - - -,,6.80,,
4 3A  8.20  0.80 1 1 1 2,,0 0 0 1 1 - - -,,9.00,,
5 CSSp4  3.00  0.20 0 1 0 2,,0 1 0 0 1 - - -,,3.20,,
6 3Lz !  6.60 x -1.20 -1 -1 -2 0,,-1 -1 -2 -2 -1 - - -,,5.40,,
7 3Lo  5.50 x  1.00 0 1 2 1,,1 1 1 2 1 - - -,,6.50,,
8 CiSt3  3.30  0.30 0 0 1 1,,1 0 0 0 1 - - -,,3.60,,
9 3F+2T+2Lo  9.13 x  0.20 0 1 0 1,,0 0 0 1 0 - - -,,9.33,,
10 FSSp4  3.00  0.00 0 0 0 0,,0 0 0 -1 0 - - -,,3.00,,
11 SlSt3  3.30  0.40 0 1 1 1,,1 1 0 1 1 - - -,,3.70,,
12 3S  4.95 x -0.20 -1 0 0 1,,0 0 0 0 -1 - - -,,4.75,,
13 CCoSp4  3.50  0.60 1 2 1 2,,1 2 1 0 1 - - -,,4.10,,
79.28,,,,81.30,,
Program Components Factor,,,,,,
Skating Skills  2.00 6.50 6.75 5.75 7.25,,6.75 6.75 7.00 5.75 6.50 - - -,,6.70,,
Transition / Linking Footwork  2.00 5.75 6.50 6.50 6.75,,6.50 7.00 6.75 6.25 6.00 - - -,,6.45,,
Performance / Execution  2.00 5.75 7.00 7.00 7.50,,7.00 7.75 7.25 6.75 6.25 - - -,,6.90,,
Choreography / Composition  2.00 6.00 7.00 7.50 7.25,,6.75 7.50 7.00 7.00 6.50 - - -,,6.90,,
Interpretation  2.00 6.25 7.00 8.00 7.25,,7.00 7.25 7.25 7.25 6.50 - - -,,7.00,,
Judges Total Program Component Score (factored),,,,67.90,,
Deductions:,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
4 Brian JOUBERT FRA,,147.38  74.78  73.60,,1.00,,
"# Executed Base GOE",,The Judges Panel,,Scores,,
Elements Value,,(in random order),of Panel,,,
1 4T  9.80 -1.28 -1 -1 -1 0,,-2 -1 0 0 -1 - - -,,8.52,,
2 3S  4.50  1.20 1 1 1 2,,1 1 2 2 1 - - -,,5.70,,
3 3A+2T  9.50  0.40 0 1 0 1,,0 0 0 0 1 - - -,,9.90,,
4 CSSp3  2.60  0.10 0 0 0 2,,0 0 0 -1 1 - - -,,2.70,,
5 CiSt3  3.30  0.80 1 1 1 2,,2 2 2 1 2 - - -,,4.10,,
6 3A  9.02 x  2.00 2 2 2 2,,1 2 2 2 2 - - -,,11.02,,
7 3Lo< <  1.65 x -1.00 -3 -3 -3 -3,,-3 -3 -3 -3 -3 - - -,,0.65,,
8 3Lz+2T+2T  9.46 x  1.00 1 1 0 1,,1 1 1 0 1 - - -,,10.46,,
9 2A  3.85 x  1.20 1 1 2 2,,1 1 1 1 1 - - -,,5.05,,
10 FSSp4  3.00  0.20 1 0 1 1,,0 0 0 1 0 - - -,,3.20,,
11 SlSt3  3.30  0.70 1 1 1 2,,2 1 1 1 2 - - -,,4.00,,
12 2A+2T  5.28 x  0.40 0 1 0 1,,1 1 0 0 0 - - -,,5.68,,
13 CCoSp4  3.50  0.30 -1 0 0 1,,1 0 1 0 1 - - -,,3.80,,
68.76,,,,74.78,,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 7.50 6.50 7.75,,7.50 8.25 7.50 7.25 7.50 - - -,,7.55,,
Transition / Linking Footwork  2.00 7.25 7.00 6.25 7.25,,7.00 7.50 7.00 6.75 7.00 - - -,,7.05,,
Performance / Execution  2.00 7.75 7.00 7.25 7.75,,7.25 8.00 7.25 7.00 7.25 - - -,,7.35,,
Choreography / Composition  2.00 7.50 7.25 7.50 7.50,,7.50 7.75 7.25 7.00 7.25 - - -,,7.40,,
Interpretation  2.00 8.00 7.25 6.75 7.50,,7.50 7.75 7.50 7.50 7.50 - - -,,7.45,,
Judges Total Program Component Score (factored),,,,73.60,,
Deductions: Falls: -1.00,,,,-1.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,
ISU GP Trophee Eric Bompard,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total Total,Total,,,
NOC,,Segment Element Program  Component,Deductions,,,
Rank Name,,,,,,
Code,,Score Score Score (factored),,,,
"",,= + +,,-,,
