12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
18,Elene GEDEVANISHVILI,GEO,0,81.93,41.13,40.8,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lz,,6.0,False,-0.71,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,,5.29
2,3F,e,5.5,False,-1.29,-1,-1,-2,-1,-2,-2,-1,-1,-1,-1,-2,-2,,4.21
3,2A+2A+SEQ,,5.6,False,0.29,1,0,0,1,0,0,0,0,0,0,1,0,,5.89
4,CoSp4,,3.0,False,0.29,0,1,1,0,0,0,1,1,0,1,1,1,,3.29
5,SpSq4,,3.4,False,1.14,1,1,1,0,1,1,2,1,2,1,1,0,,4.54
6,2Lz,,1.9,False,-0.6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,1.3
7,2A+SEQ,,3.08,True,-1.86,-2,-2,-3,-2,-3,-2,-3,-1,-2,-2,-2,-2,,1.22
8,2S,,1.43,True,0.0,0,1,0,0,0,0,0,0,0,0,0,0,,1.43
9,3T,,4.4,True,-1.0,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-1,-1,,3.4
10,FSSp2,,2.0,False,0.0,0,0,0,0,0,0,0,0,0,-1,1,0,,2.0
11,SlSt2,,2.3,False,0.0,0,0,0,0,0,0,0,1,0,0,1,0,,2.3
12,CCoSp3,,3.0,False,0.29,0,1,0,0,1,0,1,1,1,0,1,0,,3.29
13,LSp3,,2.4,False,0.57,1,1,1,1,2,1,1,2,2,1,1,1,,2.97
,,,44.01,,,,,,,,,,,,,,,,41.13
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.75,5.25,5.0,5.25,5.5,5.5,5.75,6.0,5.5,5.25,5.5,5.75,,5.43
,Transition / Linking Footwork  ,,,,1.6,5.5,4.5,3.5,4.75,4.25,4.5,5.0,5.5,5.0,5.0,5.25,5.25,,4.82
,Performance / Execution  ,,,,1.6,5.75,5.0,4.0,4.5,4.75,5.0,5.75,5.5,5.75,5.25,5.25,5.5,,5.18
,Choreography / Composition  ,,,,1.6,5.5,4.75,3.75,4.5,5.0,4.75,5.25,5.5,5.25,5.25,5.5,5.25,,5.07
,Interpretation  ,,,,1.6,5.5,4.75,3.5,4.75,4.0,5.0,5.5,5.75,5.5,5.25,5.25,5.75,,5.0
,,,,,,,,,,,,,,,,,,,40.8
