Cup of Russia - Bosco Sport,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Maria PETROVA / Alexei TIKHONOV RUS,,115.75  58.47,,,57.28,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw1  4.50 -0.14 0 0 -1,-2,0 0 -2 1,,0,0 - -,4.36
2 3T  4.00 -1.60 -2 -1 -2,-2,-2 -2 -1 -2,,-1,-2 - -,2.40
3 2A+2A+SEQ  5.28 -0.28 -1 0 0,-1,0 -1 -1 -1,,0,-1 - -,5.00
4 3LoTh  5.00  0.98 1 2 0,0,1 1 1 2,,2,1 - -,5.98
5 5ALi4  6.50  0.40 2 1 0,0,0 0 0 1,,2,0 - -,6.90
6 5SLi4  6.00  0.18 2 1 1,0,0 0 1 0,,1,0 - -,6.18
7 FiDs4  3.50  0.56 0 1 1,0,0 0 1 1,,2,-1 - -,4.06
8 3STh  4.95 x  0.56 0 2 1,0,1 1 1 0,,1,-1 - -,5.51
9 3Li4  4.00  0.24 1 2 0,0,0 0 1 1,,1,1 - -,4.24
10 SpSq4  3.40  0.20 0 1 0,0,0 0 0 0,,1,0 - -,3.60
11 FCCoSp3  3.00 -0.06 0 0 0,0,0 0 -1 0,,0,-1 - -,2.94
12 SlSt3  3.10  0.10 0 2 0,0,0 0 0 1,,0,0 - -,3.20
13 PCoSp3  4.00  0.10 0 1 0,0,0 0 0 1,,0,0 - -,4.10
57.23,,,,,,58.47
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 8.00 7.50,6.50,6.75 7.00 7.00 7.25,,7.75,6.75 - -,7.25
Transition / Linking Footwork  1.60 7.25 7.25 7.25,6.50,6.75 6.25 6.50 7.00,,7.25,6.75 - -,7.00
Performance / Execution  1.60 7.75 7.75 7.50,6.50,7.00 6.75 6.75 6.75,,7.50,7.00 - -,7.15
Choreography / Composition  1.60 7.50 7.50 7.50,6.25,7.00 6.75 6.50 7.25,,7.25,7.25 - -,7.25
Interpretation  1.60 7.75 8.25 7.25,6.25,7.00 6.50 6.75 6.75,,7.75,7.00 - -,7.15
Judges Total Program Component Score (factored),,,,,,57.28
Deductions:,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Aliona SAVCHENKO / Robin SZOLKOWY GER,,115.49  57.65,,,57.84,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3FTh  5.50  0.14 1 0 0,1,1 1 1 0,,0,0 - -,5.64
2 2T+2T+SEQ  2.08 -0.68 -2 -3 -1,-2,-2 -1 -2 -3,,-2,-2 - -,1.40
3 3LzTw2  5.00  0.14 0 0 -1,0,0 0 0 1,,1,0 - -,5.14
4 5TLi4  6.00  0.18 0 1 0,0,1 0 0 1,,1,0 - -,6.18
5 SpSq4  3.40  1.20 1 2 1,1,1 1 1 2,,1,1 - -,4.60
6 5ALi4  6.50  1.00 1 2 1,0,1 2 0 1,,1,1 - -,7.50
7 3STh  4.95 x  1.26 2 2 2,1,2 2 1 2,,1,2 - -,6.21
8 1A  0.88 x  0.00 0 1 0,0,0 0 0 0,,0,0 - -,0.88
9 FCCoSp4  3.50  0.00 0 0 0,0,0 0 0 0,,0,0 - -,3.50
10 SlSt3  3.10  0.40 0 1 0,0,1 0 0 1,,1,1 - -,3.50
11 3Li4  4.00  0.06 1 1 0,0,0 0 0 0,,1,0 - -,4.06
12 BoDs3  4.00  0.14 0 0 0,-1,1 0 0 1,,0,-1 - -,4.14
13 PCoSp4  4.50  0.40 1 2 0,0,1 1 1 1,,0,1 - -,4.90
53.41,,,,,,57.65
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 8.00 7.75,7.50,7.25 7.00 7.00 7.75,,7.00,7.00 - -,7.35
Transition / Linking Footwork  1.60 7.50 8.25 7.50,7.00,7.00 6.50 6.75 7.25,,6.00,7.00 - -,7.10
