Cup of Russia - Bosco Sport,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,
Total,Total,,,Total,Total
NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,
Code Score,Score,,,Score (factored),
"=",+,,,+,-
1 Oksana DOMNINA / Maxim SHABALIN RUS  94.99,47.20,,,47.79,0.00
"# Executed Base GOE The Judges Panel",,,,,Scores
Elements Value (in random order),,,,,of Panel
1 Sp3  4.00  0.60 2 1 1 1 1,1 1 1,,1,2 - -,4.60
2 DiSt2  5.40  1.00 2 0 1 1 1,1 1 1,,1,1 - -,6.40
3 SlLi4  4.00  0.70 1 0 2 1 1,2 1 1,,2,2 - -,4.70
4 SlLi4+RoLi4  6.40  1.00 2 1 2 2 2,2 2 2,,2,1 - -,7.40
5 STw4  4.70  0.10 0 0 0 0 0,0 1 1,,0,0 - -,4.80
6 SeLi4  6.40  0.70 1 1 2 1 2,1 1 2,,2,1 - -,7.10
7 CiSt3  7.20  0.40 1 0 1 1 0,0 0 0,,1,1 - -,7.60
8 RoLi4  4.00  0.60 2 1 1 2 1,2 1 1,,1,0 - -,4.60
42.10,,,,,47.20
Program Components Factor,,,,,
Skating Skills  1.25 8.25 7.25 7.50 7.75 7.50,7.50 8.25 8.00,,8.25,7.50 - -,7.90
Linking Footwork / Movement  1.75 8.00 7.25 7.50 8.00 7.75,7.25 8.00 7.75,,8.00,7.25 - -,7.75
Performance  1.00 8.25 7.25 7.75 7.75 7.75,8.00 8.50 8.00,,8.25,7.75 - -,8.05
Choreography  1.00 8.50 7.50 7.50 7.75 8.00,8.00 8.25 8.25,,8.25,7.50 - -,8.15
Interpretation / Timing  1.00 8.75 7.25 7.75 8.25 8.25,8.00 8.00 8.25,,8.25,7.75 - -,8.15
Judges Total Program Component Score (factored),,,,,47.79
Deductions:,,,,,0.00
Total,Total,,,Total,Total
NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,
Code Score,Score,,,Score (factored),
"=",+,,,+,-
2 Tanith BELBIN / Benjamin AGOSTO USA  91.75,45.40,,,46.35,0.00
"# Executed Base GOE The Judges Panel",,,,,Scores
Elements Value (in random order),,,,,of Panel
1 DiSt2  5.40  0.60 0 1 1 1 1,1 0 0,,1,1 - -,6.00
2 CuLi4  4.00  0.40 1 1 1 1 1,1 0 0,,1,1 - -,4.40
3 CiSt3  7.20  0.80 0 1 1 1 1,2 0 0,,1,2 - -,8.00
4 STw4  4.70  0.60 0 2 2 2 2,2 1 1,,0,2 - -,5.30
5 CuLi4+RoLi2  5.60  0.60 1 2 2 2 1,2 1 1,,1,2 - -,6.20
6 SeLi3  5.60  0.20 0 2 0 1 1,1 0 0,,1,0 - -,5.80
7 RoLi4  4.00  0.80 1 2 2 2 2,2 1 2,,1,2 - -,4.80
8 Sp4  4.70  0.20 0 1 1 1 1,1 0 0,,1,0 - -,4.90
41.20,,,,,45.40
Program Components Factor,,,,,
Skating Skills  1.25 7.75 8.25 7.75 8.00 7.75,7.50 7.75 7.75,,8.00,7.75 - -,7.75
Linking Footwork / Movement  1.75 7.75 8.00 7.75 8.00 7.50,7.00 7.50 7.50,,7.75,7.50 - -,7.55
Performance  1.00 8.00 8.25 8.00 8.25 8.00,8.25 7.50 7.75,,7.75,8.00 - -,7.90
Choreography  1.00 7.50 8.25 7.50 8.00 7.75,7.50 7.50 7.75,,8.00,7.50 - -,7.60
Interpretation / Timing  1.00 8.00 8.25 8.00 8.25 7.75,8.00 7.75 8.00,,8.00,8.00 - -,7.95
Judges Total Program Component Score (factored),,,,,46.35
Deductions:,,,,,0.00
Total,Total,,,Total,Total
NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,
Code Score,Score,,,Score (factored),
"=",+,,,+,-
3 Isabelle DELOBEL / Olivier SCHOENFELDER FRA  89.20,42.90,,,46.30,0.00
"# Executed Base GOE The Judges Panel",,,,,Scores
Elements Value (in random order),,,,,of Panel
1 RoLi4  4.00  0.60 0 0 1 1 1,3 1 2,,1,1 - -,4.60
2 CiSt3  7.20  0.80 0 1 2 2 2,2 0 0,,0,2 - -,8.00
3 STw1  3.00 -0.40 -2 0 0 0 -1,0 -1 -1,,-1,0 - -,2.60
4 SeLi2  4.80  0.60 1 1 1 1 1,2 1 0,,1,2 - -,5.40
