Cup of Russia - Bosco Sport,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Sarah MEIER SUI,,108.25  56.73,,,51.52,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3Lz+2T+2Lo  8.80  0.40 0 1 1 1,,0 0 1 0,,1,1 - -,9.20
2 3F+2T  6.80 -0.20 1 -1 -1 0,,-1 0 0 0,,0,0 - -,6.60
3 3F  5.50 -0.20 0 -1 0 -1,,0 0 0 0,,0,0 - -,5.30
4 CCoSp4  3.50  0.00 1 0 0 0,,0 0 0 0,,0,1 - -,3.50
5 CUSp4  3.00  0.10 1 0 0 0,,0 0 1 0,,1,2 - -,3.10
6 2Lz  2.09 x  0.10 0 1 0 1,,0 0 0 0,,-1,0 - -,2.19
7 SpSq4  3.40  0.40 0 0 0 0,,1 1 0 0,,1,1 - -,3.80
8 2A  3.63 x  0.00 0 0 0 0,,0 0 0 0,,0,0 - -,3.63
9 3S+2T  6.38 x  0.00 0 0 0 0,,0 0 0 0,,0,0 - -,6.38
10 FSSp4  3.00  0.20 1 1 0 1,,0 0 0 0,,0,2 - -,3.20
11 SlSt3  3.10  0.00 0 0 0 0,,0 0 1 0,,0,0 - -,3.10
12 2A  3.63 x  0.00 0 0 0 0,,0 0 0 0,,0,0 - -,3.63
13 CoSp4  3.00  0.10 1 0 0 0,,0 0 0 0,,1,1 - -,3.10
55.83,,,,,,56.73
Program Components Factor,,,,,,
Skating Skills  1.60 6.75 6.50 6.50 6.75,,6.00 6.75 6.75 6.50,,6.50,6.25 - -,6.60
Transition / Linking Footwork  1.60 6.50 6.25 6.00 6.50,,6.00 6.25 6.50 6.00,,6.00,6.25 - -,6.20
Performance / Execution  1.60 6.75 6.50 6.00 6.75,,6.00 6.50 6.50 6.25,,6.50,6.50 - -,6.50
Choreography / Composition  1.60 6.75 6.50 6.00 6.50,,6.25 6.50 6.75 6.25,,6.25,6.50 - -,6.40
Interpretation  1.60 6.75 6.50 6.00 6.50,,6.00 6.75 7.00 6.00,,6.75,6.50 - -,6.50
Judges Total Program Component Score (factored),,,,,,51.52
Deductions:,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Yoshie ONDA JPN,,98.04  52.40,,,46.64,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3Lz+2T  7.30  0.00 0 1 0 -1,,0 0 0 0,,0,0 - -,7.30
2 3F+2T  6.80 -0.40 0 -1 0 0,,-1 0 0 0,,-1,-1 - -,6.40
3 3S  4.50 -0.40 0 -1 -1 0,,-1 0 0 0,,-1,-1 - -,4.10
4 CCoSp4  3.50  0.10 1 0 0 0,,0 0 0 0,,1,0 - -,3.60
5 LSp1  1.50  0.00 0 1 0 0,,0 0 0 0,,0,0 - -,1.50
6 SpSq1  1.80  0.00 0 0 0 0,,1 0 0 0,,0,-1 - -,1.80
7 3Lo  5.50 x -3.00 -3 -3 -3 -3,,-3 -3 -3 -2,,-3,-3 - -,2.50
8 3Lz  6.60 x -0.80 0 -1 -1 -1,,-2 -1 0 0,,-1,-2 - -,5.80
9 3F  6.05 x -0.20 0 0 0 -1,,0 0 0 0,,-1,0 - -,5.85
10 SlSt3  3.10  0.00 0 0 0 0,,1 0 0 0,,-1,0 - -,3.10
11 2A+3T<+SEQ  4.05 x  0.20 -2 0 0 1,,0 0 -1 0,,1,-2 - -,4.25
13 FSSp4  3.00  0.00 0 0 0 0,,0 0 0 0,,0,0 - -,3.00
14 CCoSp3  3.00  0.20 0 1 0 0,,1 0 0 0,,1,0 - -,3.20
56.70,,,,,,52.40
Program Components Factor,,,,,,
Skating Skills  1.60 6.50 5.75 6.00 6.50,,7.00 6.00 6.50 5.75,,5.75,5.00 - -,6.10
Transition / Linking Footwork  1.60 5.50 5.25 5.75 6.00,,6.00 5.50 6.00 5.50,,4.75,5.00 - -,5.55
