8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Kaitlyn WEAVER / Andrew POJE,CAN,7,82.86,42.58,41.28,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,CiSt3,,6.5,False,1.0,1,1,2,1,0,1,1,1,,7.5
2,STw4,,6.0,False,0.42,1,1,2,1,-1,0,1,1,,6.42
3,CoSp4,,5.0,False,0.42,1,1,1,1,0,1,1,0,,5.42
4,RoLi4,,4.0,False,0.83,2,1,3,2,1,2,2,1,,4.83
5,CuLi4,,4.0,False,0.75,2,1,2,2,1,1,2,1,,4.75
6,RoLi1,,1.5,False,0.5,1,1,2,1,0,1,1,1,,2.0
7,SlLi3,,3.5,False,0.83,2,1,2,1,2,2,2,0,,4.33
8,DiSt3,,6.5,False,0.83,1,1,2,1,0,1,0,1,,7.33
9,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
10,Li+TRANS,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,37.0,,,,,,,,,,,,42.58
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,6.75,6.75,7.5,6.5,6.5,7.25,6.75,7.0,,6.83
,Linking Footwork / Movement  ,,,,1.75,7.0,6.5,7.0,6.5,6.5,6.75,6.75,6.75,,6.71
,Performance  ,,,,1.0,7.25,6.5,7.5,6.75,7.25,7.25,7.0,6.75,,7.04
,Choreography  ,,,,1.0,7.0,6.75,7.75,7.0,6.75,6.75,7.0,7.0,,6.92
,Interpretation / Timing  ,,,,1.0,7.25,6.75,7.75,7.0,6.75,7.5,7.0,6.75,,7.04
,,,,,,,,,,,,,,,41.28
Deduction, Extended lifts,-1.0
