ISU GP Trophee Eric Bompard,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Nobunari ODA JPN,11,163.33  86.43,,76.90,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3Lz  6.00  1.20 1 1,2,1 1 1 1,,1 2,7.20,
2 3A+3T  12.20  1.40 1 2,1,1 1 1 1,,2 2,13.60,
3 FSSp4  3.00  0.40 1 1,1,1 1 0 1,,0 1,3.40,
4 3S  4.50  1.20 2 2,1,1 1 1 2,,1 1,5.70,
"",,Info,,,,Info
5 CiSt3  3.30  0.80 1 2,1,2 1 1 2,,1 2,4.10,
6 3A  9.02 x  1.00 1 1,1,1 1 1 1,,1 2,10.02,
7 3Lz+2T+2Lo  9.68 x  1.40 1 2,1,1 1 1 0,,2 2,11.08,
8 3F+2T  7.48 x  1.40 1 2,2,1 1 0 1,,1 2,8.88,
9 3Lo  5.50 x  1.20 1 2,1,0 1 1 1,,1 2,6.70,
10 CSSp3  2.60  0.30 1 2,1,1 1 0 0,,0 1,2.90,
11 2A  3.85 x  0.60 1 1,1,0 0 0 1,,0 1,4.45,
12 SlSt3  3.30  0.80 1 3,1,1 2 2 2,,2 1,4.10,
13 CCoSp4  3.50  0.80 2 2,2,1 1 0 2,,1 2,4.30,
73.93,,,,,86.43,
Program Components Factor,,,,,,
Skating Skills  2.00 7.75 8.00,8.00,7.50 8.00 7.75 7.50,,8.00 7.75,7.80,
Transition / Linking Footwork  2.00 7.50 7.50,7.50,7.00 7.75 7.50 5.25,,7.25 7.00,7.25,
Performance / Execution  2.00 8.00 7.75,7.75,7.75 8.00 8.00 7.75,,8.00 7.50,7.80,
Choreography / Composition  2.00 7.75 8.00,7.75,7.50 8.25 7.75 8.00,,8.00 7.25,7.80,
Interpretation  2.00 8.00 8.00,7.75,7.50 8.25 8.00 8.00,,7.75 7.50,7.80,
Judges Total Program Component Score (factored),,,,,76.90,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Tomas VERNER CZE,12,148.96  72.86,,76.10,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 4T+3T  13.80  1.40 0 2,1,2 0 1 1,,2 2,15.20,
2 3T  4.00  1.60 2 2,2,1 1 1 2,,2 1,5.60,
3 3A  8.20  0.00 0 0,0,1 0 0 0,,0 1,8.20,
4 CiSt3  3.30  0.70 2 2,2,1 1 1 1,,2 1,4.00,
5 FSSp3  2.60  0.10 0 1,-1,0 0 1 0,,0 0,2.70,
6 3A+2T  10.45 x  0.80 1 2,1,1 0 1 1,,0 1,11.25,
7 2Lz  2.09 x  0.00 1 1,0,0 0 0 0,,0 0,2.09,
8 3F  6.05 x  0.60 0 1,1,0 -1 0 1,,1 0,6.65,
9 3S+2T+1T  6.82 x  0.20 0 1,1,0 0 0 0,,0 0,7.02,
10 2Lo  1.65 x  0.00 0 0,0,0 0 0 0,,0 0,1.65,
11 FCoSp1  1.70 -0.30 -1 -1,-1,-1 -1 0 -1,,-1 -1,1.40,
12 SlSt3  3.30  0.50 1 1,1,1 1 1 2,,1 1,3.80,
13 CCoSp3  3.00  0.30 1 1,1,1 1 1 0,,0 0,3.30,
66.96,,,,,72.86,
Program Components Factor,,,,,,
Skating Skills  2.00 8.25 7.50,7.75,8.00 7.25 7.75 8.00,,8.00 8.00,7.80,
