ISU Grand Prix of Figure Skating Final,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
1 Tatiana NAVKA / Roman KOSTOMAROV RUS 63.01 30.80,32.21,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt4+FSTw4 8.2 1.40 2 1 1 2 2 2 1 2,1 1 - -,9.60
2 CoSp4 4.7 0.60 2 1 1 2 2 2 1 1,1 1 - -,5.30
3 CuLi4 4.0 1.00 2 2 1 2 2 1 2 2,1 2 - -,5.00
4 DiSt2 4.8 1.40 1 1 1 1 2 1 2 1,2 1 - -,6.20
5 RoLi4 4.0 0.70 2 1 2 1 2 1 2 1,1 2 - -,4.70
25.7,,30.80
Program Components Factor,,
Skating Skills 0.80 8.00 8.25 8.50 8.75 8.25 8.25 8.75 8.25,8.25 8.75 - -,8.45
Linking Footwork / Movement 0.80 8.00 8.00 8.25 8.50 8.00 8.00 8.25 8.00,8.25 8.75 - -,8.20
Performance 0.60 8.00 8.25 8.50 8.75 8.50 8.50 8.75 8.50,8.50 8.75 - -,8.60
Choreography 0.60 8.00 8.00 8.75 9.00 8.25 8.50 8.75 8.50,8.50 8.75 - -,8.55
Interpretation / Timing 1.00 8.25 8.25 9.00 8.75 8.50 8.75 8.75 8.50,8.50 8.75 - -,8.60
Judges Total Program Component Score (factored),,32.21
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
2 Elena GRUSHINA / Ruslan GONCHAROV UKR 58.84 28.90,29.94,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw4 7.6 1.00 2 1 0 1 1 1 1 1,1 2 - -,8.60
2 SlLi4 4.0 0.90 1 2 1 2 2 1 2 1,1 2 - -,4.90
3 CoSp4 4.7 0.50 2 1 1 1 1 2 1 1,1 2 - -,5.20
4 DiSt2 4.8 0.80 1 0 0 1 2 0 1 0,0 2 - -,5.60
5 RoLi4 4.0 0.60 1 1 1 2 1 1 1 1,1 2 - -,4.60
25.1,,28.90
Program Components Factor,,
Skating Skills 0.80 7.75 7.75 7.50 7.75 7.75 7.25 8.00 7.75,7.75 8.50 - -,7.80
Linking Footwork / Movement 0.80 7.75 7.50 7.25 7.75 7.75 7.25 7.75 7.50,7.75 8.50 - -,7.70
Performance 0.60 7.75 7.75 7.50 8.00 8.00 7.50 7.75 8.25,7.75 8.75 - -,7.95
Choreography 0.60 7.75 7.75 7.50 7.75 7.50 7.50 8.00 8.00,8.25 8.50 - -,7.95
Interpretation / Timing 1.00 8.00 7.50 7.50 8.00 7.50 7.25 8.25 8.00,8.25 8.75 - -,8.00
Judges Total Program Component Score (factored),,29.94
Deductions:,,0.00
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
3 Marie-France DUBREUIL / Patrice LAUZON CAN 55.42 26.60,28.82,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt2+BSTw4 7.0 -0.20 1 -1 -1 0 1 1 0 0,0 -1 - -,6.80
2 SlLi4 4.0 0.70 2 2 1 1 2 2 2 1,1 1 - -,4.70
3 CoSp3 4.0 0.40 1 1 0 0 2 2 1 1,1 0 - -,4.40
4 DiSt3 5.5 0.60 1 0 1 0 1 1 1 1,1 0 - -,6.10
5 RoLi4 4.0 0.60 2 2 1 1 2 2 1 1,1 1 - -,4.60
24.5,,26.60
Program Components Factor,,
Skating Skills 0.80 7.50 7.75 7.75 7.50 7.75 7.50 7.25 7.50,7.75 7.50 - -,7.60
Linking Footwork / Movement 0.80 7.50 7.50 7.50 7.25 7.50 7.50 7.25 7.25,7.75 7.50 - -,7.40
Performance 0.60 7.50 7.50 7.75 7.50 8.00 7.50 7.50 7.50,8.00 7.50 - -,7.60
Choreography 0.60 7.50 7.75 7.50 7.25 7.75 7.25 7.75 7.25,8.00 7.50 - -,7.60
Interpretation / Timing 1.00 7.75 7.75 7.75 7.50 7.75 8.00 7.75 7.25,8.00 7.75 - -,7.70
Judges Total Program Component Score (factored),,28.82
Deductions:,,0.00
ISU Grand Prix of Figure Skating Final,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,
Total Total,Total,Total
Rank Name NOC Segment Element,Program  Component,Deductions
Code Score Score,Score (factored),
"= +",+,-
4 Galit CHAIT / Sergei SAKHNOVSKI ISR 54.98 25.90,29.08,0.00
"# Executed Base GOE The Judges Panel",,Scores
Elements Value (in random order),,of Panel
1 NtMiSt3+FSTw4 7.6 0.00 1 0 0 0 0 0 0 1,0 0 - -,7.60
2 CoSp2 3.5 0.60 1 1 1 1 2 1 0 2,1 1 - -,4.10
3 SlLi3 3.5 0.60 0 1 1 2 1 1 1 2,0 1 - -,4.10
4 DiSt2 4.8 0.60 1 0 0 1 1 1 0 1,0 1 - -,5.40
5 RoLi4 4.0 0.70 2 1 1 2 1 1 1 2,1 2 - -,4.70
23.4,,25.90
Program Components Factor,,
Skating Skills 0.80 7.50 7.50 7.50 7.50 7.50 7.25 7.00 7.75,7.50 8.00 - -,7.55
Linking Footwork / Movement 0.80 7.50 7.00 7.25 7.50 7.25 7.00 7.00 7.75,7.50 8.00 - -,7.40
Performance 0.60 7.50 7.50 7.50 7.75 7.50 7.50 7.25 8.00,7.75 8.00 - -,7.70
Choreography 0.60 7.25 7.25 7.50 7.75 7.75 7.25 7.50 8.00,7.75 8.25 - -,7.75
