ISU Grand Prix of Figure Skating Final,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
1 Mao ASADA JPN 64.38 36.30,,28.08,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz 6.0 0.60 1 1 0 1 1 -1 0 0,,1 0 - -,6.60
2 3F+3Lo 10.5 0.60 2 1 1 1 0 0 0 1,,2 -1 - -,11.10
3 FSSp4 3.0 0.00 0 0 0 0 0 -1 0 0,,0 0 - -,3.00
4 SpSt4 3.4 0.20 0 0 1 0 1 1 0 0,,1 0 - -,3.60
5 LSp3 1.8 0.40 1 1 1 0 1 0 1 2,,1 1 - -,2.20
6 SlSt2 2.3 0.50 1 0 1 1 1 1 1 1,,1 1 - -,2.80
7 2A 3.3 0.00 0 0 -1 0 0 1 0 0,,0 0 - -,3.30
8 CCoSp4 3.5 0.20 0 1 0 0 0 0 1 2,,0 1 - -,3.70
33.8,,,36.30
Program Components Factor,,,
Skating Skills 0.80 7.25 7.25 7.50 7.25 7.25 7.00 7.25 7.50,,7.50 7.25 - -,7.25
Transition / Linking Footwork 0.80 6.50 6.75 6.75 6.75 6.75 6.50 6.75 7.50,,7.00 6.75 - -,6.70
Performance / Execution 0.80 7.00 7.00 7.50 7.25 7.50 7.00 7.00 7.50,,7.25 7.00 - -,7.15
Choreography / Composition 0.80 7.00 7.00 7.00 7.50 7.25 6.50 6.75 7.25,,7.50 6.50 - -,7.00
Interpretation 0.80 6.75 6.75 7.50 7.00 7.50 6.75 7.00 7.50,,7.50 7.00 - -,7.00
Judges Total Program Component Score (factored),,,28.08
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
2 Irina SLUTSKAYA RUS 58.90 28.70,,30.20,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz+2Lo 7.5 0.20 0 1 1 0 0 1 0 0,,1 0 - -,7.70
2 2F 1.7 -1.00 -3 -3 -3 -3 -3 -3 -3 -3,,-3 -3 - -,0.70
3 2A 3.3 0.40 1 0 1 1 1 0 0 0,,1 0 - -,3.70
4 FCSp4 3.0 0.50 1 1 1 1 1 1 1 2,,0 0 - -,3.50
5 SpSt4 3.4 0.20 0 0 1 0 1 1 1 0,,0 0 - -,3.60
6 LSp4 2.4 0.30 1 0 1 0 0 1 1 2,,0 1 - -,2.70
7 SlSt2 2.3 0.30 1 0 1 1 1 2 0 0,,1 0 - -,2.60
8 CCoSp4 3.5 0.70 1 2 1 1 1 2 0 2,,1 1 - -,4.20
27.1,,,28.70
Program Components Factor,,,
Skating Skills 0.80 7.75 7.50 7.75 7.75 8.00 8.25 7.50 7.75,,7.50 7.50 - -,7.75
Transition / Linking Footwork 0.80 6.75 7.00 7.00 6.75 7.75 7.75 7.25 7.50,,7.25 7.25 - -,7.25
Performance / Execution 0.80 7.50 7.25 7.50 7.75 8.25 8.00 7.25 7.75,,7.25 7.75 - -,7.75
Choreography / Composition 0.80 7.25 7.25 7.50 7.25 8.00 7.75 7.50 7.50,,7.75 7.25 - -,7.40
Interpretation 0.80 7.00 7.25 7.75 7.50 8.00 8.00 7.50 7.75,,7.50 7.50 - -,7.60
Judges Total Program Component Score (factored),,,30.20
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
3 Miki ANDO JPN 56.70 31.14,,25.56,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 LSp3 1.8 0.40 0 1 0 1 2 0 2 2,,1 0 - -,2.20
2 3Lz+3Lo 11.0 0.20 1 1 1 0 0 0 0 0,,1 0 - -,11.20
3 3F 5.5 -0.20 -1 0 0 -1 0 0 0 0,,1 0 - -,5.30
4 FSSp3 2.3 0.20 1 0 0 0 1 0 0 1,,0 0 - -,2.50
5 SlSt2 2.3 0.00 0 0 0 0 0 0 0 0,,0 0 - -,2.30
6 2A 3.3 0.00 0 0 1 0 0 0 0 0,,0 1 - -,3.30
7 SpSt4 3.4 -0.14 0 0 1 0 1 -1 0 0,,1 -1 - -,3.26
8 CCoSp1 2.0 -0.92 -3 -3 -3 -2 -3 -2 -2 -3,,-3 -3 - -,1.08
31.6,,,31.14
Program Components Factor,,,
Skating Skills 0.80 6.50 6.75 6.00 6.50 7.00 6.75 6.50 7.25,,7.25 6.50 - -,6.70
Transition / Linking Footwork 0.80 5.50 6.25 6.25 6.00 6.25 6.25 6.00 7.00,,6.75 5.75 - -,6.10
Performance / Execution 0.80 6.50 6.50 6.00 6.50 6.25 6.50 5.75 7.25,,6.75 6.00 - -,6.45
Choreography / Composition 0.80 6.25 6.50 5.75 6.75 6.50 6.75 6.00 7.25,,7.00 6.25 - -,6.55
Interpretation 0.80 6.00 6.25 6.25 5.75 6.25 6.25 6.00 7.25,,7.00 6.00 - -,6.15
Judges Total Program Component Score (factored),,,25.56
Deductions:,,,0.00
ISU Grand Prix of Figure Skating Final,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
4 Yukari NAKANO JPN 56.04 30.80,,25.24,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz+2T 7.3 0.00 0 0 1 0 0 0 0 0,,0 -1 - -,7.30
