NHK Trophy 2007,,,,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,,,,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA  38.96  19.94,,,19.02,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  1.80  1.00,2 0 2 2 2 2 2 2,,2,2 - -,2.80,
2 1S2  2.60  0.70,1 Info0 2 0 1 2 2 2,,2,2 - Info -,3.30,Info
3 1S3  1.80  0.50,1 1 1 1 1 1 1 1,,1,2 - -,2.30,
4 2S1  2.60  1.02,2 1 2 1 2 1 2 2,,2,1 - -,3.62,
5 2S2  3.60  1.02,2 1 2 0 1 2 2 2,,2,1 - -,4.62,
6 2S3  2.60  0.70,1 1 1 1 0 1 1 2,,1,1 - -,3.30,
15.00,,,,,19.94,
Program Components Factor,,,,,,
Skating Skills  0.75,8.00 7.50 8.00 7.25 7.75 7.25 8.00 7.75,,7.50,8.00 - -,7.60,
Timing  0.75,7.75 6.00 7.75 7.25 7.50 7.00 8.25 8.00,,8.00,7.75 - -,7.45,
Performance / Execution  0.50,8.00 7.25 7.75 7.50 7.50 7.75 8.00 8.25,,7.75,8.00 - -,7.65,
Interpretation  0.50,8.00 7.75 8.00 7.50 7.75 7.25 8.25 8.00,,8.00,8.25 - -,7.80,
Judges Total Program Component Score (factored),,,,,19.02,
Deductions:,,,,,0.00,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Tessa VIRTUE / Scott MOIR,CAN  34.67  17.36,,,17.31,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 1S1  1.80  0.60,1 1 1 0 1 2 1 2,,2,1 - -,2.40,
2 1S2  2.60  0.20,1 0 0 0 0 2 1 1,,1,1 - -,2.80,
3 1S3  1.80  0.30,0 0 1 0 0 2 1 1,,1,1 - -,2.10,
4 2S1  2.60  0.56,1 0 1 0 1 1 1 1,,1,1 - -,3.16,
5 2S2  3.60  0.28,1 0 1 0 0 1 1 1,,0,1 - -,3.88,
6 2S3  2.60  0.42,0 0 1 1 0 1 0 0,,0,1 - -,3.02,
15.00,,,,,17.36,
Program Components Factor,,,,,,
Skating Skills  0.75,7.25 7.00 7.00 6.25 7.00 7.50 7.00 7.50,,7.00,7.00 - -,7.00,
Timing  0.75,7.00 6.75 6.75 5.75 6.75 7.00 7.00 7.00,,6.75,6.75 - -,6.75,
