NHK Trophy 2007,,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,,
"",Total,Total,,,Total,Total,
"",NOC Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code Score,Score,,,Score (factored),,
"",=,+,,,+,-,
1 Tessa VIRTUE / Scott MOIR,CAN  100.18,52.90,,,47.28,0.00,
"# Executed Base GOE",The Judges Panel,,,,,Scores,
Elements Value,(in random order),,,,,of Panel,
1 STw4  4.70  1.00,2 2 2 0 2,2 2 3,,1,2 - -,5.70,
2 CuLi4+RoLi4  6.40 Info 1.10,3 1 3 1 2,2 3 2,,2,In2fo - -,7.50,Info
3 CoSp4  4.70  0.40,1 0 2 0 2,0 1 1,,0,1 - -,5.10,
4 DiSt4  7.00  1.40,1 1 2 1 2,1 2 1,,1,2 - -,8.40,
5 SlLi4  4.00  0.90,2 1 2 0 2,2 2 2,,1,1 - -,4.90,
6 CiSt4  8.00  1.80,2 2 2 1 2,1 2 2,,1,2 - -,9.80,
7 RoLi4  4.00  1.30,2 1 3 2 3,3 3 2,,2,2 - -,5.30,
8 SeLi3  5.60  0.60,0 2 1 1 1,0 2 1,,1,2 - -,6.20,
44.40,,,,,,52.90,
Program Components Factor,,,,,,,
Skating Skills  1.25,7.25 7.50 8.25 8.00 8.00,7.75 7.75 8.00,,7.50,8.00 - -,7.80,
Linking Footwork / Movement  1.75,7.00 7.50 8.25 7.75 7.50,7.50 8.00 8.00,,7.50,8.25 - -,7.70,
Performance  1.00,8.00 8.00 8.50 8.00 7.75,7.75 8.00 8.25,,7.75,8.25 - -,7.95,
Choreography  1.00,7.50 7.75 8.75 7.75 7.75,7.75 8.00 8.75,,7.50,8.00 - -,8.00,
Interpretation / Timing  1.00,8.00 8.00 8.50 8.00 8.00,7.75 8.25 8.50,,7.75,8.25 - -,8.10,
Judges Total Program Component Score (factored),,,,,,47.28,
Deductions:,,,,,,0.00,
"*  Invalid element",,,,,,,
"",Total,Total,,,Total,Total,
"",NOC Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code Score,Score,,,Score (factored),,
"",=,+,,,+,-,
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA  96.91,49.10,,,47.81,0.00,
"# Executed Base GOE",The Judges Panel,,,,,Scores,
Elements Value,(in random order),,,,,of Panel,
1 RoLi4  4.00  0.80,2 1 2 1 2,1 2 2,,1,2 - -,4.80,
2 Sp2  3.50  0.20,1 0 1 0 1,0 1 0,,0,1 - -,3.70,
3 CiSt3  7.20  1.40,2 1 1 0 2,1 2 2,,1,1 - -,8.60,
4 STw4  4.70  1.00,2 2 2 1 2,2 2 2,,1,2 - -,5.70,
5 CuLi4+RoLi4  6.40  1.00,3 2 2 1 2,2 2 1,,2,2 - -,7.40,
6 MiStNt4  7.00  1.00,1 0 2 1 1,1 1 1,,1,1 - -,8.00,
7 SeLi3  5.60  0.70,3 1 1 1 2,0 2 1,,2,2 - -,6.30,
8 SlLi4  4.00  0.60,3 1 2 0 2,1 1 0,,1,1 - -,4.60,
42.40,,,,,,49.10,
Program Components Factor,,,,,,,
Skating Skills  1.25,8.25 7.25 8.50 8.25 8.00,8.00 8.00 8.25,,8.00,8.50 - -,8.05,
Linking Footwork / Movement  1.75,8.00 7.25 8.25 7.75 8.00,7.75 7.75 7.75,,7.75,8.50 - -,7.80,
Performance  1.00,9.00 7.75 8.25 7.75 8.25,7.75 8.00 8.25,,8.00,8.50 - -,8.05,
Choreography  1.00,9.00 8.00 8.50 8.00 8.00,8.00 7.75 8.00,,7.75,8.75 - -,7.95,
Interpretation / Timing  1.00,9.00 8.00 8.50 8.00 8.50,8.00 8.00 7.50,,8.00,8.75 - -,8.10,
Judges Total Program Component Score (factored),,,,,,47.81,
Deductions:,,,,,,0.00,
"*  Invalid element",,,,,,,
"",Total,Total,,,Total,Total,
"",NOC Segment,Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
"",Code Score,Score,,,Score (factored),,
"",=,+,,,+,-,
3 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  94.89,50.70,,,45.19,1.00,
"# Executed Base GOE",The Judges Panel,,,,,Scores,
Elements Value,(in random order),,,,,of Panel,
1 STw4  4.70  0.60,1 1 1 1 2,2 1 1,,1,1 - -,5.30,
