ISU World Figure Skating Championships 2009,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
Starting,Segment Element,,,Program  Component,Deductions,
Rank Name Nation,,,,,,
Number,Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Brian JOUBERT FRA  43,84.40  46.00,,,38.40,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 4T+3T  13.80 -3.20 -2 -3 -2 -2,-2 -3 -2 -2,,-2,- - -,10.60,
2 3A  8.20  1.00 1 1 1 1,1 2 1 1Info,,1,- - -,9.20,Info
3 3Lz  6.00  1.20 1 1 1 1,2 2 1 0,,1,- - -,7.20,
4 FSSp4  3.00  0.40 1 1 1 1,1 1 0 0,,1,- - -,3.40,
5 CiSt3  3.30  0.80 2 2 2 2,2 1 1 1,,1,- - -,4.10,
6 CCoSp4  3.50  0.50 0 1 1 1,2 2 1 0,,1,- - -,4.00,
7 SlSt3  3.30  0.90 2 1 2 2,2 2 1 1,,1,- - -,4.20,
8 CSSp3  2.60  0.70 1 1 2 2,1 2 1 0,,1,- - -,3.30,
43.70,,,,,46.00,
Program Components Factor,,,,,,
Skating Skills  1.00 7.75 7.50 7.75 7.75,8.25 7.50 7.75 8.00,,7.75,- - -,7.80,
Transition / Linking Footwork  1.00 7.25 7.00 7.50 6.25,8.00 7.00 7.00 7.75,,7.50,- - -,7.30,
Performance / Execution  1.00 8.00 7.50 7.75 7.75,8.00 7.25 7.50 7.75,,8.00,- - -,7.75,
Choreography / Composition  1.00 8.00 7.50 7.75 7.50,8.00 7.25 7.50 7.75,,7.75,- - -,7.70,
Interpretation  1.00 8.00 7.50 8.00 8.00,8.25 7.25 7.25 8.00,,8.00,- - -,7.85,
Judges Total Program Component Score (factored),,,,,38.40,
Deductions:,,,,,0.00,
"",Total Total,,,Total,Total,
Starting,Segment Element,,,Program  Component,Deductions,
Rank Name Nation,,,,,,
Number,Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Evan LYSACEK USA  42,82.70  44.40,,,38.30,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3A  8.20  1.00 1 1 1 1,1 0 1 1,,1,- - -,9.20,
2 3Lz+3T  10.00  1.00 1 0 1 1,1 1 2 0,,1,- - -,11.00,
3 3F !  5.50 -0.40 0 1 0 0,1 -1 -1 -1,,0,- - -,5.10,
4 CiSt3  3.30  0.60 1 1 1 1,2 2 1 1,,2,- - -,3.90,
5 CSSp4  3.00  0.50 1 1 1 1,0 1 1 1,,2,- - -,3.50,
6 FSSp4  3.00  0.60 1 1 1 1,1 2 1 2,,1,- - -,3.60,
7 SlSt3  3.30  1.00 2 1 1 2,2 2 2 2,,1,- - -,4.30,
8 CCoSp3  3.00  0.80 1 1 1 2,2 2 2 1,,2,- - -,3.80,
39.30,,,,,44.40,
Program Components Factor,,,,,,
Skating Skills  1.00 7.75 7.50 7.50 8.00,8.25 7.50 7.50 8.25,,8.00,- - -,7.80,
Transition / Linking Footwork  1.00 7.25 7.25 7.25 7.25,7.75 7.00 7.25 8.25,,8.00,- - -,7.35,
Performance / Execution  1.00 7.75 7.25 7.50 7.75,8.00 7.25 7.50 8.25,,8.25,- - -,7.70,
Choreography / Composition  1.00 7.50 7.25 7.75 7.75,8.00 7.25 7.50 8.25,,8.00,- - -,7.70,
Interpretation  1.00 7.50 7.50 7.75 8.00,8.25 7.25 7.25 8.25,,8.25,- - -,7.75,
Judges Total Program Component Score (factored),,,,,38.30,
Deductions:,,,,,0.00,
"!  Jump take off with wrong edge (short)",,,,,,
ISU World Figure Skating Championships 2009,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
Starting,Segment Element,,,Program  Component,Deductions,
Rank Name Nation,,,,,,
Number,Score Score,,,Score (factored),,
"",= +,,,+,-,
3 Patrick CHAN CAN  49,82.55  45.60,,,36.95,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3A  8.20  1.60 2 2 1 2,1 2 2 1,,2,- - -,9.80,
2 3F+3T  9.50  0.80 1 1 0 1,1 2 1 0Info,,2,- - -,10.30,Info
