ISU World Figure Skating Championships 2009,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
Starting,Segment Element,,,Program  Component,Deductions,
Rank Name Nation,,,,,,
Number,Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Oksana DOMNINA / Maxim SHABALIN RUS  23,100.85  50.70,,,50.15,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 STw4  4.70  0.60 2 1 2 1,1 2 2 1,,0,- - -,5.30,
2 CiSt4  8.00  2.00 2 2 2 2,2 2 2 Inf2o,,1,- - -,10.00,Info
3 SlLi4+CuLi4  6.40  1.10 3 2 3 2,2 2 3 2,,1,- - -,7.50,
4 CuLi4  4.00  1.10 3 2 2 2,2 2 2 3,,1,- - -,5.10,
5 CoSp4  4.70  0.50 2 1 1 1,1 1 1 0,,1,- - -,5.20,
6 MiSt3  6.20  1.60 1 1 2 2,2 2 2 2,,1,- - -,7.80,
7 RoLi4  4.00  0.80 2 2 2 1,2 2 2 1,,1,- - -,4.80,
8 SlLi4  4.00  1.00 3 2 2 2,2 2 3 2,,1,- - -,5.00,
9 Li+TRANS  0.00  0.00 - - - -,- - - -,,-,- - -,0.00,
42.00,,,,,50.70,
Program Components Factor,,,,,,
Skating Skills  1.25 8.50 8.50 8.75 8.00,8.50 8.50 8.50 8.50,,8.00,- - -,8.40,
Linking Footwork / Movement  1.75 8.50 8.25 8.75 7.75,8.00 8.50 8.50 8.25,,8.00,- - -,8.20,
Performance  1.00 8.75 8.75 8.75 8.25,8.50 8.75 8.75 8.00,,8.00,- - -,8.45,
Choreography  1.00 9.00 8.50 9.00 8.00,8.50 8.50 9.00 8.25,,8.00,- - -,8.45,
Interpretation / Timing  1.00 8.75 8.50 8.75 8.25,8.50 8.75 9.00 8.00,,8.00,- - -,8.40,
Judges Total Program Component Score (factored),,,,,50.15,
Deductions:,,,,,0.00,
"",Total Total,,,Total,Total,
Starting,Segment Element,,,Program  Component,Deductions,
Rank Name Nation,,,,,,
Number,Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Tanith BELBIN / Benjamin AGOSTO USA  21,100.27  50.50,,,49.77,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 CiSt4  8.00  1.80 1 2 2 2,2 2 1 2,,1,- - -,9.80,
2 STw3  4.00  0.50 1 1 1 2,1 2 2 1,,0,- - -,4.50,
3 RoLi4  4.00  0.90 2 2 1 2,2 2 2 2,,1,- - -,4.90,
4 SlLi4+CuLi4  6.40  1.00 2 2 2 2,2 2 2 2,,2,- - -,7.40,
5 CoSp4  4.70  0.80 2 1 1 2,2 1 2 2,,1,- - -,5.50,
6 SlLi4  4.00  1.00 3 1 2 2,2 2 2 3,,1,- - -,5.00,
7 CuLi4  4.00  1.00 3 2 2 2,2 2 1 2,,2,- - -,5.00,
8 DiSt4  7.00  1.40 2 1 2 2,1 1 1 1,,1,- - -,8.40,
9 Li+TRANS  0.00  0.00 - - - -,- - - -,,-,- - -,0.00,
42.10,,,,,50.50,
Program Components Factor,,,,,,
Skating Skills  1.25 8.50 8.50 8.75 8.25,8.00 8.00 7.75 8.50,,8.00,- - -,8.35,
Linking Footwork / Movement  1.75 8.00 8.25 8.50 7.75,8.00 8.00 7.75 8.25,,8.00,- - -,8.10,
Performance  1.00 8.75 8.75 8.50 8.25,8.25 8.50 8.00 8.50,,8.25,- - -,8.45,
Choreography  1.00 8.75 8.50 8.75 7.75,8.25 8.25 8.00 8.00,,8.00,- - -,8.30,
Interpretation / Timing  1.00 8.75 8.50 8.75 8.25,8.25 7.75 8.00 8.25,,8.25,- - -,8.40,
Judges Total Program Component Score (factored),,,,,49.77,
Deductions:,,,,,0.00,
ISU World Figure Skating Championships 2009,,,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
Starting,Segment Element,,,Program  Component,Deductions,
Rank Name Nation,,,,,,
Number,Score Score,,,Score (factored),,
"",= +,,,+,-,
3 Meryl DAVIS / Charlie WHITE USA  22,100.03  51.20,,,48.83,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
