8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,0,55.77,27.5,28.27,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,NtMiSt3+STw4,,7.6,False,0.8,1,0,1,1,1,1,0,0,,8.4
2,CuLi4,,4.0,False,0.6,0,1,2,1,1,2,1,0,,4.6
3,DiSt3,,5.5,False,1.0,1,1,1,1,1,2,1,1,,6.5
4,CoSp1,,3.0,False,0.3,0,0,1,1,1,2,0,0,,3.3
5,RoLi4,,4.0,False,0.7,1,1,2,2,2,1,1,1,,4.7
,,,24.1,,,,,,,,,,,,27.5
,Program Components,,,,Factor
,Skating Skills ,,,,0.8,7.75,7.25,7.75,7.75,7.25,7.5,7.5,7.25,,7.55
,Linking Footwork / Movement ,,,,0.8,7.25,7.0,7.75,7.75,7.0,7.25,7.25,7.25,,7.3
,Performance ,,,,0.6,7.5,7.25,7.75,7.5,7.25,7.5,7.5,7.0,,7.45
,Choreography ,,,,0.6,7.25,7.25,7.75,7.5,7.25,7.75,7.5,7.0,,7.45
,Interpretation / Timing ,,,,1.0,7.75,7.0,7.5,7.5,7.0,7.75,7.5,7.25,,7.45
,,,,,,,,,,,,,,,28.27
