Skate America 2006,,,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Albena DENKOVA / Maxim STAVISKI,BUL  39.19  19.56,,,19.63,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 1S1  2.00  0.80,2 2 1 2 1 1 2 2,,2,- - -,2.80
2 1S2  2.60  0.70,1 1 2 2 1 1 2 1,,2,- - -,3.30
3 1S3  1.60  0.30,1 1 1 1 1 0 1 2,,1,- - -,1.90
4 2S1  3.10  0.86,2 1 1 1 1 1 2 1,,2,- - -,3.96
5 2S2  3.60  0.70,1 1 2 1 1 1 1 1,,2,- - -,4.30
6 2S3  2.60  0.70,1 1 1 1 1 0 1 1,,1,- - -,3.30
15.50,,,,,19.56
Program Components Factor,,,,,
Skating Skills  0.75,8.00 8.00 8.25 8.25 7.75 6.75 8.00 8.25,,7.25,- - -,8.05
Timing  0.75,7.75 7.75 7.75 7.75 7.50 6.50 7.50 7.75,,7.25,- - -,7.65
Performance / Execution  0.50,8.00 8.00 8.00 8.00 7.75 6.75 7.75 8.00,,7.50,- - -,7.90
Interpretation  0.50,8.25 8.25 8.00 7.75 7.75 6.50 7.75 7.75,,7.00,- - -,7.80
Judges Total Program Component Score (factored),,,,,19.63
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Melissa GREGORY / Denis PETUKHOV,USA  35.02  17.94,,,17.08,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 1S1  2.00  0.50,1 1 1 1 1 1 1 1,,2,- - -,2.50
2 1S2  2.60  0.50,1 1 1 1 1 1 1 0,,1,- - -,3.10
3 1S3  1.60  0.18,1 0 1 0 0 0 1 1,,1,- - -,1.78
4 2S1  3.10  0.56,0 1 1 1 1 1 1 0,,2,- - -,3.66
5 2S2  3.60  0.42,1 1 1 1 1 0 0 0,,1,- - -,4.02
6 2S3  2.60  0.28,0 0 1 0 0 0 1 1,,1,- - -,2.88
15.50,,,,,17.94
Program Components Factor,,,,,
Skating Skills  0.75,7.25 7.00 7.25 6.75 6.75 5.75 7.25 6.75,,6.75,- - -,6.95
Timing  0.75,7.00 6.75 7.00 6.50 6.50 5.75 6.75 6.50,,6.75,- - -,6.65
Performance / Execution  0.50,7.00 7.00 7.50 6.75 6.50 5.75 7.00 6.75,,7.00,- - -,6.80
Interpretation  0.50,7.25 7.25 7.25 6.75 6.75 5.75 7.00 7.00,,7.00,- - -,6.95
