Skate America 2006,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Miki ANDO,JPN,,125.85  70.73,,,55.12,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3Lo  11.00  1.00,1 1 1 1,,1 0 2 1,,1,1 - -,12.00
2 3S  4.50  1.20,2 1 0 1,,1 1 1 1,,2,1 - -,5.70
3 3F  5.50  0.00,1 1 0 1,,-1 -1 -1 0,,1,-1 - -,5.50
4 FSSp4  3.00  0.30,0 0 0 1,,0 1 0 1,,0,1 - -,3.30
5 SpSq4  3.40  1.00,1 2 1 1,,1 1 1 1,,1,1 - -,4.40
6 3Lz  6.60 x  1.00,1 1 0 1,,1 1 1 1,,0,1 - -,7.60
7 3T+2Lo+2Lo  7.70 x  0.20,1 0 0 0,,1 0 0 1,,0,0 - -,7.90
8 3F+2Lo  7.70 x  0.20,1 1 0 1,,-1 0 -1 1,,0,-1 - -,7.90
9 2A  3.63 x  1.00,1 1 0 1,,1 1 1 1,,0,1 - -,4.63
10 CoSp4  3.00  0.30,1 1 1 0,,1 1 0 0,,1,1 - -,3.30
11 SlSt2  2.30  0.20,0 0 -1 1,,1 1 2 -1,,0,0 - -,2.50
12 CCoSp4  3.50  0.40,1 1 1 0,,1 0 1 1,,1,1 - -,3.90
13 LSp2  1.80  0.30,2 1 0 1,,1 0 1 1,,0,0 - -,2.10
63.63,,,,,,,70.73
Program Components Factor,,,,,,,
Skating Skills  1.60,7.50 7.75 7.50 7.00,,7.25 7.25 7.00 6.75,,7.50,7.25 - -,7.20
Transition / Linking Footwork  1.60,7.00 7.75 7.00 5.50,,6.25 6.50 6.75 6.50,,7.00,7.00 - -,6.75
Performance / Execution  1.60,7.25 8.00 7.25 6.50,,7.50 6.75 6.50 6.50,,7.25,7.00 - -,6.80
Choreography / Composition  1.60,7.25 7.50 7.00 6.50,,6.50 6.50 6.75 6.75,,7.50,6.75 - -,6.80
Interpretation  1.60,7.25 7.75 7.25 5.75,,7.00 7.00 7.00 6.50,,7.25,6.75 - -,6.90
Judges Total Program Component Score (factored),,,,,,,55.12
Deductions:,,,,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Kimmie MEISSNER,USA,,118.96  63.28,,,55.68,0.00
"# Executed Base GOE",,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00  1.00,1 1 1 1,,0 1 1 1,,1,1 - -,11.00
2 2A  3.30  0.80,0 2 1 1,,1 1 1 1,,1,0 - -,4.10
3 3F+2T  6.80 -0.20,0 0 0 0,,-1 0 -2 0,,0,-1 - -,6.60
4 SlSt3  3.10  0.30,1 1 1 0,,1 1 1 0,,0,1 - -,3.40
5 CCoSp4  3.50  0.20,1 1 0 0,,1 1 0 0,,0,1 - -,3.70
6 3S  4.95 x  0.40,0 1 0 0,,1 1 1 1,,0,0 - -,5.35
7 SpSq4  3.40  0.80,0 1 1 0,,0 1 1 1,,1,1 - -,4.20
8 3Lo  5.50 x  0.40,0 1 1 0,,1 1 1 0,,0,1 - -,5.90
9 SSp4  2.40  0.00,0 0 0 0,,0 0 0 0,,0,1 - -,2.40
10 FCSp3  2.30  0.00,1 0 0 0,,0 0 0 0,,0,0 - -,2.30
11 3Lz  6.60 x  0.40,0 1 0 0,,-1 0 2 1,,0,1 - -,7.00
12 2A  3.63 x  0.00,0 0 0 0,,0 0 0 1,,0,0 - -,3.63
13 CCoSp4  3.50  0.20,1 0 0 -1,,1 0 0 1,,1,0 - -,3.70
58.98,,,,,,,63.28
Program Components Factor,,,,,,,
Skating Skills  1.60,7.25 7.50 7.25 6.75,,7.50 7.50 7.00 7.00,,7.00,7.25 - -,7.10
Transition / Linking Footwork  1.60,7.00 7.25 7.00 6.75,,6.75 7.25 7.00 7.00,,6.75,7.00 - -,6.95
