10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
12,Myriane SAMSON,CAN,0,40.42,20.5,20.92,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,2A,,3.5,False,0.0,0,0,0,0,0,0,1,0,0,0,,3.5
2,3Lz+COMBO,!,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
3,LSp2,,1.9,False,0.2,1,0,1,0,0,1,1,1,1,0,,2.1
4,2F,,1.7,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.7
5,FSSp3,,2.6,False,0.0,0,0,0,0,0,-1,0,0,0,0,,2.6
6,SpSq4,,3.4,False,0.2,0,1,0,1,0,1,0,0,0,0,,3.6
7,SlSt1,,1.8,False,0.1,0,1,1,0,0,1,0,0,0,1,,1.9
8,CCoSp3,,3.0,False,0.1,0,0,0,1,0,1,1,1,0,0,,3.1
,,,23.9,,,,,,,,,,,,,,20.5
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.25,5.0,5.5,5.75,6.0,6.0,6.0,6.25,5.0,5.75,,5.55
,Transition / Linking Footwork  ,,,,0.8,4.5,3.75,5.25,4.5,5.5,5.75,5.5,5.5,4.25,5.25,,4.8
,Performance / Execution  ,,,,0.8,5.0,4.5,5.75,5.5,5.5,6.0,5.75,5.75,4.75,5.5,,5.25
,Choreography / Composition  ,,,,0.8,5.0,4.25,5.75,5.25,5.75,6.25,5.75,6.25,4.75,5.75,,5.3
,Interpretation  ,,,,0.8,4.75,4.75,6.0,5.5,5.5,5.75,5.5,5.75,4.5,5.75,,5.25
,,,,,,,,,,,,,,,,,20.92
Deduction,Falls,-1.0
