10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Caroline ZHANG,USA,0,53.28,30.4,23.88,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3F,,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
2,3Lo+2T,,6.3,False,0.0,1,0,0,0,0,0,1,0,0,0,,6.3
3,2A,,3.5,False,0.0,0,0,0,0,0,0,0,0,0,-1,,3.5
4,CCoSp3,,3.0,False,0.5,1,1,1,1,1,2,1,1,0,1,,3.5
5,SlSt2,,2.3,False,0.1,0,1,0,1,0,0,1,0,0,0,,2.4
6,FSSp4,,3.0,False,0.1,0,0,0,1,0,-1,0,1,0,0,,3.1
7,SpSq4,,3.4,False,2.0,2,2,2,2,2,2,2,2,1,2,,5.4
8,LSp4,,2.7,False,1.0,2,3,3,2,2,3,3,2,2,2,,3.7
,,,29.7,,,,,,,,,,,,,,30.4
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.0,6.0,6.75,6.5,6.75,6.75,6.5,6.0,4.75,4.5,,5.85
,Transition / Linking Footwork  ,,,,0.8,5.5,6.0,6.5,6.0,6.5,6.0,5.75,5.75,4.0,5.25,,5.7
,Performance / Execution  ,,,,0.8,6.5,6.25,6.0,6.75,6.25,6.25,6.25,6.25,4.25,5.5,,6.15
,Choreography / Composition  ,,,,0.8,6.5,6.0,7.0,6.5,6.5,6.5,6.0,6.0,4.5,5.75,,6.15
,Interpretation  ,,,,0.8,6.25,6.0,7.0,6.0,6.5,6.0,5.75,6.25,4.25,5.5,,6.0
,,,,,,,,,,,,,,,,,23.88
Deduction,Falls,-1.0
