10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Jenni VAHAMAA,FIN,0,44.9,23.34,22.56,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,1F+COMBO,,0.5,False,-0.3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.2
2,3Lz,!,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
3,FCSp3,,2.8,False,0.14,1,1,1,-1,-1,1,0,1,0,0,,2.94
4,SpSq4,,3.4,False,1.2,2,1,1,1,1,1,1,1,0,2,,4.6
5,2A,,3.5,False,0.0,0,1,0,0,0,0,0,0,0,0,,3.5
6,LSp3,,2.4,False,0.2,0,0,0,1,0,0,1,1,0,1,,2.6
7,CiSt2,,2.3,False,0.1,1,0,1,0,1,0,1,0,0,0,,2.4
8,CCoSp4,,3.5,False,0.6,1,1,2,1,2,1,1,2,0,1,,4.1
,,,24.4,,,,,,,,,,,,,,23.34
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,5.75,6.25,6.25,6.0,6.5,7.25,6.5,6.0,5.0,5.5,,5.9
,Transition / Linking Footwork  ,,,,0.8,5.0,5.75,6.5,5.5,6.0,6.75,6.0,5.0,4.25,5.25,,5.3
,Performance / Execution  ,,,,0.8,5.75,6.0,7.0,5.5,6.0,6.0,5.75,5.25,4.25,5.75,,5.65
,Choreography / Composition  ,,,,0.8,5.5,6.0,6.75,5.75,6.25,6.75,6.25,5.5,4.25,5.75,,5.7
,Interpretation  ,,,,0.8,5.25,6.0,7.0,5.75,6.5,5.75,6.0,5.5,4.75,5.75,,5.65
,,,,,,,,,,,,,,,,,22.56
Deduction,Falls,-1.0
