"",,FIGURE SKATING,
"",,PATINAGE ARTISTIQUE,
"",,PAIRS,
"",,COUPLES,
"",,SHORT PROGRAM,
"",,PROGRAMME COURT,
"",,JUDGES DETAILS PER SKATER / NOTATION DÉTAILLÉE DES JUGES,
"",,PALAVELASAT 11 FEB 2006 / SAM 11 FEV 2006,
"",,Total Total Total,Total
Rank,Name,NOC Segment Element Program  Component,Deductions
"",,Code Score Score Score (factored),
"",,= + +,-
1,TOTMIANINA Tatiana / MARININ Maxim,RUS 68.64 35.93 32.71,0.00
"# Executed",,Base GOE The Judges Panel,Scores
Elements,,Value (in random order),of Panel
1 FiDs4,,3.5 1.20 2 2 2 1 2 2 2 1 1 1 1 2,4.70
2 3LoTh,,5.0 1.20 2 2 2 0 1 2 2 1 2 2 1 3,6.20
3 3T,,4.0 1.00 1 1 1 1 1 2 2 1 0 1 0 2,5.00
4 2Tw3,,4.0 0.36 1 1 1 0 1 1 2 1 0 1 0 1,4.36
5 3Li4,,4.0 0.21 0 0 0 0 1 1 1 1 0 1 1 1,4.21
6 CiSt3,,3.1 0.36 1 1 1 0 1 1 2 1 0 2 0 1,3.46
7 FCCoSp3,,3.0 0.57 2 1 1 1 1 1 2 1 1 1 1 2,3.57
8 PCoSp3,,4.0 0.43 1 1 1 0 1 1 2 1 1 1 0 2,4.43
"",,30.6,35.93
Program Components,,Factor,
Skating Skills,,0.80 8.00 8.25 8.50 8.25 8.00 8.25 8.25 8.25 8.50 8.50 8.00 8.25,8.21
Transitions / Linking Footwork,,0.80 7.75 8.00 8.50 8.00 8.00 8.00 7.50 8.00 8.25 8.25 7.75 8.00,8.00
Performance / Execution,,0.80 8.25 8.25 8.75 8.25 8.00 8.25 8.00 8.25 8.50 8.50 8.00 8.50,8.29
Choreography / Composition,,0.80 8.00 8.25 8.50 8.25 8.00 8.25 8.25 8.25 8.25 8.25 8.00 7.75,8.14
Interpretation,,0.80 8.25 8.25 8.75 8.25 8.25 8.00 7.75 8.00 8.50 8.50 8.00 8.25,8.25
Judges Total Program Component Score (factored),,,32.71
Deductions:,,Costume & Prop Violation: 0.00 Time Violation: 0.00 Music Violation: 0.00,0.00
"",,Illegal Element: 0.00 Falls: 0.00 Interruption in Excess: 0.00,
"",,Total Total Total,Total
Rank,Name,NOC Segment Element Program  Component,Deductions
"",,Code Score Score Score (factored),
"",,= + +,-
2,ZHANG Dan / ZHANG Hao,CHN 64.72 35.21 29.51,0.00
"# Executed",,Base GOE The Judges Panel,Scores
Elements,,Value (in random order),of Panel
1 3Li4,,4.0 0.57 1 1 1 0 2 2 2 2 0 0 1 2,4.57
2 3LoTh,,5.0 0.90 1 1 1 1 2 2 1 1 1 1 0 2,5.90
3 FiDs4,,3.5 0.50 0 2 1 1 1 0 2 0 0 1 0 2,4.00
4 3S,,4.5 0.57 1 1 1 0 1 0 0 0 0 1 0 1,5.07
5 FCCoSp3,,3.0 0.14 0 0 1 0 1 0 0 0 0 0 0 1,3.14
6 CiSt3,,3.1 0.07 1 0 0 0 0 0 0 0 0 1 0 1,3.17
7 2Tw3,,4.0 0.86 2 2 2 1 2 2 2 2 1 1 1 2,4.86
8 PCoSp4,,4.5 0.00 0 0 1 0 0 0 1 2 0 0 0 0,4.50
"",,31.6,35.21
Program Components,,Factor,
Skating Skills,,0.80 7.50 7.50 8.00 8.00 7.75 7.25 7.75 7.50 7.50 8.00 7.25 7.50,7.57
Transitions / Linking Footwork,,0.80 6.75 7.25 7.75 7.50 7.75 6.75 7.00 7.50 7.25 7.75 7.25 7.00,7.25
Performance / Execution,,0.80 7.25 7.25 8.00 7.50 8.00 7.25 7.25 7.50 7.50 7.75 7.00 7.25,7.43
Choreography / Composition,,0.80 7.25 7.50 7.75 7.75 7.75 7.00 7.50 7.75 7.25 7.75 7.25 6.75,7.39
Interpretation,,0.80 7.25 7.25 7.75 7.50 7.75 6.75 7.00 7.75 7.25 8.00 7.00 6.50,7.25
Judges Total Program Component Score (factored),,,29.51
Deductions:,,Costume & Prop Violation: 0.00 Time Violation: 0.00 Music Violation: 0.00,0.00
"",,Illegal Element: 0.00 Falls: 0.00 Interruption in Excess: 0.00,
FSX020200_77B 1.0,,Report Created SAT 11 FEB 2006 22:29,Page 1/10
"",,FIGURE SKATING,
"",,PATINAGE ARTISTIQUE,
"",,PAIRS,
"",,COUPLES,
"",,SHORT PROGRAM,
"",,PROGRAMME COURT,
"",,JUDGES DETAILS PER SKATER / NOTATION DÉTAILLÉE DES JUGES,
"",,PALAVELASAT 11 FEB 2006 / SAM 11 FEV 2006,
"",,Total Total Total,Total
Rank,Name,NOC Segment Element Program  Component,Deductions
"",,Code Score Score Score (factored),
"",,= + +,-
3,PETROVA Maria / TIKHONOV Alexei,RUS 64.27 33.71 30.56,0.00
"# Executed",,Base GOE The Judges Panel,Scores
Elements,,Value (in random order),of Panel
1 3T,,4.0 -0.71 -1 -1 -1 -1 -1 0 0 0 0 0 0 -1,3.29
2 2Tw3,,4.0 0.36 0 1 1 0 1 1 1 1 1 1 0 1,4.36
3 3LoTh,,5.0 0.60 1 1 1 0 1 1 1 0 1 1 1 0,5.60
4 FCCoSp3,,3.0 0.43 1 1 1 1 1 1 1 1 0 1 0 2,3.43
5 PCoSp4,,4.5 0.21 1 0 1 0 0 1 2 1 0 1 1 0,4.71
6 3Li4,,4.0 0.86 2 2 2 1 2 2 2 2 1 1 1 2,4.86
7 SlSt3,,3.1 0.36 1 1 1 0 1 1 2 1 0 1 0 1,3.46
8 FiDs4,,3.5 0.50 1 2 1 0 1 1 2 1 0 1 0 1,4.00
"",,31.1,33.71
Program Components,,Factor,
Skating Skills,,0.80 7.25 7.75 8.00 7.75 7.50 8.00 7.75 7.75 7.75 8.25 7.75 7.75,7.75
Transitions / Linking Footwork,,0.80 6.75 7.50 7.75 7.50 7.25 7.50 7.50 7.25 8.00 8.00 7.50 6.75,7.39
Performance / Execution,,0.80 7.50 7.50 8.00 7.75 7.50 8.00 8.00 7.50 8.00 8.25 7.75 7.75,7.75
Choreography / Composition,,0.80 7.50 7.50 7.75 7.75 7.50 7.75 8.25 7.75 7.75 8.25 7.75 7.50,7.64
Interpretation,,0.80 7.50 7.50 8.00 7.75 7.50 7.75 8.50 7.75 7.75 8.25 7.75 7.75,7.68
Judges Total Program Component Score (factored),,,30.56
Deductions:,,Costume & Prop Violation: 0.00 Time Violation: 0.00 Music Violation: 0.00,0.00
"",,Illegal Element: 0.00 Falls: 0.00 Interruption in Excess: 0.00,
"",,Total Total Total,Total
Rank,Name,NOC Segment Element Program  Component,Deductions
"",,Code Score Score Score (factored),
"",,= + +,-
4,PANG Qing / TONG Jian,CHN 63.19 34.09 29.10,0.00
"# Executed",,Base GOE The Judges Panel,Scores
Elements,,Value (in random order),of Panel
1 3T,,4.0 0.00 0 0 0 0 0 0 -1 0 0 0 0 0,4.00
2 3LoTh,,5.0 1.10 2 2 1 1 2 2 1 2 1 0 0 3,6.10
3 FiDs4,,3.5 0.70 1 1 1 1 1 1 1 1 1 1 0 2,4.20
4 FCCoSp4,,3.5 -0.17 -1 0 0 -1 -1 -1 0 0 0 -1 0 -1,3.33
5 3Li4,,4.0 0.50 1 1 1 1 1 1 1 0 0 0 1 1,4.50
