ISU GP Internationaux de France de Patinage 2017,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,Total,,Total,Total,
Rank Name Nation Number Segment,Element,,Program  Component,Deductions,
Score,Score,,Score (factored),,
1 Alina ZAGITOVA RUS  7  151.34,81.80,,69.54,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5 InfoJ6",J7,,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 ChSq1  2.00  1.70 1 2 2 3 3,2 3,,2 3,3.70,
2 FCSp4  3.20  1.21 3 2 3 2 3,2 3,,2 2,4.41,
3 StSq4  3.90  1.40 2 2 2 2 2,2 2,,2 3,5.30,
4 3Lz+3Lo  12.21 x  1.30 2 1 2 2 2,1 2,,2 2,13.51,
5 2A+3T  8.36 x  1.40 2 1 2 2 3,2 2,,2 2,9.76,
6 3F+2T+2Lo  9.24 x  1.10 1 1 1 2 2,2 2,,1 3,10.34,
7 LSp4  2.70  1.14 2 1 2 2 2,3 3,,2 3,3.84,
8 3Lz  6.60 x  1.80 2 2 3 2 3,2 3,,3 3,8.40,
9 3S  4.84 x  1.30 1 2 2 2 2,2 2,,1 3,6.14,
10 3F  5.83 x  1.30 2 1 2 2 2,2 2,,1 3,7.13,
11 2A  3.63 x  0.64 1 1 1 2 1,1 2,,1 2,4.27,
12 CCoSp4  3.50  1.50 3 3 3 3 3,3 3,,2 3,5.00,
66.01,,,,81.80,
Program Components Factor,,,,,
Skating Skills  1.60 7.75 8.50 8.25 8.75 8.75,8.75 8.50,,8.50 9.00,8.57,
Transitions  1.60 7.75 8.50 7.75 8.50 8.75,8.75 8.50,,8.00 8.75,8.39,
Performance  1.60 8.50 8.75 8.75 9.00 9.25,9.25 8.75,,8.75 9.50,8.93,
Composition  1.60 8.25 8.75 8.25 9.00 9.00,9.00 8.75,,8.25 9.25,8.71,
Interpretation of the Music  1.60 8.25 8.75 8.75 9.25 9.00,9.25 8.50,,8.50 9.25,8.86,
Judges Total Program Component Score (factored),,,,69.54,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,Total,,Total,Total,
Rank Name Nation Number Segment,Element,,Program  Component,Deductions,
Score,Score,,Score (factored),,
2 Maria SOTSKOVA RUS  10  140.99,73.78,,67.21,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3Lz+3T  10.30  1.50 2 1 2 3 3,2 2,,2 2,11.80,
2 3F  5.30  1.20 1 1 2 2 2,2 2,,1 2,6.50,
3 LSp4  2.70  0.86 2 1 2 2 1,1 2,,2 2,3.56,
4 StSq4  3.90  1.10 2 1 2 2 1,1 1,,2 2,5.00,
5 3Lo  5.61 x  1.10 2 1 2 2 1,2 1,,2 1,6.71,
6 3F+1Lo+3S  11.22 x  0.60 1 0 2 1 0,1 1,,1 1,11.82,
7 3Lz  6.60 x  1.10 2 0 2 2 2,2 1,,1 1,7.70,
8 ChSq1  2.00  1.30 2 1 2 2 1,2 2,,2 2,3.30,
9 2A+2T  5.06 x  0.79 1 0 2 2 2,2 1,,1 2,5.85,
10 2A  3.63 x  0.64 1 0 2 1 1,2 1,,1 2,4.27,
11 FCSp4  3.20  0.50 1 0 1 1 1,1 1,,1 1,3.70,
12 CCoSp3  3.00  0.57 1 1 2 1 1,1 1,,1 2,3.57,
62.52,,,,73.78,
Program Components Factor,,,,,
Skating Skills  1.60 8.25 8.50 8.75 8.75 8.25,8.75 7.75,,8.50 8.25,8.46,
Transitions  1.60 7.50 8.25 8.25 8.50 8.00,8.50 7.50,,8.00 8.00,8.07,
