ISU GP Rostelecom Cup 2016,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Javier FERNANDEZ ESP  12  201.43,,105.73,95.70,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5In fo",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4T  10.30  2.43 2 2 3 3 3,,2 3,2 2,12.73,
2 4S+2T  11.80  0.86 1 0 2 1 1,,1 2,0 0,12.66,
3 3A+2T  9.80  1.71 2 1 1 2 2,,2 3,2 1,11.51,
4 CSSp4  3.00  1.00 2 2 1 2 2,,2 2,2 2,4.00,
5 ChSq1  2.00  1.40 2 2 2 2 3,,2 2,2 2,3.40,
6 4S  11.55 x  2.57 2 3 3 2 2,,3 3,3 2,14.12,
7 3A  9.35 x  0.86 1 0 1 1 1,,1 2,1 0,10.21,
8 3Lz  6.60 x  1.00 1 1 2 2 2,,2 1,1 1,7.60,
9 3F+1Lo+3S !  11.22 x  0.00 0 0 0 0 0,,0 2,0 0,11.22,
10 FCCoSp4  3.50  0.50 1 1 2 1 1,,1 1,0 1,4.00,
11 3Lo  5.61 x  0.80 1 1 2 1 1,,1 2,1 1,6.41,
12 StSq3  3.30  1.14 3 2 3 2 3,,2 2,2 2,4.44,
13 CCoSp2  2.50  0.93 2 2 2 2 2,,3 2,1 1,3.43,
90.53,,,,105.73,
Program Components Factor,,,,,
Skating Skills  2.00  9.50  9.00  9.75  9.75  9.50,,9.00  9.25,9.00  9.50,9.36,
Transitions  2.00  9.50  9.00  9.50  9.50  9.75,,9.00  9.50,9.25  9.50,9.39,
Performance  2.00  9.75  9.25  9.75  10.00  9.50,,9.50  10.00,9.50  9.75,9.68,
Composition  2.00  9.50  9.50  10.00  9.75  10.00,,9.50  10.00,9.75  9.50,9.71,
Interpretation of the Music  2.00  9.75  9.25  10.00  10.00  10.00,,9.25  9.75,9.50  9.75,9.71,
Judges Total Program Component Score (factored),,,,95.70,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1!  Not clear edge",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Shoma UNO JPN  11  186.48,,96.12,91.36,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4F  12.30  0.71 1 -1 2 1 1,,1 0,1 0,13.01,
2 4T  10.30  1.71 2 1 2 2 1,,2 2,2 1,12.01,
3 3Lo  5.10  0.40 1 0 1 1 1,,1 0,0 0,5.50,
4 FCSp3  2.80  0.79 1 2 2 2 2,,2 1,1 1,3.59,
5 StSq3  3.30  1.21 3 3 2 2 3,,2 2,3 2,4.51,
6 FCCoSp4  3.50  0.71 1 1 2 2 1,,2 1,2 1,4.21,
7 3A  9.35 x  1.14 2 0 2 0 2,,2 0,1 1,10.49,
8 4T+REP  7.93 x -4.00 -3 -3 -3 -3 -3,,-3 -3,-3 -3,3.93,
9 3Lz !  6.60 x  0.10 0 0 0 0 0,,1 1,0 0,6.70,
10 3A+1Lo+3F  15.73 x  2.14 2 2 2 2 2,,3 1,3 2,17.87,
11 3S  4.84 x  1.00 2 2 2 2 1,,0 0,1 2,5.84,
12 ChSq1  2.00  1.60 2 2 2 3 3,,3 1,2 2,3.60,
13 CCoSp4  3.50  1.36 2 3 3 3 3,,3 2,3 1,4.86,
87.25,,,,96.12,
Program Components Factor,,,,,
