ISU GP HomeSense Skate Canada International 2009,,,,
ICE DANCE COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Tessa VIRTUE / Scott MOIR CAN  8  40.69  20.44,,20.25,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  2.90  1.12 2 2 2 1 2 2 1,,0 2,4.02,
2 1S2  1.60  0.80 1 1 2 1 2 2 2,,2 1,2.40,
3 1S3  2.40  0.70 2 2 1 1 1 1 2,,1 1,3.10,
4 2S1  3.20  0.98 1 1 2 1 2 2 2,,0 1,4.18,
Info,,Info,,Info
5 2S2  2.30  0.50 1 1 2 1 1 1 1,,2 0,2.80,
6 2S3  3.10  0.84 1 1 1 1 1 2 2,,1 1,3.94,
15.50,,,20.44,
Program Components Factor,,,,
Skating Skills  0.75 8.25 7.75 8.00 7.50 8.50 8.50 8.50,,8.00 7.50,8.20,
Timing  0.75 8.00 7.25 7.75 7.75 8.50 8.25 7.75,,7.50 7.25,7.85,
Performance / Execution  0.50 8.25 7.75 8.25 8.00 8.75 8.50 7.75,,7.75 7.75,8.05,
Interpretation  0.50 8.50 7.75 8.50 7.75 8.75 8.50 9.00,,8.25 7.75,8.35,
Judges Total Program Component Score (factored),,,20.25,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Nathalie PECHALAT / Fabian BOURZAT FRA  6  35.55  17.56,,17.99,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  2.90  0.56 1 1 0 1 1 0 1,,1 1,3.46,
2 1S2  1.60  0.40 0 1 0 1 1 1 1,,1 0,2.00,
3 1S3  2.40  0.30 1 1 -1 1 1 0 0,,1 1,2.70,
4 2S1  3.20  0.42 0 1 0 0 1 1 0,,1 0,3.62,
5 2S2  2.30  0.10 0 1 0 1 0 0 0,,1 0,2.40,
6 2S3  3.10  0.28 1 0 0 1 1 -1 1,,0 1,3.38,
15.50,,,17.56,
Program Components Factor,,,,
Skating Skills  0.75 7.25 7.25 7.25 7.00 7.50 7.00 7.25,,7.25 7.25,7.25,
Timing  0.75 6.75 6.75 7.00 6.75 7.25 7.25 5.75,,7.00 7.00,7.00,
Performance / Execution  0.50 7.00 7.25 7.00 6.75 7.50 7.00 7.25,,7.25 7.25,7.20,
Interpretation  0.50 7.25 7.25 7.25 7.00 7.50 7.50 6.75,,7.50 7.50,7.40,
Judges Total Program Component Score (factored),,,17.99,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
3 Kaitlyn WEAVER / Andrew POJE CAN  4  32.18  16.68,,15.50,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  2.90  0.56 1 1 1 1 0 0 1,,1 1,3.46,
2 1S2  1.60  0.20 1 1 0 0 0 1 0,,1 0,1.80,
3 1S3  2.40 -0.10 0 -1 -1 0 0 1 0,,1 0,2.30,
4 2S1  3.20  0.56 1 0 1 1 1 0 0,,1 1,3.76,
5 2S2  2.30  0.10 0 0 0 0 1 1 0,,1 0,2.40,
6 2S3  3.10 -0.14 0 -1 -1 0 0 1 1,,0 0,2.96,
15.50,,,16.68,
Program Components Factor,,,,
Skating Skills  0.75 6.75 5.75 6.25 6.25 6.50 6.50 6.50,,6.50 6.25,6.35,
Timing  0.75 6.75 5.25 6.00 5.75 6.00 6.25 6.25,,6.25 5.75,5.95,
