12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
43,Barbara KLERK,BEL,0,28.38,15.72,14.66,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,2A,,3.5,False,0.0,-1,0,0,0,0,0,0,0,0,0,0,0,,3.5
2,3T<+COMBO,,1.3,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
3,3S<,,1.3,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
4,LSp3,,2.4,False,0.36,1,1,0,1,1,1,0,1,0,1,1,1,,2.76
5,SpSq1,,1.8,False,0.0,0,-1,0,0,0,0,0,0,0,0,1,0,,1.8
6,CCoSp3,,3.0,False,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,,3.0
7,SlSt1,,1.8,False,0.0,0,0,0,0,0,1,0,0,0,0,0,0,,1.8
8,FSSp3,,2.3,False,-0.04,0,0,-1,-1,0,0,0,0,0,0,0,0,,2.26
,,,17.4,,,,,,,,,,,,,,,,15.72
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,4.0,4.5,3.5,3.75,4.25,3.75,3.75,4.5,3.5,3.25,4.0,3.5,,3.79
,Transition / Linking Footwork  ,,,,0.8,3.75,4.25,3.0,3.25,4.25,3.25,3.75,4.0,3.25,3.0,3.75,3.25,,3.46
,Performance / Execution  ,,,,0.8,3.75,4.5,3.25,3.25,4.5,4.0,3.75,4.25,3.25,3.25,4.0,3.25,,3.57
,Choreography / Composition  ,,,,0.8,3.75,4.5,3.5,3.75,4.25,3.75,3.75,4.0,3.5,3.0,4.0,3.5,,3.71
,Interpretation  ,,,,0.8,3.5,4.25,3.5,3.75,4.5,4.25,4.0,4.25,3.25,3.0,4.25,3.5,,3.79
,,,,,,,,,,,,,,,,,,,14.66
Deduction,Falls,-2.0
