12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
49,Tamami ONO,HKG,0,26.2,13.05,14.15,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3S<+COMBO,,1.3,False,-1.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,0.3
2,3T<,,1.3,False,-0.77,-3,-2,-3,-2,-3,-3,-2,-2,-3,-2,-3,-3,,0.53
3,SpSq3,,3.1,False,0.07,0,-1,1,0,0,1,0,0,0,0,1,0,,3.17
4,2A<,,0.8,False,-0.46,-3,-2,-3,-2,-3,-3,-2,-3,-3,-2,-3,-3,,0.34
5,FSSp1,,1.7,False,-0.09,0,-1,0,-2,-1,0,0,0,0,0,-1,0,,1.61
6,LSp2,,1.8,False,0.0,0,-1,0,0,0,1,0,0,0,0,0,0,,1.8
7,SlSt2,,2.3,False,0.0,0,0,0,0,0,1,0,0,0,0,0,0,,2.3
8,CCoSp3,,3.0,False,0.0,0,0,-1,0,0,0,0,0,0,0,0,0,,3.0
,,,15.3,,,,,,,,,,,,,,,,13.05
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,3.75,3.75,3.25,3.5,3.75,2.75,3.75,4.5,3.75,3.25,4.25,3.5,,3.68
,Transition / Linking Footwork  ,,,,0.8,3.25,3.25,2.5,3.25,3.5,3.0,3.5,4.0,3.0,3.0,4.0,3.25,,3.32
,Performance / Execution  ,,,,0.8,3.5,3.5,3.25,3.5,3.75,3.25,4.25,4.0,3.0,3.25,4.5,3.25,,3.57
,Choreography / Composition  ,,,,0.8,3.5,3.75,3.0,3.75,3.5,3.25,4.0,4.0,3.5,3.25,4.75,3.0,,3.61
,Interpretation  ,,,,0.8,3.5,3.5,3.0,3.5,3.75,3.0,4.0,4.25,3.0,3.25,4.5,3.0,,3.5
,,,,,,,,,,,,,,,,,,,14.15
Deduction,Falls,-1.0
