Trophee Eric Bompard,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
1 Jeffrey BUTTLE CAN 76.08 38.38,,37.70,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3F+3T 9.5 0.40 1 1 0 0 0 1 0 1,,1 0 - -,9.90
2 3A 7.5 0.20 1 0 0 0 1 0 0 1,,1 0 - -,7.70
3 FSSp3 2.3 0.50 1 1 0 1 1 1 0 0,,2 1 - -,2.80
4 CiSt2 2.3 0.50 1 1 0 1 0 1 1 1,,2 2 - -,2.80
5 CSSp3 2.1 0.60 1 1 1 1 1 2 1 1,,2 2 - -,2.70
6 3Lz 6.0 0.00 0 0 0 0 1 -1 0 0,,1 0 - -,6.00
7 SlSt3 3.1 0.40 1 1 1 1 0 1 0 1,,2 1 - -,3.50
8 CCoSp3 3.0 -0.02 -1 1 -1 0 0 -1 -1 1,,1 1 - -,2.98
35.8,,,38.38
Program Components Factor,,,
Skating Skills 1.00 7.75 7.50 7.25 7.50 7.50 7.25 7.50 7.50,,7.75 8.00 - -,7.55
Transition / Linking Footwork 1.00 6.75 7.25 7.00 7.50 7.00 7.50 7.50 7.50,,7.50 7.75 - -,7.35
Performance / Execution 1.00 7.50 7.25 5.00 7.25 7.50 7.50 8.25 7.50,,7.75 7.75 - -,7.50
Choreography / Composition 1.00 7.50 7.50 7.00 7.50 7.75 7.50 7.75 7.50,,8.00 7.75 - -,7.60
Interpretation 1.00 8.00 7.50 7.25 7.75 7.50 7.75 8.00 7.50,,7.75 7.50 - -,7.70
Judges Total Program Component Score (factored),,,37.70
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
2 Brian JOUBERT FRA 71.55 36.40,,35.15,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 4T+2T 10.3 0.20 1 0 1 0 -1 1 0 1,,0 0 - -,10.50
2 3A 7.5 -0.20 -1 0 -1 0 0 -1 0 0,,-1 0 - -,7.30
3 FSSp3 2.3 0.20 0 1 0 2 0 1 0 0,,1 0 - -,2.50
4 3F 5.5 0.00 2 0 0 0 0 -1 0 0,,0 0 - -,5.50
5 CiSt2 2.3 0.40 1 1 0 0 1 1 0 1,,1 1 - -,2.70
6 CCoSp4 3.5 0.40 2 1 0 1 0 -1 1 1,,0 1 - -,3.90
7 SlSt1 1.8 0.00 0 0 0 1 0 0 0 0,,1 0 - -,1.80
8 CSSp3 2.1 0.10 1 0 1 1 0 0 0 0,,1 0 - -,2.20
35.3,,,36.40
Program Components Factor,,,
Skating Skills 1.00 7.25 7.25 7.00 7.75 7.50 7.25 7.00 7.25,,7.50 7.00 - -,7.25
Transition / Linking Footwork 1.00 6.25 6.75 6.75 7.50 6.50 6.50 6.50 7.00,,6.00 6.75 - -,6.60
Performance / Execution 1.00 7.00 7.00 7.00 8.00 7.25 6.75 7.50 7.00,,7.50 6.75 - -,7.10
Choreography / Composition 1.00 7.00 7.00 7.00 8.00 7.50 6.50 7.00 7.00,,6.50 7.00 - -,7.10
Interpretation 1.00 7.00 7.25 7.00 7.75 7.25 6.75 7.25 7.25,,7.25 6.75 - -,7.10
Judges Total Program Component Score (factored),,,35.15
Deductions:,,,0.00
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
3 Gheorghe CHIPER ROM 66.25 35.50,,30.75,0.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3A 7.5 -1.00 -2 0 -1 -1 -1 -1 -1 -1,,-1 -1 - -,6.50
2 3F+3T 9.5 0.20 1 1 1 0 -1 0 0 0,,1 0 - -,9.70
3 CSSp3 2.1 -0.12 -1 1 -1 0 -1 -1 0 -1,,0 0 - -,1.98
4 CiSt2 2.3 0.04 0 1 1 1 -1 -1 0 1,,1 0 - -,2.34
5 3Lz 6.0 0.20 1 0 1 0 0 1 0 0,,1 0 - -,6.20
6 CCoSp3 3.0 0.10 0 0 -1 1 0 1 0 0,,1 0 - -,3.10
7 SlSt3 3.1 0.40 0 1 1 1 1 0 1 1,,2 1 - -,3.50
8 FSSp3 2.3 -0.12 -1 0 -2 0 -1 0 -1 0,,0 0 - -,2.18
35.8,,,35.50
Program Components Factor,,,
Skating Skills 1.00 5.75 6.25 6.00 6.75 5.00 6.25 7.00 6.50,,6.25 6.50 - -,6.30
Transition / Linking Footwork 1.00 5.00 5.75 6.25 6.50 5.00 5.75 6.75 6.00,,6.00 6.25 - -,5.85
Performance / Execution 1.00 5.50 6.00 6.75 7.00 5.25 6.00 7.00 6.00,,6.50 6.25 - -,6.15
Choreography / Composition 1.00 5.50 6.25 6.50 6.75 5.50 6.00 6.75 6.25,,6.00 6.50 - -,6.20
Interpretation 1.00 5.75 6.25 6.50 7.00 5.50 5.75 7.25 6.50,,6.00 6.50 - -,6.25
Judges Total Program Component Score (factored),,,30.75
Deductions:,,,0.00
Trophee Eric Bompard,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,
Total Total,,Total,Total
Rank Name NOC Segment Element,,Program  Component,Deductions
Code Score Score,,Score (factored),
"= +",,+,-
4 Timothy GOEBEL USA 65.05 33.70,,32.35,1.00
"# Executed Base GOE The Judges Panel",,,Scores
Elements Value (in random order),,,of Panel
1 3Lz+3T 10.0 0.00 1 0 0 0 0 0 0 0,,0 0 - -,10.00
