Trophee Eric Bompard,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
1 Elena GRUSHINA / Ruslan GONCHAROV,UKR 95.33 48.00,,47.33,0.00
"# Executed Base GOE",The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 SlLi4 4.0 0.70,2 1 2 1 2 0 1 2,,1 2 - -,4.70
2 CCiSt2 5.3 1.20,1 -1 2 1 2 2 1 1,,1 1 - -,6.50
3 SeLi4 5.6 0.60,1 1 1 2 1 1 1 2,,1 1 - -,6.20
4 CoSp4 4.7 0.30,2 1 1 0 0 0 0 1,,1 1 - -,5.00
5 BSTw4 4.7 0.50,1 2 1 1 1 1 0 1,,1 1 - -,5.20
6 FSTw4 4.7 0.40,0 1 1 0 1 1 0 1,,1 1 - -,5.10
7 CuLi4 4.0 0.20,1 1 1 0 2 0 0 2,,1 0 - -,4.20
8 CSeSt1 4.5 0.60,1 -1 1 1 1 1 1 0,,0 0 - -,5.10
9 RRoLi4 5.6 0.40,1 0 1 1 1 0 1 1,,1 0 - -,6.00
43.1,,,,48.00
Program Components Factor,,,,
Skating Skills 1.25,7.75 7.50 8.00 7.50 8.25 8.00 8.00 8.25,,8.00 7.50 - -,7.90
Linking Footwork / Movement 1.75,7.50 7.50 8.25 7.75 8.00 7.75 7.75 8.00,,7.75 7.75 - -,7.80
Performance 1.00,8.00 7.25 8.25 7.50 8.00 8.00 8.00 8.00,,7.75 7.75 - -,7.90
Choreography 1.00,7.75 7.75 8.00 7.75 8.00 8.00 7.75 8.25,,7.75 7.75 - -,7.85
Interpretation / Timing 1.00,8.00 7.50 8.50 8.00 8.25 8.00 8.00 8.25,,7.75 8.00 - -,8.05
Judges Total Program Component Score (factored),,,,47.33
Deductions:,,,,0.00
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA 87.74 43.50,,46.24,2.00
"# Executed Base GOE",The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 SlLi4+CuLi4 5.6 0.80,1 1 1 2 1 1 2 1,,2 2 - -,6.40
2 FSTw4 4.7 0.30,0 1 0 1 0 1 0 0,,1 1 - -,5.00
3 CuLi4 4.0 0.50,1 1 1 1 1 1 1 1,,2 1 - -,4.50
4 CSeSt3 6.2 0.40,1 0 0 1 1 1 0 0,,0 1 - -,6.60
5 CoSp4 4.7 0.40,1 1 0 0 0 1 0 2,,2 1 - -,5.10
6 SlLi 0.0 0.00,0 1 0 1 -1 -1 0 1,,1 1 - -,0.00
7 BSTw4 4.7 0.40,0 0 0 2 1 1 0 1,,1 1 - -,5.10
8 CCiSt2 5.3 0.40,0 0 0 -1 0 1 1 0,,1 0 - -,5.70
9 SeLi3 4.9 0.20,1 1 0 0 1 0 1 2,,1 0 - -,5.10
40.1,,,,43.50
Program Components Factor,,,,
Skating Skills 1.25,7.50 7.50 7.25 7.75 7.50 7.75 7.75 7.75,,8.00 7.75 - -,7.75
Linking Footwork / Movement 1.75,7.25 7.25 7.25 7.75 7.00 7.75 7.50 7.25,,7.75 7.75 - -,7.60
Performance 1.00,7.50 7.50 7.25 7.50 7.25 7.75 7.75 7.50,,7.75 7.50 - -,7.60
Choreography 1.00,7.50 8.00 7.50 8.00 7.50 8.00 7.75 7.75,,8.25 7.75 - -,7.85
Interpretation / Timing 1.00,7.75 7.75 7.25 7.75 7.75 8.00 7.75 7.75,,8.00 7.75 - -,7.80
Judges Total Program Component Score (factored),,,,46.24
Deductions: Illegal element: -2.00,,,,-2.00
Trophee Eric Bompard,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
3 Morgan MATTHEWS / Maxim ZAVOZIN,USA 78.72 40.90,,37.82,0.00
"# Executed Base",GOE The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 CoSp3 4.0,0.40 1 1 0 0 0 1 1 1,,1 1 - -,4.40
2 FSTw4 4.7,-0.10 0 0 -1 0 -1 -1 0 0,,0 0 - -,4.60
3 SeLi3 4.9,0.50 1 1 1 1 1 1 1 1,,1 1 - -,5.40
4 SlLi3 3.5,0.60 1 1 0 2 0 0 1 2,,2 1 - -,4.10
5 SlLi3+RoLi2 4.6,0.20 0 0 0 1 0 1 0 0,,0 1 - -,4.80
6 BSTw3 4.0,-0.80 -1 -1 -2 -1 -1 -2 -1 -1,,-2 -2 - -,3.20
7 CSeSt2 5.3,0.00 0 0 0 0 0 0 0 0,,0 0 - -,5.30
8 RoLi3 3.5,0.30 1 0 1 0 1 1 1 1,,0 0 - -,3.80
9 CCiSt2 5.3,0.00 0 0 0 0 0 0 0 0,,0 0 - -,5.30
39.8,,,,40.90
Program Components,Factor,,,
Skating Skills,1.25 6.25 6.50 5.25 6.50 5.75 6.50 6.75 6.50,,6.25 6.50 - -,6.45
Linking Footwork / Movement,1.75 6.00 6.50 5.50 6.25 5.50 6.25 6.50 6.00,,6.00 6.25 - -,6.15
Performance,1.00 6.50 6.25 5.50 6.50 5.50 6.25 6.50 6.25,,6.00 6.25 - -,6.25
Choreography,1.00 6.50 6.50 5.75 6.75 5.50 6.75 6.75 6.50,,5.75 6.25 - -,6.40
Interpretation / Timing,1.00 6.75 6.50 5.50 6.75 5.50 6.25 6.50 6.50,,6.00 6.50 - -,6.35
Judges Total Program Component Score (factored),,,,37.82
