Trophee Eric Bompard,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
1 Elena GRUSHINA / Ruslan GONCHAROV,UKR 36.81 18.06 18.75,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 1.7 0.40,2 1 2 0 2 2 1 0 1 0 - -,,2.10
2 1S2 2.2 0.40,1 0 1 1 1 1 1 1 1 0 - -,,2.60
3 1S3 2.6 0.50,1 1 1 1 1 1 1 1 1 1 - -,,3.10
4 2S1 2.5 0.56,1 1 1 0 2 1 0 0 1 0 - -,,3.06
5 2S2 3.0 0.42,0 0 1 0 1 0 1 1 1 1 - -,,3.42
6 2S3 3.5 0.28,1 1 2 0 0 0 1 1 0 1 - -,,3.78
15.5,,,18.06
Program Components Factor,,,
Skating Skills 0.75,7.75 7.50 8.00 7.50 7.75 7.50 7.75 7.25 7.25 7.50 - -,,7.55
Timing 0.75,7.50 7.25 7.75 7.25 7.50 7.50 7.50 7.00 7.00 7.25 - -,,7.35
Performance / Execution 0.50,7.75 7.50 8.00 7.00 7.75 7.75 7.75 7.25 7.00 7.50 - -,,7.50
Interpretation 0.50,8.00 7.50 8.25 7.75 7.75 7.75 8.00 7.50 7.50 7.25 - -,,7.65
Judges Total Program Component Score (factored),,,18.75
Deductions:,,,0.00
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA 35.55 17.46 18.09,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 1.7 0.30,1 0 1 1 1 1 0 0 1 1 - -,,2.00
2 1S2 2.2 0.30,1 -1 0 1 1 0 -1 1 1 2 - -,,2.50
3 1S3 2.6 0.10,0 -1 1 0 0 0 -1 1 1 0 - -,,2.70
4 2S1 2.5 0.70,0 0 1 1 1 1 0 0 1 1 - -,,3.20
5 2S2 3.0 0.56,1 -1 1 1 1 0 -1 0 1 1 - -,,3.56
6 2S3 3.5 0.00,0 0 0 1 -1 -1 0 1 1 0 - -,,3.50
15.5,,,17.46
Program Components Factor,,,
Skating Skills 0.75,7.50 7.25 7.75 7.75 7.00 6.50 7.00 7.25 7.50 7.50 - -,,7.40
Timing 0.75,7.25 6.50 7.50 7.50 6.50 6.50 6.75 7.00 7.25 7.75 - -,,7.05
Performance / Execution 0.50,7.75 7.25 7.75 7.75 6.75 6.75 6.50 7.50 7.00 7.25 - -,,7.20
Interpretation 0.50,7.75 7.25 7.75 7.50 6.75 6.75 6.75 7.25 7.25 7.75 - -,,7.30
