10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
7,Jamal OTHMAN,SUI,0,115.85,62.25,54.6,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3Lz+3T,,10.0,False,1.0,1,1,0,1,1,1,2,1,1,2,,11.0
2,2A,,3.5,False,1.0,1,1,0,1,1,1,1,1,1,1,,4.5
3,CiSt3,,3.1,False,0.2,1,0,1,0,0,1,1,1,0,1,,3.3
4,3S,,4.5,False,0.4,1,0,0,0,1,0,1,0,1,1,,4.9
5,3Lo,,5.0,False,0.2,0,0,1,1,0,0,0,0,0,0,,5.2
6,USp3,,1.8,False,0.2,0,1,1,0,0,0,1,1,0,1,,2.0
7,CoSp2,,2.1,False,-0.12,0,0,0,-1,-1,0,-1,-1,0,-1,,1.98
8,3F,e,6.05,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.05
9,3Lz,,6.6,True,-0.4,0,-1,-1,0,0,-1,0,-1,0,0,,6.2
10,3S+2T+2Lo,,8.03,True,-0.8,-1,0,-1,-1,-1,-1,0,0,-1,0,,7.23
11,CCoSp4,,3.5,False,0.0,0,0,1,0,-1,0,1,0,0,0,,3.5
12,2A,,3.85,True,0.0,0,0,0,1,0,0,0,0,0,1,,3.85
13,SlSt3,,3.1,False,0.0,0,0,1,-1,0,0,0,0,0,0,,3.1
14,FCoSp3,,2.5,False,-0.06,0,0,0,0,-1,0,0,0,-1,1,,2.44
,,,63.63,,,,,,,,,,,,,,62.25
,Program Components,,,,Factor
,Skating Skills  ,,,,2.0,5.75,5.75,5.75,5.25,5.75,5.75,5.25,5.25,5.5,5.5,,5.6
,Transition / Linking Footwork  ,,,,2.0,5.5,5.25,5.5,5.0,5.75,5.5,5.0,4.75,5.0,5.0,,5.25
,Performance / Execution  ,,,,2.0,5.5,5.5,5.75,6.0,5.75,5.5,5.5,4.75,5.25,5.5,,5.55
,Choreography / Composition  ,,,,2.0,5.5,5.75,5.5,5.75,5.75,5.75,5.75,5.25,5.25,5.5,,5.55
,Interpretation  ,,,,2.0,5.75,5.25,5.5,5.5,5.25,5.75,5.75,5.25,5.25,5.5,,5.35
,,,,,,,,,,,,,,,,,54.6
Deduction,Falls,-1.0
