ISU GP 2017 Skate Canada International,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Shoma UNO JPN  12  103.62,,57.12,46.50,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4F  12.30  2.29 3 3 2 2 2,,2 3,2 2,14.59,
2 FCSp4  3.20  1.00 1 2 2 2 2,,2 2,2 2,4.20,
3 StSq3  3.30  1.14 2 3 1 2 1,,3 3,2 3,4.44,
4 4T+2T  12.76 x  1.00 1 1 1 1 1,,1 2,1 1,13.76,
5 3A  9.35 x  2.43 2 3 2 2 3,,2 3,3 2,11.78,
6 CSSp4  3.00  0.71 1 2 1 3 1,,2 2,1 1,3.71,
7 CCoSp4  3.50  1.14 2 3 2 3 2,,1 3,2 2,4.64,
47.41,,,,57.12,
Program Components Factor,,,,,
Skating Skills  1.00 9.25 9.75 9.00 9.25 9.25,,9.00 9.75,9.50 8.75,9.29,
Transitions  1.00 8.75 9.75 9.00 9.25 8.75,,9.00 9.75,9.25 9.00,9.14,
Performance  1.00 9.25 10.00 9.25 9.50 9.50,,9.25 9.75,9.50 9.50,9.46,
Composition  1.00 8.75 10.00 9.25 9.25 9.00,,9.00 9.75,9.50 9.50,9.32,
Interpretation of the Music  1.00 9.25 10.00 9.00 9.50 8.75,,9.25 9.75,9.00 9.25,9.29,
Judges Total Program Component Score (factored),,,,46.50,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Patrick CHAN CAN  11  94.43,,48.01,46.42,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 4T+3T  14.60  0.57 1 1 1 1 0,,-1 2,0 0,15.17,
2 3Lz  6.00  1.50 3 2 2 2 2,,2 3,2 2,7.50,
3 CCSp4  3.20  1.21 3 2 2 2 3,,3 3,2 2,4.41,
4 3A  9.35 x -1.57 -1 -2 -1 -2 -2,,-1 -1,-2 -2,7.78,
5 StSq3  3.30  1.21 3 3 2 2 2,,2 3,2 3,4.51,
6 FSSp4  3.00  1.07 2 2 2 2 3,,2 3,2 2,4.07,
7 CCoSp4  3.50  1.07 2 3 2 2 2,,2 3,2 1,4.57,
42.95,,,,48.01,
Program Components Factor,,,,,
Skating Skills  1.00 9.50 9.50 9.50 9.50 9.75,,9.00 9.50,9.00 9.25,9.39,
Transitions  1.00 9.25 9.25 9.25 9.25 9.00,,9.25 9.50,8.50 9.00,9.18,
Performance  1.00 9.25 9.50 9.25 9.00 9.25,,8.75 9.50,9.00 8.75,9.14,
Composition  1.00 9.50 9.25 9.50 9.25 9.50,,9.00 9.75,8.75 9.25,9.32,
Interpretation of the Music  1.00 9.50 9.25 9.50 9.50 9.50,,9.25 9.50,8.75 9.25,9.39,
Judges Total Program Component Score (factored),,,,46.42,
Deductions,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
ISU GP 2017 Skate Canada International,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
3 Jason BROWN USA  10  90.71,,45.64,45.07,0.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5 Info",,J6 J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
